offset,seed,band,boots,how
6,02AC,0,1,measured
7,2A96,0,1,measured
8,7407,0,1,measured
9,BCDA,0,1,measured
10,061A,0,1,measured
11,4F5A,0,1,measured
12,98A3,0,1,measured
13,9856,0,1,measured
14,BADF,0,1,measured
15,0545,0,1,measured
16,0545,0,1,measured
17,4C7D,0,1,measured
18,DFD2,0,1,measured
19,2846,0,1,measured
20,6AF6,0,1,measured
21,B935,0,1,measured
22,D8BF,0,1,measured
23,16D6,0,1,measured
24,5F27,0,1,measured
25,A864,0,1,measured
26,F1A5,0,1,measured
27,3AF0,0,1,measured
28,63AB,0,1,measured
29,76BD,0,1,measured
30,BFFD,0,1,measured
31,085A,0,1,measured
32,519A,0,1,measured
33,9ADC,0,1,measured
34,E41A,0,1,measured
35,2976,0,1,measured
36,7699,0,1,measured
37,7699,0,1,measured
38,BFE4,0,1,measured
39,091A,0,1,measured
40,07DA,0,1,measured
41,2EC7,0,1,measured
42,73F1,0,1,measured
43,BE7A,0,1,measured
44,060C,0,1,measured
45,4E8A,0,1,measured
46,A0B8,0,1,measured
47,E555,0,1,measured
48,2E66,0,1,measured
49,6FF2,0,1,measured
50,AE43,0,1,measured
51,EE3A,0,1,measured
52,4163,0,1,measured
53,8B36,0,1,measured
54,D3D9,0,1,measured
55,1C36,0,1,measured
56,9436,0,1,measured
57,DE0F,0,1,measured
58,2840,0,1,measured
59,71FE,0,1,measured
60,B8DA,0,1,measured
61,FF8F,0,1,measured
62,489F,0,1,measured
63,71AC,0,1,measured
64,3118,0,1,measured
65,4CB4,0,1,measured
66,9C09,0,1,measured
67,E35B,0,1,measured
68,2DB2,0,1,measured
69,7571,0,1,measured
70,C1D8,0,1,measured
71,09B5,0,1,measured
72,4EFF,0,1,measured
73,C469,0,1,measured
74,E4B9,0,1,measured
75,2F43,0,1,measured
76,769C,0,1,measured
77,C0F2,0,1,measured
78,0969,0,1,measured
79,5388,0,1,measured
80,980E,0,1,measured
81,E4EC,0,1,measured
82,581C,0,1,measured
83,77F8,0,1,measured
84,C283,0,1,measured
85,0CB0,0,1,measured
86,52AA,0,1,measured
87,9CAB,0,1,measured
88,E6E6,0,1,measured
89,E6E6,0,1,measured
90,3034,0,1,measured
91,A45F,0,1,measured
92,C349,0,1,measured
93,0DC0,0,1,measured
94,5526,0,1,measured
95,E28B,0,1,measured
96,3131,0,1,measured
97,7B3E,0,1,measured
98,C4CE,0,1,measured
99,3712,0,1,measured
100,59EC,0,1,measured
101,9F30,0,1,measured
102,E996,0,1,measured
103,3147,0,1,measured
104,7B32,0,1,measured
105,C53E,0,1,measured
106,0EB6,0,1,measured
107,80FA,0,1,measured
108,9F8D,0,1,measured
109,E9FA,0,1,measured
110,2CA3,0,1,measured
111,2CA3,0,1,measured
112,7BB4,0,1,measured
113,C381,0,1,measured
114,0D5F,0,1,measured
115,578A,0,1,measured
116,A10C,0,1,measured
117,156C,0,1,measured
118,2E44,0,1,measured
119,774B,0,1,measured
120,C0FB,0,1,measured
121,523E,0,1,measured
122,9B7E,0,1,measured
123,E544,0,1,measured
124,2E04,0,1,measured
125,6A66,0,1,measured
126,AE74,0,1,measured
127,F604,0,1,measured
128,3F42,0,1,measured
129,907D,0,1,measured
130,D273,0,1,measured
131,1FA5,0,1,measured
132,699F,0,1,measured
133,ADDC,0,1,measured
134,FB69,0,1,measured
135,454C,0,1,measured
136,8DE1,0,1,measured
137,D74E,0,1,measured
138,01A4,0,1,measured
139,3140,0,1,measured
140,70B4,0,1,measured
141,C2D2,0,1,measured
142,69E0,0,1,measured
143,A229,0,1,measured
144,ED13,0,1,measured
145,371F,0,1,measured
146,7F75,0,1,measured
147,C8D4,0,1,measured
148,12CD,0,1,measured
149,5B5F,0,1,measured
150,A489,0,1,measured
151,E615,0,1,measured
152,2476,0,1,measured
153,6D66,0,1,measured
154,F148,0,1,measured
155,1537,0,1,measured
156,62F6,0,1,measured
157,ACA6,0,1,measured
158,F4E5,0,1,measured
159,3E82,0,1,measured
160,89C8,0,1,measured
161,CEC0,0,1,measured
162,1709,0,1,measured
163,4484,0,1,measured
164,8DEE,0,1,measured
165,D6BD,0,1,measured
166,1FE0,0,1,measured
167,9CBA,0,1,measured
168,B446,0,1,measured
169,FD9E,0,1,measured
170,425E,0,1,measured
171,8F39,0,1,measured
172,D81D,0,1,measured
173,215E,0,1,measured
174,6B06,0,1,measured
175,B43A,0,1,measured
176,DEB6,0,1,measured
177,0C65,0,1,measured
178,5565,0,1,measured
179,9E38,0,1,measured
180,5134,0,1,measured
181,8243,0,1,measured
182,CB66,0,1,measured
183,13EC,0,1,measured
184,5DBC,0,1,measured
185,A2C6,0,1,measured
186,EDCF,0,1,measured
187,527C,0,1,measured
188,8304,0,1,measured
189,CC26,0,1,measured
190,1675,0,1,measured
191,5EBB,0,1,measured
192,A561,0,1,measured
193,1235,0,1,measured
194,39AB,0,1,measured
195,8667,0,1,measured
196,D246,0,1,measured
197,18B1,0,1,measured
198,6273,0,1,measured
199,ACAE,0,1,measured
200,E901,0,1,measured
201,3AB9,0,1,measured
202,7C53,0,1,measured
203,BDD8,0,1,measured
204,0345,0,1,measured
205,4CA8,0,1,measured
206,CEC7,0,1,measured
207,01C2,0,1,measured
208,4AD6,0,1,measured
209,968F,0,1,measured
210,DD22,0,1,measured
211,26D6,0,1,measured
212,710B,0,1,measured
213,B5EA,0,1,measured
214,FEE5,0,1,measured
215,1F10,0,1,measured
216,748C,0,1,measured
217,B9FD,0,1,measured
218,0356,0,1,measured
