offset,seed,band,boots,how
268,1520,0,1,measured
269,5445,0,1,measured
270,9D8C,0,1,measured
271,11B0,0,1,measured
272,4E82,0,1,measured
273,9666,0,1,measured
274,DF48,0,1,measured
275,2881,0,1,measured
276,6D40,0,1,measured
277,BBA1,0,1,measured
278,0449,0,1,measured
279,4D81,0,1,measured
280,9316,0,1,measured
281,DBA9,0,1,measured
282,2250,0,1,measured
283,D175,0,1,measured
284,FCAE,0,1,measured
285,45C0,0,1,measured
286,8EA3,0,1,measured
287,D826,0,1,measured
288,21B0,0,1,measured
289,845F,0,1,measured
290,AF7E,0,1,measured
291,FD38,0,1,measured
292,46F9,0,1,measured
293,8F70,0,1,measured
294,D8E2,0,1,measured
295,2216,0,1,measured
296,8A10,0,1,measured
297,B880,0,1,measured
298,562B,0,1,measured
299,A03C,0,1,measured
300,E98A,0,1,measured
301,3277,0,1,measured
302,6DA8,0,1,measured
303,B5FC,0,1,measured
304,F35F,0,1,measured
305,F35F,0,1,measured
306,35EE,0,1,measured
307,7EC2,0,1,measured
308,C808,0,1,measured
309,47EE,0,1,measured
310,73F8,0,1,measured
311,BF15,0,1,measured
312,05CD,0,1,measured
313,4F75,0,1,measured
314,98A8,0,1,measured
315,F95D,0,1,measured
316,2B12,0,1,measured
317,A76B,0,1,measured
318,F05C,0,1,measured
319,34E8,0,1,measured
320,825A,0,1,measured
321,FFCA,0,1,measured
322,22FB,0,1,measured
323,6C01,0,1,measured
324,6C01,0,1,measured
325,B5AA,0,1,measured
326,FF5B,0,1,measured
327,4701,0,1,measured
328,90BF,0,1,measured
329,D9A6,0,1,measured
330,2226,0,1,measured
331,6512,0,1,measured
332,A217,0,1,measured
333,EB02,0,1,measured
334,354A,0,1,measured
335,78EA,0,1,measured
336,1B9F,0,1,measured
337,6587,0,1,measured
338,AE21,0,1,measured
339,F771,0,1,measured
340,35B5,0,1,measured
341,7E12,0,1,measured
342,A9D1,0,1,measured
343,A9D1,0,1,measured
344,D7A1,0,1,measured
345,2018,0,1,measured
346,68D2,0,1,measured
347,1976,0,1,measured
348,4AB6,0,1,measured
349,9758,0,1,measured
350,D3C9,0,1,measured
351,2D13,0,1,measured
352,72FB,0,1,measured
353,BC59,0,1,measured
354,09EA,0,1,measured
355,9AE9,0,1,measured
356,DA6E,0,1,measured
357,2112,0,1,measured
358,6A83,0,1,measured
359,D5B4,0,1,measured
360,1173,0,1,measured
361,59D7,0,1,measured
362,59D7,0,1,measured
363,A663,0,1,measured
364,EC69,0,1,measured
365,281D,0,1,measured
366,7EF6,0,1,measured
367,CC6F,0,1,measured
368,1217,0,1,measured
369,3EAB,0,1,measured
370,8B68,0,1,measured
371,D152,0,1,measured
372,1A74,0,1,measured
373,99EF,0,1,measured
374,1A6A,0,1,measured
375,63D9,0,1,measured
376,AC55,0,1,measured
377,F578,0,1,measured
378,149A,0,1,measured
379,59A0,0,1,measured
380,A753,0,1,measured
381,A753,0,1,measured
382,D56C,0,1,measured
383,025E,0,1,measured
384,4A52,0,1,measured
385,9321,0,1,measured
386,3BED,0,1,measured
387,7586,0,1,measured
388,BEAD,0,1,measured
389,088D,0,1,measured
390,511A,0,1,measured
391,9A6B,0,1,measured
392,F458,0,1,measured
393,826D,0,1,measured
394,C707,0,1,measured
395,1587,0,1,measured
396,5E29,0,1,measured
397,9B18,0,1,measured
398,FA9F,0,1,measured
399,3131,0,1,measured
400,3131,0,1,measured
401,7B11,0,1,measured
402,C38D,0,1,measured
403,0CC3,0,1,measured
404,55FE,0,1,measured
405,9FE6,0,1,measured
406,E91E,0,1,measured
407,31C8,0,1,measured
408,737B,0,1,measured
409,B1B7,0,1,measured
410,F159,0,1,measured
411,43BA,0,1,measured
412,FDAF,0,1,measured
413,4643,0,1,measured
414,8F63,0,1,measured
415,D8F3,0,1,measured
416,16D1,0,1,measured
417,6CA9,0,1,measured
418,AB29,0,1,measured
419,AB29,0,1,measured
420,F3BF,0,1,measured
421,1C7C,0,1,measured
422,65F2,0,1,measured
423,AEBA,0,1,measured
424,2B11,0,1,measured
