offset,seed,band,boots,how
8,740C,0,1,measured
14,BAB2,0,1,measured
21,B913,0,1,measured
23,16CE,0,1,measured
24,5F33,0,1,measured
27,3AF0,0,1,measured
31,085C,0,1,measured
39,0926,0,1,measured
41,2B32,0,1,measured
49,6FEB,0,1,measured
50,AE3C,0,1,measured
51,EE41,0,1,measured
56,94A6,0,1,measured
58,281E,0,1,measured
60,B8BE,0,1,measured
61,FF94,0,1,measured
62,48A7,0,1,measured
63,71A5,0,1,measured
64,30D9,0,1,measured
70,BF72,0,1,measured
75,2EFE,0,1,measured
80,97C5,0,1,measured
81,E4C1,0,1,measured
82,57CE,0,1,measured
84,C23F,0,1,measured
85,09CE,0,1,measured
90,2FEE,0,1,measured
93,0D77,0,1,measured
94,550A,0,1,measured
97,7AF5,0,1,measured
98,C485,0,1,measured
99,36CB,0,1,measured
100,5652,0,1,measured
101,A244,0,1,measured
103,313A,0,1,measured
107,80AC,0,1,measured
108,9F52,0,1,measured
109,E9B3,0,1,measured
113,C373,0,1,measured
115,573C,0,1,measured
116,A0C1,0,1,measured
121,521D,0,1,measured
124,2D2C,0,1,measured
129,8F3E,0,1,measured
130,D22D,0,1,measured
131,2081,0,1,measured
136,8DE9,0,1,measured
137,D748,0,1,measured
142,693A,0,1,measured
143,A224,0,1,measured
144,EDA3,0,1,measured
147,C964,0,1,measured
149,5B5A,0,1,measured
150,A48D,0,1,measured
151,E61B,0,1,measured
156,62BD,0,1,measured
157,AC72,0,1,measured
158,F4E7,0,1,measured
161,D12C,0,1,measured
165,D6BF,0,1,measured
166,1FE2,0,1,measured
167,9C8A,0,1,measured
168,B414,0,1,measured
169,FD66,0,1,measured
172,D7FE,0,1,measured
173,213C,0,1,measured
176,DEE8,0,1,measured
178,5571,0,1,measured
180,50F5,0,1,measured
182,CB2F,0,1,measured
185,A291,0,1,measured
186,EDD1,0,1,measured
187,524F,0,1,measured
190,14CC,0,1,measured
192,A56B,0,1,measured
193,11FA,0,1,measured
194,397D,0,1,measured
195,863D,0,1,measured
197,1888,0,1,measured
198,6232,0,1,measured
199,ACA8,0,1,measured
204,0352,0,1,measured
205,4CAE,0,1,measured
206,D035,0,1,measured
208,4B11,0,1,measured
210,DCED,0,1,measured
212,7377,0,1,measured
216,748E,0,1,measured
217,BA06,0,1,measured
219,866C,0,1,measured
220,AAF1,0,1,measured
226,6191,0,1,measured
227,AA20,0,1,measured
228,D123,0,1,measured
230,5269,0,1,measured
232,EC5D,0,1,measured
234,7A49,0,1,measured
236,0D16,0,1,measured
237,5693,0,1,measured
242,880B,0,1,measured
244,9E1C,0,1,measured
245,AEE1,0,1,measured
248,8E0E,0,1,measured
249,D80A,0,1,measured
251,6B2E,0,1,measured
253,F4CC,0,1,measured
261,6D4B,0,1,measured
262,B573,0,1,measured
267,C010,0,1,measured
269,543A,0,1,measured
270,9D86,0,1,measured
277,BB9B,0,1,measured
279,4D7C,0,1,measured
280,9319,0,1,measured
282,223E,0,1,measured
283,D16D,0,1,measured
285,45B7,0,1,measured
286,8E9E,0,1,measured
289,845F,0,1,measured
290,AF81,0,1,measured
291,FD37,0,1,measured
294,D8DA,0,1,measured
295,2211,0,1,measured
299,A033,0,1,measured
301,3278,0,1,measured
303,B5F2,0,1,measured
306,35F1,0,1,measured
309,47EF,0,1,measured
311,BF18,0,1,measured
313,4F64,0,1,measured
314,989E,0,1,measured
315,F94D,0,1,measured
317,A765,0,1,measured
319,34E2,0,1,measured
321,FFBA,0,1,measured
324,6C02,0,1,measured
326,FF54,0,1,measured
328,90B8,0,1,measured
330,221D,0,1,measured
332,A211,0,1,measured
333,EAF1,0,1,measured
334,354C,0,1,measured
336,1B96,0,1,measured
337,6580,0,1,measured
338,AE24,0,1,measured
339,F771,0,1,measured
340,35A5,0,1,measured
343,A9CA,0,1,measured
344,D797,0,1,measured
346,68C3,0,1,measured
347,196C,0,1,measured
348,4AAB,0,1,measured
349,974C,0,1,measured
350,D3B8,0,1,measured
351,2D03,0,1,measured
352,72F2,0,1,measured
353,BC55,0,1,measured
354,09E4,0,1,measured
355,9AE0,0,1,measured
356,DA60,0,1,measured
357,2103,0,1,measured
358,6A79,0,1,measured
359,D5A2,0,1,measured
362,59D1,0,1,measured
366,7EE6,0,1,measured
367,CC69,0,1,measured
368,1210,0,1,measured
374,1A5C,0,1,measured
375,63D1,0,1,measured
376,AC4D,0,1,measured
381,A74E,0,1,measured
383,0253,0,1,measured
384,4A3F,0,1,measured
388,BEA1,0,1,measured
389,087C,0,1,measured
392,F452,0,1,measured
393,8258,0,1,measured
394,C708,0,1,measured
396,5E1A,0,1,measured
405,9FD5,0,1,measured
407,31BE,0,1,measured
408,7374,0,1,measured
409,B1BA,0,1,measured
412,FDA9,0,1,measured
413,463C,0,1,measured
414,8F55,0,1,measured
417,6CAA,0,1,measured
423,AEB3,0,1,measured
424,2B14,0,1,measured
426,962B,0,1,measured
429,713B,0,1,measured
430,BA88,0,1,measured
436,A7B5,0,1,measured
438,F0C9,0,1,measured
439,3A17,0,1,measured
442,15DC,0,1,measured
444,A850,0,1,measured
445,F19F,0,1,measured
447,4DDB,0,1,measured
448,96CF,0,1,measured
450,CDD3,0,1,measured
451,1A03,0,1,measured
452,64C6,0,1,measured
453,AA7C,0,1,measured
455,34E6,0,1,measured
457,81C5,0,1,measured
458,C6FE,0,1,measured
463,49CD,0,1,measured
468,A729,0,1,measured
469,3C6C,0,1,measured
470,8D8F,0,1,measured
471,BADE,0,1,measured
472,0E8E,0,1,measured
476,E9BC,0,1,measured
481,3F3E,0,1,measured
482,88E0,0,1,measured
484,1A4D,0,1,measured
485,445F,0,1,measured
486,3BF5,0,1,measured
487,8567,0,1,measured
488,C173,0,1,measured
491,89A0,0,1,measured
492,D127,0,1,measured
493,1113,0,1,measured
496,A452,0,1,measured
497,ECA4,0,1,measured
499,7E8E,0,1,measured
500,C3CC,0,1,measured
502,72E1,0,1,measured
504,E9DC,0,1,measured
505,3333,0,1,measured
507,1B1B,0,1,measured
508,64F9,0,1,measured
510,D4D5,0,1,measured
514,E1F1,0,1,measured
515,0C7F,0,1,measured
517,A3C7,0,1,measured
518,ECCC,0,1,measured
519,3521,0,1,measured
520,7F62,0,1,measured
521,E33E,0,1,measured
524,A384,0,1,measured
529,684C,0,1,measured
531,F21F,0,1,measured
533,3B67,0,1,measured
534,8528,0,1,measured
535,CDE9,0,1,measured
536,1063,0,1,measured
538,95FF,0,1,measured
541,71C4,0,1,measured
542,BAFB,0,1,measured
544,4D6C,0,1,measured
545,EC45,0,1,measured
546,34F2,0,1,measured
550,1404,0,1,measured
552,5C8F,0,1,measured
555,8A21,0,1,measured
558,6559,0,1,measured
560,ED0A,0,1,measured
563,C0E3,0,1,measured
564,5D2F,0,1,measured
567,4D88,0,1,measured
569,D34F,0,1,measured
571,1C8A,0,1,measured
573,ACF9,0,1,measured
576,6DFA,0,1,measured
577,B6BB,0,1,measured
582,499F,0,1,measured
583,E801,0,1,measured
585,5C50,0,1,measured
586,A474,0,1,measured
588,F3B0,0,1,measured
591,861B,0,1,measured
595,F9F1,0,1,measured
596,453C,0,1,measured
598,F48B,0,1,measured
601,B177,0,1,measured
603,B4CB,0,1,measured
605,2A04,0,1,measured
606,694F,0,1,measured
607,B34E,0,1,measured
610,446F,0,1,measured
612,D4DC,0,1,measured
615,7EAD,0,1,measured
616,C790,0,1,measured
618,9A8D,0,1,measured
619,E3A3,0,1,measured
621,CB07,0,1,measured
625,C173,0,1,measured
626,ECE9,0,1,measured
629,7D1E,0,1,measured
631,3E0E,0,1,measured
634,1957,0,1,measured
636,AB80,0,1,measured
637,F524,0,1,measured
639,4852,0,1,measured
640,D9E1,0,1,measured
641,22E9,0,1,measured
647,A647,0,1,measured
648,EF85,0,1,measured
651,CB50,0,1,measured
652,D9B6,0,1,measured
654,4DD5,0,1,measured
655,961B,0,1,measured
656,3A4E,0,1,measured
657,7268,0,1,measured
659,593A,0,1,measured
660,A42E,0,1,measured
