offset,seed,band,boots,how
6,02A3,0,1,measured
7,2A9E,0,1,measured
8,7414,0,1,measured
9,BCD6,0,1,measured
10,0623,0,1,measured
11,4F63,0,1,measured
12,98A0,0,1,measured
13,9813,0,1,measured
14,BAA6,0,1,measured
15,04F6,0,1,measured
16,04F6,0,1,measured
17,4C84,0,1,measured
18,DFB2,0,1,measured
19,2828,0,1,measured
20,6AE0,0,1,measured
21,B90E,0,1,measured
22,D8C2,0,1,measured
23,16D4,0,1,measured
24,5F2F,0,1,measured
25,A861,0,1,measured
26,F1B1,0,1,measured
27,3AE5,0,1,measured
28,63A9,0,1,measured
29,76C1,0,1,measured
30,C000,0,1,measured
31,085B,0,1,measured
32,51A3,0,1,measured
33,9AE3,0,1,measured
34,E423,0,1,measured
35,297E,0,1,measured
36,76A3,0,1,measured
37,76A3,0,1,measured
38,BFDF,0,1,measured
39,0923,0,1,measured
40,0796,0,1,measured
41,2B26,0,1,measured
42,76FA,0,1,measured
43,BE4B,0,1,measured
44,05EF,0,1,measured
45,4E7B,0,1,measured
46,A087,0,1,measured
47,E552,0,1,measured
48,2E6D,0,1,measured
49,6FF2,0,1,measured
50,AE44,0,1,measured
51,EE42,0,1,measured
52,414B,0,1,measured
53,8B06,0,1,measured
54,D3B8,0,1,measured
55,1C38,0,1,measured
56,94A2,0,1,measured
57,DDFC,0,1,measured
58,281B,0,1,measured
59,71DA,0,1,measured
60,B8B3,0,1,measured
61,FF8F,0,1,measured
62,48A5,0,1,measured
63,71AE,0,1,measured
64,30D7,0,1,measured
65,4C82,0,1,measured
66,9BB5,0,1,measured
67,E34C,0,1,measured
68,2D84,0,1,measured
69,756A,0,1,measured
70,BF70,0,1,measured
71,0BB1,0,1,measured
72,4F01,0,1,measured
73,C41B,0,1,measured
74,E48B,0,1,measured
75,2EFF,0,1,measured
76,7681,0,1,measured
77,C0CC,0,1,measured
78,096B,0,1,measured
79,5330,0,1,measured
80,97CD,0,1,measured
81,E4B6,0,1,measured
82,57CA,0,1,measured
83,77C0,0,1,measured
84,C23F,0,1,measured
85,09C1,0,1,measured
86,552A,0,1,measured
87,9CB3,0,1,measured
88,E695,0,1,measured
89,E695,0,1,measured
90,2FE7,0,1,measured
91,A407,0,1,measured
92,C314,0,1,measured
93,0D70,0,1,measured
94,550A,0,1,measured
95,E272,0,1,measured
96,3130,0,1,measured
97,7AFC,0,1,measured
98,C478,0,1,measured
99,36C1,0,1,measured
100,5651,0,1,measured
101,A236,0,1,measured
102,E95E,0,1,measured
103,3130,0,1,measured
104,7B37,0,1,measured
105,C4FC,0,1,measured
106,0E76,0,1,measured
107,80A1,0,1,measured
108,9F59,0,1,measured
109,E9A6,0,1,measured
110,2C98,0,1,measured
111,2C98,0,1,measured
112,7B83,0,1,measured
113,C36E,0,1,measured
114,0D69,0,1,measured
115,5743,0,1,measured
116,A0BF,0,1,measured
117,16DC,0,1,measured
118,2E02,0,1,measured
119,7782,0,1,measured
120,C00E,0,1,measured
121,5221,0,1,measured
122,9BD0,0,1,measured
123,E4B7,0,1,measured
124,2D32,0,1,measured
125,6B80,0,1,measured
126,AD3C,0,1,measured
127,F610,0,1,measured
128,404D,0,1,measured
129,8F46,0,1,measured
130,D22B,0,1,measured
131,207F,0,1,measured
132,68EC,0,1,measured
133,ADDD,0,1,measured
134,FC08,0,1,measured
135,4497,0,1,measured
136,8DE7,0,1,measured
137,D752,0,1,measured
138,022B,0,1,measured
139,3121,0,1,measured
140,700B,0,1,measured
141,C370,0,1,measured
142,692E,0,1,measured
143,A22C,0,1,measured
144,ED9F,0,1,measured
145,3632,0,1,measured
146,7FC6,0,1,measured
147,C96B,0,1,measured
148,1233,0,1,measured
149,5B5B,0,1,measured
150,A495,0,1,measured
151,E61D,0,1,measured
152,246B,0,1,measured
153,6D5D,0,1,measured
154,F11F,0,1,measured
155,150B,0,1,measured
156,62B3,0,1,measured
157,AC70,0,1,measured
158,F4DC,0,1,measured
159,3E4C,0,1,measured
160,878B,0,1,measured
161,D133,0,1,measured
162,17F3,0,1,measured
163,4477,0,1,measured
164,8DF4,0,1,measured
165,D6BC,0,1,measured
166,1FE8,0,1,measured
167,9C7D,0,1,measured
168,B40F,0,1,measured
169,FD6E,0,1,measured
170,4222,0,1,measured
171,8F19,0,1,measured
172,D7FC,0,1,measured
173,2143,0,1,measured
174,6AEF,0,1,measured
175,B3D4,0,1,measured
176,DEDD,0,1,measured
177,0C55,0,1,measured
178,556D,0,1,measured
179,9E38,0,1,measured
180,50EE,0,1,measured
181,820C,0,1,measured
182,CB31,0,1,measured
183,140D,0,1,measured
184,5D81,0,1,measured
185,A288,0,1,measured
186,EDC5,0,1,measured
187,524A,0,1,measured
188,82CE,0,1,measured
189,CBEF,0,1,measured
190,14CB,0,1,measured
191,6007,0,1,measured
192,A55F,0,1,measured
193,1202,0,1,measured
194,3971,0,1,measured
195,863A,0,1,measured
196,D24D,0,1,measured
197,187E,0,1,measured
198,6239,0,1,measured
199,ACAE,0,1,measured
200,E908,0,1,measured
201,3AC4,0,1,measured
202,7C51,0,1,measured
203,BDD8,0,1,measured
204,034F,0,1,measured
205,4CA3,0,1,measured
206,D03D,0,1,measured
207,0193,0,1,measured
208,4B0F,0,1,measured
209,969B,0,1,measured
210,DCEC,0,1,measured
211,2653,0,1,measured
212,7374,0,1,measured
213,B6CD,0,1,measured
214,FEEF,0,1,measured
215,1F0F,0,1,measured
216,748C,0,1,measured
217,B9FB,0,1,measured
218,035A,0,1,measured
219,866E,0,1,measured
220,AAF5,0,1,measured
221,F61D,0,1,measured
222,3D0B,0,1,measured
223,85C7,0,1,measured
224,CF15,0,1,measured
225,18BF,0,1,measured
226,6190,0,1,measured
227,AA1C,0,1,measured
228,D122,0,1,measured
229,0E87,0,1,measured
230,5266,0,1,measured
231,A12F,0,1,measured
232,EC62,0,1,measured
233,3189,0,1,measured
234,7A47,0,1,measured
235,C419,0,1,measured
236,0D0A,0,1,measured
237,569A,0,1,measured
238,9F43,0,1,measured
239,E87F,0,1,measured
240,31D2,0,1,measured
241,5D35,0,1,measured
242,8809,0,1,measured
243,D087,0,1,measured
244,9E18,0,1,measured
245,AED6,0,1,measured
246,FCBB,0,1,measured
247,467E,0,1,measured
248,8E0C,0,1,measured
249,D806,0,1,measured
250,2089,0,1,measured
251,6B34,0,1,measured
252,B31A,0,1,measured
253,F4C6,0,1,measured
254,330D,0,1,measured
255,7BE2,0,1,measured
256,C518,0,1,measured
257,5B4A,0,1,measured
258,914F,0,1,measured
259,DA78,0,1,measured
260,1F94,0,1,measured
261,6D4F,0,1,measured
262,B570,0,1,measured
263,FF6E,0,1,measured
264,47F9,0,1,measured
265,91E6,0,1,measured
266,91E6,0,1,measured
267,C018,0,1,measured
268,1517,0,1,measured
269,5439,0,1,measured
270,9D84,0,1,measured
271,11A7,0,1,measured
272,4E79,0,1,measured
273,9665,0,1,measured
274,DF41,0,1,measured
275,2878,0,1,measured
276,6D40,0,1,measured
277,BB99,0,1,measured
278,0441,0,1,measured
279,4D78,0,1,measured
280,9316,0,1,measured
281,DBA0,0,1,measured
282,2248,0,1,measured
283,D16C,0,1,measured
284,FC9B,0,1,measured
285,45B8,0,1,measured
286,8E9C,0,1,measured
287,D810,0,1,measured
288,219C,0,1,measured
289,8456,0,1,measured
290,AF75,0,1,measured
291,FD38,0,1,measured
292,46F1,0,1,measured
293,8F67,0,1,measured
294,D8CF,0,1,measured
295,2216,0,1,measured
296,8A07,0,1,measured
297,B87A,0,1,measured
298,561D,0,1,measured
299,A034,0,1,measured
300,E981,0,1,measured
301,3277,0,1,measured
302,6D9F,0,1,measured
303,B5F1,0,1,measured
305,F356,0,1,measured
306,35EE,0,1,measured
307,7EB9,0,1,measured
308,C7FE,0,1,measured
309,47E5,0,1,measured
310,73ED,0,1,measured
311,BF15,0,1,measured
312,05C4,0,1,measured
313,4F60,0,1,measured
314,989F,0,1,measured
315,F947,0,1,measured
316,2B05,0,1,measured
317,A762,0,1,measured
318,F05D,0,1,measured
319,34DF,0,1,measured
320,8248,0,1,measured
321,FFC1,0,1,measured
322,22FB,0,1,measured
324,6BF8,0,1,measured
325,B5A1,0,1,measured
326,FF47,0,1,measured
327,46F8,0,1,measured
328,90B6,0,1,measured
329,D994,0,1,measured
330,221B,0,1,measured
331,6500,0,1,measured
332,A207,0,1,measured
333,EAF9,0,1,measured
334,3541,0,1,measured
335,78EB,0,1,measured
336,1B96,0,1,measured
