offset,seed,band,boots,how
268,1520,0,1,measured
269,5439,0,1,measured
270,9D9C,0,1,measured
271,11B0,0,1,measured
272,4E99,0,1,measured
273,9672,0,1,measured
274,DF3E,0,1,measured
275,2881,0,1,measured
276,6D40,0,1,measured
277,BBBE,0,1,measured
278,0449,0,1,measured
279,4D81,0,1,measured
280,9316,0,1,measured
281,DBC7,0,1,measured
282,2246,0,1,measured
283,D1B5,0,1,measured
284,FCE5,0,1,measured
285,45EC,0,1,measured
286,8EA3,0,1,measured
287,D859,0,1,measured
288,21E6,0,1,measured
289,8496,0,1,measured
290,AFBF,0,1,measured
291,FD6C,0,1,measured
292,472F,0,1,measured
293,8F70,0,1,measured
294,D918,0,1,measured
295,2258,0,1,measured
296,8A7C,0,1,measured
297,B8AE,0,1,measured
298,5626,0,1,measured
299,A068,0,1,measured
300,E9BE,0,1,measured
301,32B5,0,1,measured
302,6D9F,0,1,measured
303,B5FC,0,1,measured
304,F368,0,1,measured
305,F368,0,1,measured
306,35EE,0,1,measured
307,7EC2,0,1,measured
308,C808,0,1,measured
309,4824,0,1,measured
310,7422,0,1,measured
311,BF82,0,1,measured
312,05CD,0,1,measured
313,4FAB,0,1,measured
314,98E8,0,1,measured
315,F992,0,1,measured
316,2B06,0,1,measured
317,A76B,0,1,measured
318,F05C,0,1,measured
319,34E8,0,1,measured
320,825A,0,1,measured
321,0000,0,1,measured
322,2330,0,1,measured
323,6C47,0,1,measured
324,6C47,0,1,measured
325,B5E6,0,1,measured
326,FF89,0,1,measured
327,4728,0,1,measured
328,90CE,0,1,measured
329,D9C6,0,1,measured
330,2224,0,1,measured
331,6531,0,1,measured
332,A210,0,1,measured
333,EB02,0,1,measured
334,3572,0,1,measured
335,78EA,0,1,measured
336,1BA0,0,1,measured
337,659F,0,1,measured
338,AE21,0,1,measured
339,F771,0,1,measured
340,35D4,0,1,measured
341,7E12,0,1,measured
342,A9D1,0,1,measured
343,A9D1,0,1,measured
344,D7B3,0,1,measured
345,2018,0,1,measured
346,68D2,0,1,measured
347,198D,0,1,measured
348,4AAA,0,1,measured
349,974F,0,1,measured
350,D3E7,0,1,measured
351,2D0A,0,1,measured
352,72F0,0,1,measured
353,BC59,0,1,measured
354,0A01,0,1,measured
355,9AEC,0,1,measured
356,DA67,0,1,measured
357,2112,0,1,measured
358,6A83,0,1,measured
359,D5CC,0,1,measured
360,1185,0,1,measured
361,59E3,0,1,measured
362,59E3,0,1,measured
363,A663,0,1,measured
364,EC69,0,1,measured
365,281D,0,1,measured
366,7EF7,0,1,measured
367,CC86,0,1,measured
368,1235,0,1,measured
369,3EA2,0,1,measured
370,8B74,0,1,measured
371,D152,0,1,measured
372,1A74,0,1,measured
373,9A25,0,1,measured
374,1A97,0,1,measured
375,6410,0,1,measured
376,AC72,0,1,measured
377,F588,0,1,measured
378,14B7,0,1,measured
379,59B8,0,1,measured
380,A76A,0,1,measured
381,A76A,0,1,measured
382,D56D,0,1,measured
383,027B,0,1,measured
384,4A52,0,1,measured
385,931A,0,1,measured
386,3C0B,0,1,measured
387,7589,0,1,measured
388,BEAD,0,1,measured
389,08A5,0,1,measured
390,511A,0,1,measured
391,9A6B,0,1,measured
392,F477,0,1,measured
393,826A,0,1,measured
394,C707,0,1,measured
395,159F,0,1,measured
396,5E29,0,1,measured
397,9B18,0,1,measured
398,FAB8,0,1,measured
399,3128,0,1,measured
400,3128,0,1,measured
401,7B39,0,1,measured
402,C396,0,1,measured
403,0CC3,0,1,measured
404,55FE,0,1,measured
405,A000,0,1,measured
406,E93A,0,1,measured
407,31C9,0,1,measured
408,737B,0,1,measured
409,B1B7,0,1,measured
410,F159,0,1,measured
411,43BA,0,1,measured
412,FDCE,0,1,measured
413,464C,0,1,measured
414,8F5C,0,1,measured
415,D8F3,0,1,measured
416,16D1,0,1,measured
417,6CC1,0,1,measured
418,AB4E,0,1,measured
419,AB4E,0,1,measured
420,F3B4,0,1,measured
421,1C7C,0,1,measured
422,65F2,0,1,measured
423,AEBA,0,1,measured
424,2B52,0,1,measured
425,48C9,0,1,measured
426,966F,0,1,measured
427,E023,0,1,measured
428,287B,0,1,measured
429,7161,0,1,measured
430,BAA4,0,1,measured
431,589D,0,1,measured
432,9B3E,0,1,measured
433,D81E,0,1,measured
434,20F0,0,1,measured
435,5E5B,0,1,measured
436,A7B1,0,1,measured
437,F0D9,0,1,measured
438,F0D9,0,1,measured
439,3A1F,0,1,measured
440,7F99,0,1,measured
441,CCAD,0,1,measured
442,15DB,0,1,measured
443,5FAA,0,1,measured
444,A85F,0,1,measured
445,F1AF,0,1,measured
446,1FFB,0,1,measured
447,4DE9,0,1,measured
448,96D6,0,1,measured
449,E05E,0,1,measured
450,CDDC,0,1,measured
451,1A27,0,1,measured
452,64CD,0,1,measured
453,AA75,0,1,measured
454,DD90,0,1,measured
455,350F,0,1,measured
456,81E8,0,1,measured
457,81E8,0,1,measured
458,C70A,0,1,measured
459,0891,0,1,measured
460,4A12,0,1,measured
461,8FD3,0,1,measured
462,D99E,0,1,measured
463,49D4,0,1,measured
464,85C0,0,1,measured
465,C9D6,0,1,measured
466,2229,0,1,measured
467,5D15,0,1,measured
468,A766,0,1,measured
469,3CA2,0,1,measured
470,8DBE,0,1,measured
471,BADB,0,1,measured
472,0EC7,0,1,measured
473,4398,0,1,measured
474,8DD2,0,1,measured
475,EA40,0,1,measured
476,EA40,0,1,measured
477,1B23,0,1,measured
478,64D0,0,1,measured
479,AD3D,0,1,measured
480,F62A,0,1,measured
481,3F6B,0,1,measured
482,88FF,0,1,measured
483,D1EB,0,1,measured
484,1A4C,0,1,measured
485,4483,0,1,measured
486,3C06,0,1,measured
487,8575,0,1,measured
488,C174,0,1,measured
489,F748,0,1,measured
490,414F,0,1,measured
491,89AE,0,1,measured
492,D164,0,1,measured
493,1159,0,1,measured
494,7553,0,1,measured
495,7553,0,1,measured
496,A491,0,1,measured
497,ECCA,0,1,measured
498,35C2,0,1,measured
499,7EB0,0,1,measured
500,C3F3,0,1,measured
501,1135,0,1,measured
502,72F3,0,1,measured
503,A215,0,1,measured
504,E9E3,0,1,measured
505,333B,0,1,measured
506,7DC6,0,1,measured
507,1B29,0,1,measured
508,650E,0,1,measured
509,B64F,0,1,measured
510,D513,0,1,measured
511,074A,0,1,measured
512,501B,0,1,measured
513,E21B,0,1,measured
514,E21B,0,1,measured
515,0CA6,0,1,measured
516,5A4F,0,1,measured
517,A3DC,0,1,measured
518,ECF3,0,1,measured
519,352A,0,1,measured
520,7F8A,0,1,measured
521,E33A,0,1,measured
522,1132,0,1,measured
523,5A34,0,1,measured
524,A38D,0,1,measured
525,ECAA,0,1,measured
526,B4FD,0,1,measured
527,DA8E,0,1,measured
528,2396,0,1,measured
529,688A,0,1,measured
530,A972,0,1,measured
531,F247,0,1,measured
532,3B96,0,1,measured
533,3B96,0,1,measured
534,8542,0,1,measured
535,CE15,0,1,measured
536,1089,0,1,measured
537,4D2A,0,1,measured
538,9604,0,1,measured
539,DF39,0,1,measured
540,2895,0,1,measured
541,71C2,0,1,measured
542,BB02,0,1,measured
543,04ED,0,1,measured
544,4D70,0,1,measured
545,EC60,0,1,measured
546,3503,0,1,measured
547,7E44,0,1,measured
548,A701,0,1,measured
549,CAE7,0,1,measured
550,1422,0,1,measured
551,5CB8,0,1,measured
552,5CB8,0,1,measured
553,0806,0,1,measured
554,3EAF,0,1,measured
555,8A4B,0,1,measured
556,D2B0,0,1,measured
557,1C13,0,1,measured
558,656A,0,1,measured
559,AF5E,0,1,measured
560,ED2E,0,1,measured
561,4127,0,1,measured
562,82CF,0,1,measured
563,C0EB,0,1,measured
564,5D42,0,1,measured
565,D825,0,1,measured
566,046D,0,1,measured
567,4DCF,0,1,measured
568,89C4,0,1,measured
569,D383,0,1,measured
570,1CBC,0,1,measured
571,1CBC,0,1,measured
572,664F,0,1,measured
573,AD0C,0,1,measured
574,F556,0,1,measured
575,201D,0,1,measured
576,6E02,0,1,measured
577,B6C1,0,1,measured
578,FFFB,0,1,measured
579,816F,0,1,measured
580,B7B8,0,1,measured
581,031D,0,1,measured
582,49C4,0,1,measured
583,E826,0,1,measured
584,30B2,0,1,measured
585,5C84,0,1,measured
586,A490,0,1,measured
587,C518,0,1,measured
588,F3E1,0,1,measured
589,385A,0,1,measured
590,385A,0,1,measured
591,863F,0,1,measured
592,3E5F,0,1,measured
593,6842,0,1,measured
594,B151,0,1,measured
595,F9FF,0,1,measured
596,45B2,0,1,measured
597,8A97,0,1,measured
598,F4CE,0,1,measured
599,1FC5,0,1,measured
600,68E0,0,1,measured
601,B17D,0,1,measured
602,5067,0,1,measured
603,B511,0,1,measured
604,DC67,0,1,measured
605,2A39,0,1,measured
606,6986,0,1,measured
607,B353,0,1,measured
608,FB62,0,1,measured
609,FB62,0,1,measured
610,44B6,0,1,measured
611,9017,0,1,measured
612,D4E2,0,1,measured
613,15B6,0,1,measured
614,376C,0,1,measured
615,7EB5,0,1,measured
616,C78E,0,1,measured
617,6AF2,0,1,measured
618,9AC3,0,1,measured
619,E3D6,0,1,measured
620,26C5,0,1,measured
621,CB45,0,1,measured
622,146D,0,1,measured
623,5EA8,0,1,measured
624,A32A,0,1,measured
625,C179,0,1,measured
626,ECE7,0,1,measured
627,3439,0,1,measured
628,3439,0,1,measured
629,7D26,0,1,measured
630,172C,0,1,measured
631,3E54,0,1,measured
632,8778,0,1,measured
633,D10C,0,1,measured
634,1984,0,1,measured
635,5DCC,0,1,measured
636,AB9E,0,1,measured
637,F541,0,1,measured
638,3E31,0,1,measured
639,4850,0,1,measured
640,D9F2,0,1,measured
641,22FA,0,1,measured
642,9018,0,1,measured
643,D5DE,0,1,measured
644,13CF,0,1,measured
645,5DC3,0,1,measured
646,A64F,0,1,measured
647,A64F,0,1,measured
648,EF96,0,1,measured
649,3987,0,1,measured
650,7DB7,0,1,measured
651,CB57,0,1,measured
652,D9C0,0,1,measured
653,0564,0,1,measured
654,4DFC,0,1,measured
655,9619,0,1,measured
