offset,seed,band,boots,how
6,02A4,0,1,measured
7,2A97,0,1,measured
8,740C,0,1,measured
9,BCD9,0,1,measured
10,061C,0,1,measured
11,4F65,0,1,measured
12,98A3,0,1,measured
13,9857,0,1,measured
14,BAE8,0,1,measured
15,054C,0,1,measured
16,054C,0,1,measured
17,4C7D,0,1,measured
18,DFE0,0,1,measured
19,2842,0,1,measured
20,6AF6,0,1,measured
21,B930,0,1,measured
22,D8CD,0,1,measured
23,16CD,0,1,measured
24,5F33,0,1,measured
25,A86D,0,1,measured
26,F1B2,0,1,measured
27,3AF0,0,1,measured
28,63B4,0,1,measured
29,76C3,0,1,measured
30,C003,0,1,measured
31,085C,0,1,measured
32,51A5,0,1,measured
33,9AE5,0,1,measured
34,E425,0,1,measured
35,2981,0,1,measured
36,769C,0,1,measured
37,769C,0,1,measured
38,BFE1,0,1,measured
39,0926,0,1,measured
40,07E7,0,1,measured
41,2B68,0,1,measured
42,776A,0,1,measured
43,BE7A,0,1,measured
44,0615,0,1,measured
45,4E80,0,1,measured
46,A0B8,0,1,measured
47,E557,0,1,measured
48,2E64,0,1,measured
49,6FEB,0,1,measured
50,AE3C,0,1,measured
51,EE41,0,1,measured
52,4157,0,1,measured
53,8B37,0,1,measured
54,D3D2,0,1,measured
55,1C38,0,1,measured
56,949B,0,1,measured
57,DE14,0,1,measured
58,283C,0,1,measured
59,7208,0,1,measured
60,B8DC,0,1,measured
61,FF94,0,1,measured
62,48A7,0,1,measured
63,71A5,0,1,measured
64,3126,0,1,measured
65,4CB9,0,1,measured
66,9C0E,0,1,measured
67,E363,0,1,measured
68,2DC0,0,1,measured
69,758C,0,1,measured
70,BF72,0,1,measured
71,0C4B,0,1,measured
72,4EFA,0,1,measured
73,C465,0,1,measured
74,E4C3,0,1,measured
75,2F4E,0,1,measured
76,76A2,0,1,measured
77,C100,0,1,measured
78,0975,0,1,measured
79,5387,0,1,measured
80,981B,0,1,measured
81,E4F8,0,1,measured
82,581E,0,1,measured
83,7803,0,1,measured
84,C28E,0,1,measured
85,09E3,0,1,measured
86,5572,0,1,measured
87,9CAC,0,1,measured
88,E6ED,0,1,measured
89,E6ED,0,1,measured
90,3040,0,1,measured
91,A458,0,1,measured
92,C343,0,1,measured
93,0DC9,0,1,measured
94,5520,0,1,measured
95,E28D,0,1,measured
96,3127,0,1,measured
97,7B3E,0,1,measured
98,C4D0,0,1,measured
99,3710,0,1,measured
100,568A,0,1,measured
101,A2A3,0,1,measured
102,E9A0,0,1,measured
103,3143,0,1,measured
104,7B3D,0,1,measured
105,C53E,0,1,measured
106,0EC3,0,1,measured
