offset,seed,band,boots,how
6,02A4,0,1,measured
7,2A9F,0,1,measured
8,7415,0,1,measured
9,BCD7,0,1,measured
10,0624,0,1,measured
11,4F64,0,1,measured
12,98A1,0,1,measured
13,9861,0,1,measured
14,BADE,0,1,measured
15,0549,0,1,measured
16,0549,0,1,measured
17,4C77,0,1,measured
18,DFE1,0,1,measured
19,2838,0,1,measured
20,6B00,0,1,measured
21,B939,0,1,measured
22,D8CC,0,1,measured
23,16D5,0,1,measured
24,5F30,0,1,measured
25,A862,0,1,measured
26,F1B2,0,1,measured
27,3AE6,0,1,measured
28,63AA,0,1,measured
29,76C2,0,1,measured
30,C001,0,1,measured
31,085C,0,1,measured
32,51A4,0,1,measured
33,9AE4,0,1,measured
34,E424,0,1,measured
35,297F,0,1,measured
36,76A4,0,1,measured
37,76A4,0,1,measured
38,BFE0,0,1,measured
39,0924,0,1,measured
40,07E3,0,1,measured
41,2B66,0,1,measured
42,776B,0,1,measured
43,BE85,0,1,measured
44,060B,0,1,measured
45,4E88,0,1,measured
46,A0C0,0,1,measured
47,E553,0,1,measured
48,2E6E,0,1,measured
49,6FF3,0,1,measured
50,AE45,0,1,measured
51,EE43,0,1,measured
52,4160,0,1,measured
53,8B36,0,1,measured
54,D3D1,0,1,measured
55,1C39,0,1,measured
56,94A3,0,1,measured
57,DE13,0,1,measured
58,2839,0,1,measured
59,71FF,0,1,measured
60,B8DB,0,1,measured
61,FF90,0,1,measured
62,48A6,0,1,measured
63,71AF,0,1,measured
64,3124,0,1,measured
65,4CAE,0,1,measured
66,9C09,0,1,measured
67,E362,0,1,measured
68,2DBF,0,1,measured
69,7583,0,1,measured
70,BF70,0,1,measured
71,0C42,0,1,measured
72,4F02,0,1,measured
73,C467,0,1,measured
74,E4BF,0,1,measured
75,2F42,0,1,measured
76,76A2,0,1,measured
77,C0FE,0,1,measured
78,096C,0,1,measured
79,537D,0,1,measured
80,9819,0,1,measured
81,E4EB,0,1,measured
82,5817,0,1,measured
83,7800,0,1,measured
84,C289,0,1,measured
85,09E2,0,1,measured
86,5571,0,1,measured
87,9CAB,0,1,measured
88,E6F3,0,1,measured
89,E6F3,0,1,measured
90,3036,0,1,measured
91,A45E,0,1,measured
92,C348,0,1,measured
93,0DBE,0,1,measured
94,552B,0,1,measured
95,E282,0,1,measured
96,3128,0,1,measured
97,7B49,0,1,measured
98,C4C7,0,1,measured
99,370F,0,1,measured
100,5687,0,1,measured
101,A29A,0,1,measured
102,E994,0,1,measured
103,3147,0,1,measured
104,7B3C,0,1,measured
105,C549,0,1,measured
106,0EBC,0,1,measured
107,80F7,0,1,measured
108,9F91,0,1,measured
109,E9FF,0,1,measured
110,2CAE,0,1,measured
111,2CAE,0,1,measured
112,7BBC,0,1,measured
113,C38A,0,1,measured
114,0D64,0,1,measured
115,5787,0,1,measured
116,A10C,0,1,measured
117,1740,0,1,measured
118,2E39,0,1,measured
119,77BA,0,1,measured
120,C02D,0,1,measured
121,5243,0,1,measured
122,9BEA,0,1,measured
123,E4DF,0,1,measured
124,2D2B,0,1,measured
125,6B9F,0,1,measured
126,AD35,0,1,measured
127,F607,0,1,measured
128,406C,0,1,measured
129,8F47,0,1,measured
130,D22C,0,1,measured
131,2098,0,1,measured
132,68F6,0,1,measured
133,ADDE,0,1,measured
134,FC27,0,1,measured
135,4490,0,1,measured
136,8DE8,0,1,measured
137,D753,0,1,measured
138,0245,0,1,measured
139,313A,0,1,measured
140,700C,0,1,measured
141,C37C,0,1,measured
142,6938,0,1,measured
143,A22C,0,1,measured
144,EDC2,0,1,measured
145,3633,0,1,measured
146,7FC7,0,1,measured
147,C982,0,1,measured
148,1234,0,1,measured
149,5B59,0,1,measured
150,A491,0,1,measured
151,E61E,0,1,measured
152,246C,0,1,measured
153,6D68,0,1,measured
154,F156,0,1,measured
155,1542,0,1,measured
156,62F1,0,1,measured
157,AC9F,0,1,measured
158,F4E5,0,1,measured
159,3E83,0,1,measured
160,87B7,0,1,measured
161,D15E,0,1,measured
162,17F5,0,1,measured
163,4478,0,1,measured
164,8DED,0,1,measured
165,D6BD,0,1,measured
166,1FE9,0,1,measured
167,9CB5,0,1,measured
168,B44E,0,1,measured
169,FDA4,0,1,measured
170,425A,0,1,measured
171,8F38,0,1,measured
172,D815,0,1,measured
173,2156,0,1,measured
174,6B07,0,1,measured
175,B3FB,0,1,measured
176,DEFC,0,1,measured
177,0C56,0,1,measured
178,556E,0,1,measured
179,9E39,0,1,measured
180,5125,0,1,measured
181,8243,0,1,measured
182,CB5E,0,1,measured
183,1402,0,1,measured
184,5DB8,0,1,measured
185,A2BD,0,1,measured
186,EDD0,0,1,measured
187,5281,0,1,measured
188,830C,0,1,measured
189,CC1D,0,1,measured
190,14CC,0,1,measured
191,6071,0,1,measured
192,A569,0,1,measured
193,1239,0,1,measured
194,39C4,0,1,measured
195,866A,0,1,measured
196,D247,0,1,measured
197,18B9,0,1,measured
198,6270,0,1,measured
199,ACAF,0,1,measured
200,E902,0,1,measured
201,3AC5,0,1,measured
202,7C52,0,1,measured
