offset,seed,band,boots,how
6,029B,0,1,measured
7,2A96,0,1,measured
8,7403,0,1,measured
9,BCD7,0,1,measured
10,061D,0,1,measured
11,4F5B,0,1,measured
12,9890,0,1,measured
13,9801,0,1,measured
14,BA9C,0,1,measured
15,04F9,0,1,measured
16,04F9,0,1,measured
17,4C7C,0,1,measured
18,DFA7,0,1,measured
19,281F,0,1,measured
20,6ACF,0,1,measured
21,B90F,0,1,measured
22,D8C3,0,1,measured
23,16CC,0,1,measured
24,5F20,0,1,measured
25,A865,0,1,measured
26,F1A8,0,1,measured
27,3ADD,0,1,measured
28,63A1,0,1,measured
29,76B9,0,1,measured
30,BFFA,0,1,measured
31,0853,0,1,measured
32,519B,0,1,measured
33,9AD2,0,1,measured
34,E412,0,1,measured
35,296E,0,1,measured
36,7692,0,1,measured
37,7692,0,1,measured
38,BFCE,0,1,measured
39,091B,0,1,measured
40,078E,0,1,measured
41,2B1C,0,1,measured
42,76FF,0,1,measured
43,BE3C,0,1,measured
44,05F4,0,1,measured
45,4E80,0,1,measured
46,A083,0,1,measured
47,E554,0,1,measured
48,2E62,0,1,measured
49,6FEA,0,1,measured
50,AE3C,0,1,measured
51,EE37,0,1,measured
52,4140,0,1,measured
53,8AFE,0,1,measured
54,D3B0,0,1,measured
55,1C2F,0,1,measured
56,949A,0,1,measured
57,DDFC,0,1,measured
58,281C,0,1,measured
59,71CF,0,1,measured
60,B8AB,0,1,measured
61,FF87,0,1,measured
62,4894,0,1,measured
63,719B,0,1,measured
64,30C2,0,1,measured
65,4C79,0,1,measured
66,9BB7,0,1,measured
67,E342,0,1,measured
68,2D7C,0,1,measured
69,7559,0,1,measured
70,BF5E,0,1,measured
71,0BA1,0,1,measured
72,4EEF,0,1,measured
73,C414,0,1,measured
74,E482,0,1,measured
75,2EEB,0,1,measured
76,7682,0,1,measured
77,C0BB,0,1,measured
78,096E,0,1,measured
79,5328,0,1,measured
80,97C6,0,1,measured
81,E4B7,0,1,measured
82,57CC,0,1,measured
83,77C2,0,1,measured
84,C237,0,1,measured
85,09C2,0,1,measured
86,5520,0,1,measured
87,9CA4,0,1,measured
88,E691,0,1,measured
89,E691,0,1,measured
90,2FEC,0,1,measured
91,A3FF,0,1,measured
92,C30D,0,1,measured
93,0D64,0,1,measured
94,5500,0,1,measured
95,E26A,0,1,measured
96,3128,0,1,measured
97,7AF5,0,1,measured
98,C478,0,1,measured
99,36C5,0,1,measured
100,563F,0,1,measured
101,A230,0,1,measured
102,E963,0,1,measured
103,312E,0,1,measured
104,7B34,0,1,measured
105,C4E8,0,1,measured
106,0E6F,0,1,measured
107,80A2,0,1,measured
108,9F53,0,1,measured
109,E9A0,0,1,measured
110,2C83,0,1,measured
111,2C83,0,1,measured
112,7B80,0,1,measured
113,C35D,0,1,measured
114,0D5D,0,1,measured
115,573A,0,1,measured
116,A0C1,0,1,measured
117,16D4,0,1,measured
118,2E04,0,1,measured
119,777A,0,1,measured
120,BFFD,0,1,measured
121,5219,0,1,measured
122,9BD0,0,1,measured
123,E4B9,0,1,measured
124,2D2A,0,1,measured
125,6B78,0,1,measured
126,AD36,0,1,measured
127,F608,0,1,measured
128,4050,0,1,measured
129,8F3E,0,1,measured
130,D223,0,1,measured
131,2079,0,1,measured
132,68E4,0,1,measured
133,ADD5,0,1,measured
134,FBF5,0,1,measured
135,448F,0,1,measured
136,8DD7,0,1,measured
137,D74A,0,1,measured
138,0223,0,1,measured
139,3118,0,1,measured
140,6FF9,0,1,measured
141,C368,0,1,measured
142,6926,0,1,measured
143,A219,0,1,measured
144,ED92,0,1,measured
145,3621,0,1,measured
146,7FB4,0,1,measured
147,C964,0,1,measured
148,122B,0,1,measured
149,5B47,0,1,measured
150,A48C,0,1,measured
151,E618,0,1,measured
152,2463,0,1,measured
153,6D55,0,1,measured
154,F10C,0,1,measured
155,1502,0,1,measured
156,62B3,0,1,measured
