offset,seed,band,boots,how
268,1524,0,1,measured
269,5439,0,1,measured
270,9D82,0,1,measured
271,11A7,0,1,measured
272,4E79,0,1,measured
273,9665,0,1,measured
274,DF3F,0,1,measured
275,2884,0,1,measured
276,6D42,0,1,measured
277,BB96,0,1,measured
278,0441,0,1,measured
279,4D84,0,1,measured
280,9316,0,1,measured
281,DBA9,0,1,measured
282,2248,0,1,measured
283,D16C,0,1,measured
284,FCA6,0,1,measured
285,45AF,0,1,measured
286,8E9A,0,1,measured
287,D811,0,1,measured
288,21A2,0,1,measured
289,8456,0,1,measured
290,AF75,0,1,measured
291,FD34,0,1,measured
292,46F0,0,1,measured
293,8F6E,0,1,measured
294,D8CF,0,1,measured
295,220F,0,1,measured
296,8A07,0,1,measured
297,B870,0,1,measured
298,561D,0,1,measured
299,A02A,0,1,measured
300,E98A,0,1,measured
301,3277,0,1,measured
302,6D97,0,1,measured
303,B5F6,0,1,measured
304,F35F,0,1,measured
305,F35F,0,1,measured
306,35E5,0,1,measured
307,7EB0,0,1,measured
308,C7F4,0,1,measured
309,47F0,0,1,measured
310,73ED,0,1,measured
311,BF0C,0,1,measured
312,05CD,0,1,measured
313,4F60,0,1,measured
314,989F,0,1,measured
315,F954,0,1,measured
316,2B05,0,1,measured
317,A76B,0,1,measured
318,F053,0,1,measured
319,34D7,0,1,measured
320,8252,0,1,measured
321,FFC1,0,1,measured
322,22FB,0,1,measured
323,6C01,0,1,measured
324,6C01,0,1,measured
325,B5AD,0,1,measured
326,FF46,0,1,measured
327,46F8,0,1,measured
328,90AD,0,1,measured
329,D99F,0,1,measured
330,221B,0,1,measured
331,6500,0,1,measured
332,A211,0,1,measured
333,EAEE,0,1,measured
334,3541,0,1,measured
335,78EB,0,1,measured
336,1B96,0,1,measured
337,6574,0,1,measured
338,AE18,0,1,measured
339,F768,0,1,measured
340,35AC,0,1,measured
341,7E12,0,1,measured
342,A9C0,0,1,measured
343,A9C0,0,1,measured
344,D796,0,1,measured
345,1FFD,0,1,measured
346,68C9,0,1,measured
347,1961,0,1,measured
348,4AA2,0,1,measured
349,974F,0,1,measured
350,D3BE,0,1,measured
351,2D01,0,1,measured
352,72E8,0,1,measured
353,BC5C,0,1,measured
354,09D8,0,1,measured
355,9AE0,0,1,measured
356,DA6B,0,1,measured
357,20FE,0,1,measured
358,6A7B,0,1,measured
359,D5AB,0,1,measured
360,1167,0,1,measured
361,59D8,0,1,measured
362,59D8,0,1,measured
363,A652,0,1,measured
364,EC60,0,1,measured
365,281E,0,1,measured
366,7EEE,0,1,measured
367,CC66,0,1,measured
368,120E,0,1,measured
369,3E99,0,1,measured
370,8B5F,0,1,measured
371,D149,0,1,measured
372,1A74,0,1,measured
373,99DA,0,1,measured
374,1A59,0,1,measured
375,63C6,0,1,measured
376,AC43,0,1,measured
377,F56F,0,1,measured
378,1491,0,1,measured
379,5997,0,1,measured
380,A74A,0,1,measured
381,A74A,0,1,measured
382,D55A,0,1,measured
383,0253,0,1,measured
384,4A44,0,1,measured
385,9311,0,1,measured
386,3BDA,0,1,measured
387,7577,0,1,measured
388,BEA5,0,1,measured
389,0883,0,1,measured
390,511D,0,1,measured
391,9A63,0,1,measured
392,F44F,0,1,measured
393,8260,0,1,measured
394,C6FE,0,1,measured
395,157E,0,1,measured
396,5E18,0,1,measured
397,9B14,0,1,measured
398,FA96,0,1,measured
399,312B,0,1,measured
400,312B,0,1,measured
401,7B09,0,1,measured
402,C384,0,1,measured
403,0CC4,0,1,measured
404,55F5,0,1,measured
405,9FDD,0,1,measured
406,E915,0,1,measured
407,31BF,0,1,measured
408,7369,0,1,measured
409,B1AF,0,1,measured
410,F146,0,1,measured
411,43BB,0,1,measured
412,FDA6,0,1,measured
413,4645,0,1,measured
414,8F53,0,1,measured
415,D8EA,0,1,measured
416,16C0,0,1,measured
417,6CAA,0,1,measured
418,AB20,0,1,measured
419,AB20,0,1,measured
420,F3AB,0,1,measured
421,1C76,0,1,measured
422,65E9,0,1,measured
423,AEA9,0,1,measured
424,2B12,0,1,measured
425,4895,0,1,measured
426,9628,0,1,measured
427,DFE6,0,1,measured
428,2847,0,1,measured
429,7142,0,1,measured
430,BA85,0,1,measured
431,58A0,0,1,measured
432,9B16,0,1,measured
433,D815,0,1,measured
434,20E7,0,1,measured
435,5E52,0,1,measured
436,A7A8,0,1,measured
437,F0D0,0,1,measured
438,F0D0,0,1,measured
439,3A0D,0,1,measured
440,7F6E,0,1,measured
441,CC98,0,1,measured
442,15DB,0,1,measured
443,5F8D,0,1,measured
444,A856,0,1,measured
445,F1A5,0,1,measured
446,1FDA,0,1,measured
447,4DDF,0,1,measured
448,96D5,0,1,measured
449,E03D,0,1,measured
450,CDD3,0,1,measured
451,19F7,0,1,measured
452,64C4,0,1,measured
453,AA6C,0,1,measured
454,DD87,0,1,measured
455,34EC,0,1,measured
456,81CA,0,1,measured
457,81CA,0,1,measured
458,C706,0,1,measured
459,0892,0,1,measured
460,4A01,0,1,measured
461,8FCD,0,1,measured
462,D97D,0,1,measured
463,49CB,0,1,measured
464,858A,0,1,measured
465,C9D6,0,1,measured
466,21F6,0,1,measured
467,5CD7,0,1,measured
468,A71E,0,1,measured
469,3C63,0,1,measured
470,8D82,0,1,measured
471,BAD2,0,1,measured
472,0E7E,0,1,measured
473,4358,0,1,measured
474,8D95,0,1,measured
475,E9BA,0,1,measured
476,E9BA,0,1,measured
477,1ADB,0,1,measured
478,6488,0,1,measured
479,AD16,0,1,measured
480,F601,0,1,measured
481,3F47,0,1,measured
482,88DE,0,1,measured
483,D1BB,0,1,measured
484,1A4C,0,1,measured
485,4465,0,1,measured
486,3BF3,0,1,measured
487,856F,0,1,measured
488,C16B,0,1,measured
489,F73F,0,1,measured
490,412A,0,1,measured
491,89A7,0,1,measured
492,D12C,0,1,measured
493,1119,0,1,measured
494,751C,0,1,measured
495,751C,0,1,measured
496,A449,0,1,measured
497,EC99,0,1,measured
498,358F,0,1,measured
499,7E92,0,1,measured
500,C3D3,0,1,measured
501,1117,0,1,measured
502,72DD,0,1,measured
503,A1EF,0,1,measured
504,E9D1,0,1,measured
505,3328,0,1,measured
506,7D9E,0,1,measured
507,1B19,0,1,measured
508,64EC,0,1,measured
509,B60B,0,1,measured
510,D4E0,0,1,measured
511,070A,0,1,measured
512,4FD8,0,1,measured
513,E1F7,0,1,measured
514,E1F7,0,1,measured
515,0C84,0,1,measured
516,5A27,0,1,measured
517,A3C5,0,1,measured
518,ECC2,0,1,measured
519,3522,0,1,measured
520,7F56,0,1,measured
521,E331,0,1,measured
522,111F,0,1,measured
523,5A34,0,1,measured
524,A379,0,1,measured
525,ECA0,0,1,measured
526,B4B3,0,1,measured
527,DA4F,0,1,measured
528,2357,0,1,measured
529,684B,0,1,measured
530,A954,0,1,measured
531,F224,0,1,measured
532,3B65,0,1,measured
533,3B65,0,1,measured
534,8527,0,1,measured
535,CDEE,0,1,measured
536,1063,0,1,measured
537,4D21,0,1,measured
538,9605,0,1,measured
539,DF26,0,1,measured
540,2883,0,1,measured
541,71C1,0,1,measured
542,BAEE,0,1,measured
543,04C2,0,1,measured
544,4D72,0,1,measured
545,EC43,0,1,measured
546,34FA,0,1,measured
547,7E3B,0,1,measured
548,A6F8,0,1,measured
549,CAC7,0,1,measured
550,1408,0,1,measured
551,5C8D,0,1,measured
552,5C8D,0,1,measured
553,0808,0,1,measured
554,3EA6,0,1,measured
555,8A24,0,1,measured
556,D2AF,0,1,measured
557,1C0B,0,1,measured
558,6563,0,1,measured
559,AF42,0,1,measured
560,ED07,0,1,measured
561,411E,0,1,measured
562,82CF,0,1,measured
563,C0E0,0,1,measured
564,5D2C,0,1,measured
565,D7A9,0,1,measured
566,042F,0,1,measured
567,4D8E,0,1,measured
568,89C8,0,1,measured
569,D345,0,1,measured
570,1C87,0,1,measured
571,1C87,0,1,measured
572,6619,0,1,measured
573,AD00,0,1,measured
574,F54D,0,1,measured
575,2014,0,1,measured
576,6DEF,0,1,measured
577,B6C3,0,1,measured
578,FFE8,0,1,measured
579,8125,0,1,measured
580,B77A,0,1,measured
581,02B1,0,1,measured
582,499D,0,1,measured
583,E809,0,1,measured
584,30A9,0,1,measured
585,5C45,0,1,measured
586,A478,0,1,measured
587,C518,0,1,measured
588,F3B5,0,1,measured
589,383C,0,1,measured
590,383C,0,1,measured
591,8625,0,1,measured
592,3E1E,0,1,measured
593,680A,0,1,measured
594,B11C,0,1,measured
595,F9FA,0,1,measured
596,452F,0,1,measured
597,8A8D,0,1,measured
598,F490,0,1,measured
599,1F7C,0,1,measured
600,68A0,0,1,measured
601,B169,0,1,measured
602,5034,0,1,measured
603,B4C9,0,1,measured
604,DC31,0,1,measured
605,29FA,0,1,measured
606,694F,0,1,measured
607,B34A,0,1,measured
608,FB29,0,1,measured
609,FB29,0,1,measured
610,446A,0,1,measured
611,8FDC,0,1,measured
612,D4DA,0,1,measured
613,15AC,0,1,measured
614,3763,0,1,measured
615,7EAC,0,1,measured
616,C785,0,1,measured
617,6AA9,0,1,measured
618,9A8D,0,1,measured
619,E397,0,1,measured
620,268A,0,1,measured
621,CAFC,0,1,measured
622,1430,0,1,measured
623,5E69,0,1,measured
624,A321,0,1,measured
625,C17A,0,1,measured
626,ECE5,0,1,measured
627,3439,0,1,measured
628,3439,0,1,measured
629,7D1D,0,1,measured
630,16ED,0,1,measured
631,3E15,0,1,measured
632,8738,0,1,measured
633,D0C6,0,1,measured
634,195D,0,1,measured
635,5DAB,0,1,measured
636,AB81,0,1,measured
637,F518,0,1,measured
638,3E0B,0,1,measured
639,4847,0,1,measured
640,D9DF,0,1,measured
641,22F0,0,1,measured
642,900F,0,1,measured
643,D5D5,0,1,measured
644,13C7,0,1,measured
645,5D98,0,1,measured
646,A650,0,1,measured
647,A650,0,1,measured
648,EF8E,0,1,measured
649,395F,0,1,measured
650,7DAE,0,1,measured
651,CB4E,0,1,measured
652,D9B7,0,1,measured
653,0543,0,1,measured
654,4DD3,0,1,measured
655,9618,0,1,measured
656,3A45,0,1,measured
657,7266,0,1,measured
658,BE2C,0,1,measured
659,5937,0,1,measured
660,A423,0,1,measured
661,EDFC,0,1,measured
662,36A0,0,1,measured
663,7527,0,1,measured
664,B024,0,1,measured
665,F51D,0,1,measured
666,F51D,0,1,measured
667,3DE8,0,1,measured
668,8718,0,1,measured
669,195B,0,1,measured
670,553C,0,1,measured
671,9F58,0,1,measured
672,E66E,0,1,measured
673,3063,0,1,measured
674,78F0,0,1,measured
675,C357,0,1,measured
676,0C06,0,1,measured
677,551B,0,1,measured
678,DB96,0,1,measured
679,1DAD,0,1,measured
680,6D30,0,1,measured
681,0990,0,1,measured
682,34F7,0,1,measured
683,7E29,0,1,measured
684,C7E0,0,1,measured
685,C7E0,0,1,measured
686,1159,0,1,measured
687,5939,0,1,measured
688,A2F0,0,1,measured
689,EBBF,0,1,measured
690,3453,0,1,measured
691,6378,0,1,measured
692,8D32,0,1,measured
693,D639,0,1,measured
694,5EF8,0,1,measured
695,933E,0,1,measured
696,E111,0,1,measured
697,805E,0,1,measured
698,D971,0,1,measured
699,12A7,0,1,measured
700,6B92,0,1,measured
701,98B9,0,1,measured
702,E16F,0,1,measured
703,2AC1,0,1,measured
704,2AC1,0,1,measured
705,744F,0,1,measured
706,BD2F,0,1,measured
707,1A84,0,1,measured
708,549B,0,1,measured
709,9C83,0,1,measured
710,E137,0,1,measured
711,3020,0,1,measured
712,7841,0,1,measured
713,C19A,0,1,measured
714,0ADE,0,1,measured
715,54A7,0,1,measured
716,04BF,0,1,measured
717,4E37,0,1,measured
718,96BD,0,1,measured
719,D4AD,0,1,measured
720,0441,0,1,measured
721,4DD2,0,1,measured
722,96A1,0,1,measured
723,96A1,0,1,measured
724,DF27,0,1,measured
725,24F1,0,1,measured
726,71AF,0,1,measured
727,BAED,0,1,measured
728,054D,0,1,measured
729,45DF,0,1,measured
730,842F,0,1,measured
731,CDD7,0,1,measured
732,1632,0,1,measured
733,9A6C,0,1,measured
734,BE3F,0,1,measured
735,5D16,0,1,measured
736,A565,0,1,measured
737,EE9C,0,1,measured
738,37DC,0,1,measured
739,70AC,0,1,measured
740,BE14,0,1,measured
741,FF1C,0,1,measured
742,FF1C,0,1,measured
743,3E7D,0,1,measured
744,8629,0,1,measured
745,CF6D,0,1,measured
746,1A1C,0,1,measured
747,61E1,0,1,measured
748,AB1E,0,1,measured
749,F4F4,0,1,measured
750,3DAD,0,1,measured
751,86D6,0,1,measured
752,D09B,0,1,measured
753,195E,0,1,measured
754,9759,0,1,measured
755,CAC8,0,1,measured
756,12BB,0,1,measured
757,5B8C,0,1,measured
758,FEB2,0,1,measured
759,335D,0,1,measured
760,7F34,0,1,measured
761,7F34,0,1,measured
762,C936,0,1,measured
763,0EEB,0,1,measured
764,5A36,0,1,measured
765,A5A0,0,1,measured
766,ED2D,0,1,measured
767,35D2,0,1,measured
768,795D,0,1,measured
769,B5B5,0,1,measured
770,F342,0,1,measured
771,47DD,0,1,measured
772,B6BE,0,1,measured
773,4765,0,1,measured
774,91B6,0,1,measured
775,DA30,0,1,measured
776,234D,0,1,measured
777,6418,0,1,measured
778,ABA0,0,1,measured
779,F441,0,1,measured
780,F441,0,1,measured
781,250F,0,1,measured
782,6D03,0,1,measured
783,B5BB,0,1,measured
784,33D7,0,1,measured
785,5E5B,0,1,measured
786,AAFC,0,1,measured
787,F429,0,1,measured
788,3C4B,0,1,measured
789,864C,0,1,measured
790,CECE,0,1,measured
791,195F,0,1,measured
792,9A37,0,1,measured
793,C89C,0,1,measured
794,1136,0,1,measured
795,59F2,0,1,measured
796,D9F3,0,1,measured
797,1076,0,1,measured
798,599A,0,1,measured
799,599A,0,1,measured
800,9EBD,0,1,measured
801,EBEA,0,1,measured
802,3FCC,0,1,measured
803,7DB5,0,1,measured
804,DB9D,0,1,measured
805,1060,0,1,measured
806,5AF9,0,1,measured
807,A277,0,1,measured
808,EBD7,0,1,measured
809,35B8,0,1,measured
810,9551,0,1,measured
811,1DB3,0,1,measured
812,6725,0,1,measured
813,B056,0,1,measured
814,F260,0,1,measured
815,3798,0,1,measured
816,7FA2,0,1,measured
817,C978,0,1,measured
818,C978,0,1,measured
819,25BE,0,1,measured
820,656B,0,1,measured
821,ADBE,0,1,measured
822,F73A,0,1,measured
823,446B,0,1,measured
824,8854,0,1,measured
825,D068,0,1,measured
826,1990,0,1,measured
827,61CE,0,1,measured
828,ABAC,0,1,measured
829,08E4,0,1,measured
830,93AF,0,1,measured
831,BCC3,0,1,measured
832,04EE,0,1,measured
833,4D7D,0,1,measured
834,8B0B,0,1,measured
835,0F4E,0,1,measured
836,3207,0,1,measured
837,3207,0,1,measured
838,7B87,0,1,measured
839,C418,0,1,measured
840,0CD0,0,1,measured
841,560A,0,1,measured
842,9FB9,0,1,measured
843,E8AE,0,1,measured
844,3121,0,1,measured
845,6F7B,0,1,measured
846,B121,0,1,measured
847,FA02,0,1,measured
848,4449,0,1,measured
849,DF1D,0,1,measured
850,28A7,0,1,measured
851,70FF,0,1,measured
852,BA4D,0,1,measured
853,F848,0,1,measured
854,691A,0,1,measured
855,A7EA,0,1,measured
856,A7EA,0,1,measured
857,F125,0,1,measured
858,1EF9,0,1,measured
859,4DEF,0,1,measured
860,9191,0,1,measured
861,E034,0,1,measured
862,75C2,0,1,measured
863,A4A0,0,1,measured
864,EE44,0,1,measured
865,36D8,0,1,measured
866,807B,0,1,measured
867,CA09,0,1,measured
868,67C2,0,1,measured
869,B0EE,0,1,measured
870,F2BF,0,1,measured
871,3064,0,1,measured
872,6E0B,0,1,measured
873,DA83,0,1,measured
874,1347,0,1,measured
875,1347,0,1,measured
876,62F5,0,1,measured
877,AC34,0,1,measured
878,F560,0,1,measured
879,3EB0,0,1,measured
880,87F4,0,1,measured
881,D2A2,0,1,measured
882,1A61,0,1,measured
883,4994,0,1,measured
884,930F,0,1,measured
885,DBD9,0,1,measured
886,2511,0,1,measured
887,C1AA,0,1,measured
888,0BFF,0,1,measured
889,4F04,0,1,measured
890,9E86,0,1,measured
891,DA68,0,1,measured
892,25BC,0,1,measured
893,6F9F,0,1,measured
894,6F9F,0,1,measured
895,B8DA,0,1,measured
896,E5FC,0,1,measured
897,14AB,0,1,measured
898,5D9B,0,1,measured
899,A682,0,1,measured
900,5AC3,0,1,measured
901,8A11,0,1,measured
902,D6C7,0,1,measured
903,2009,0,1,measured
904,664D,0,1,measured
905,A696,0,1,measured
906,5CA4,0,1,measured
907,9942,0,1,measured
908,E18E,0,1,measured
909,2B84,0,1,measured
910,6A26,0,1,measured
911,B2B6,0,1,measured
912,16E8,0,1,measured
913,16E8,0,1,measured
914,47AD,0,1,measured
915,90AA,0,1,measured
916,DB19,0,1,measured
917,2421,0,1,measured
918,6BE4,0,1,measured
919,B731,0,1,measured
920,F340,0,1,measured
921,485F,0,1,measured
922,893F,0,1,measured
923,C9A6,0,1,measured
924,10D6,0,1,measured
925,CD6F,0,1,measured
926,02FB,0,1,measured
927,4C0C,0,1,measured
928,9E0E,0,1,measured
929,D3DF,0,1,measured
930,1D50,0,1,measured
931,71F8,0,1,measured
932,71F8,0,1,measured
933,AFBD,0,1,measured
934,F81F,0,1,measured
935,374E,0,1,measured
936,9620,0,1,measured
937,D49F,0,1,measured
938,1E80,0,1,measured
939,8F80,0,1,measured
940,AA92,0,1,measured
941,F59F,0,1,measured
942,3C8B,0,1,measured
943,854F,0,1,measured
944,2462,0,1,measured
945,6D7F,0,1,measured
946,B601,0,1,measured
947,F893,0,1,measured
948,29BB,0,1,measured
949,6E0D,0,1,measured
950,9C68,0,1,measured
951,9C68,0,1,measured
952,1ED3,0,1,measured
953,5E78,0,1,measured
954,A7B9,0,1,measured
955,F17A,0,1,measured
956,3A87,0,1,measured
957,8401,0,1,measured
958,CCA3,0,1,measured
959,15F6,0,1,measured
960,5F39,0,1,measured
961,85B1,0,1,measured
962,A97B,0,1,measured
963,6DCF,0,1,measured
964,A532,0,1,measured
965,F650,0,1,measured
966,3FAE,0,1,measured
967,7E27,0,1,measured
968,C781,0,1,measured
969,10AB,0,1,measured
970,10AB,0,1,measured
971,5AE1,0,1,measured
972,A325,0,1,measured
973,EC5C,0,1,measured
974,35B4,0,1,measured
975,7EED,0,1,measured
976,C831,0,1,measured
977,6332,0,1,measured
978,8756,0,1,measured
979,D058,0,1,measured
980,1575,0,1,measured
981,6253,0,1,measured
982,0180,0,1,measured
983,4A9B,0,1,measured
984,9061,0,1,measured
985,D12C,0,1,measured
986,E70B,0,1,measured
987,3007,0,1,measured
988,78DB,0,1,measured
989,78DB,0,1,measured
990,F18A,0,1,measured
991,2D63,0,1,measured
992,76AF,0,1,measured
993,C05A,0,1,measured
994,08F1,0,1,measured
995,4D4C,0,1,measured
996,7F17,0,1,measured
997,C91C,0,1,measured
998,1177,0,1,measured
999,3E21,0,1,measured
1000,6E19,0,1,measured
1001,091F,0,1,measured
1002,D03D,0,1,measured
1003,09B6,0,1,measured
1004,52C2,0,1,measured
1005,9056,0,1,measured
1006,D8ED,0,1,measured
1007,2239,0,1,measured
1008,2239,0,1,measured
1009,7C14,0,1,measured
1010,AFC9,0,1,measured
1011,FDB3,0,1,measured
