offset,seed,band,boots,how
10,061A,0,1,measured
13,9811,0,1,measured
14,BAA7,0,1,measured
19,2831,0,1,measured
21,B90E,0,1,measured
23,16CD,0,1,measured
27,3AEE,0,1,measured
31,085A,0,1,measured
33,9ADA,0,1,measured
36,769D,0,1,measured
37,769D,0,1,measured
39,0924,0,1,measured
45,4E7E,0,1,measured
46,A082,0,1,measured
51,EE3F,0,1,measured
52,4147,0,1,measured
53,8B08,0,1,measured
58,281B,0,1,measured
60,B8BC,0,1,measured
62,489E,0,1,measured
65,4C7B,0,1,measured
66,9BB5,0,1,measured
67,E343,0,1,measured
68,2D84,0,1,measured
70,BF6A,0,1,measured
72,4EFB,0,1,measured
73,C41C,0,1,measured
75,2EFC,0,1,measured
77,C0C4,0,1,measured
78,096E,0,1,measured
80,97CD,0,1,measured
81,E4C0,0,1,measured
82,57CF,0,1,measured
84,C23D,0,1,measured
85,09C3,0,1,measured
86,5524,0,1,measured
98,C481,0,1,measured
99,36C3,0,1,measured
100,564F,0,1,measured
101,A242,0,1,measured
103,3131,0,1,measured
104,7B38,0,1,measured
107,80AA,0,1,measured
108,9F4C,0,1,measured
114,0D64,0,1,measured
115,5734,0,1,measured
117,16D9,0,1,measured
122,9BD1,0,1,measured
125,6B7B,0,1,measured
127,F607,0,1,measured
128,4057,0,1,measured
129,8F46,0,1,measured
133,ADDC,0,1,measured
135,448E,0,1,measured
136,8DDE,0,1,measured
137,D74E,0,1,measured
138,0234,0,1,measured
139,3129,0,1,measured
141,C36C,0,1,measured
142,6938,0,1,measured
148,1233,0,1,measured
151,E615,0,1,measured
152,2476,0,1,measured
154,F11B,0,1,measured
155,1503,0,1,measured
156,62BB,0,1,measured
157,AC6F,0,1,measured
158,F4E5,0,1,measured
160,8789,0,1,measured
164,8DF5,0,1,measured
167,9C88,0,1,measured
169,FD63,0,1,measured
170,4223,0,1,measured
175,B3D4,0,1,measured
176,DEE6,0,1,measured
178,5566,0,1,measured
179,9E2E,0,1,measured
183,1408,0,1,measured
184,5D79,0,1,measured
185,A28F,0,1,measured
187,5246,0,1,measured
190,14C9,0,1,measured
191,5FFD,0,1,measured
192,A561,0,1,measured
193,1200,0,1,measured
194,3976,0,1,measured
196,D24D,0,1,measured
197,188A,0,1,measured
198,6230,0,1,measured
199,ACA4,0,1,measured
202,7C53,0,1,measured
203,BDCE,0,1,measured
204,034A,0,1,measured
205,4CAC,0,1,measured
206,D03E,0,1,measured
209,9692,0,1,measured
210,DCEB,0,1,measured
213,B6CC,0,1,measured
216,748C,0,1,measured
217,B9FC,0,1,measured
218,035A,0,1,measured
220,AAEE,0,1,measured
225,18C0,0,1,measured
226,618F,0,1,measured
227,AA14,0,1,measured
228,D12C,0,1,measured
234,7A50,0,1,measured
235,C410,0,1,measured
236,0D14,0,1,measured
238,9F43,0,1,measured
239,E87F,0,1,measured
240,31D3,0,1,measured
241,5D35,0,1,measured
242,8809,0,1,measured
243,D088,0,1,measured
244,9E23,0,1,measured
245,AED7,0,1,measured
248,8E0C,0,1,measured
249,D80E,0,1,measured
252,B312,0,1,measured
257,5B52,0,1,measured
258,914E,0,1,measured
259,DA6E,0,1,measured
261,6D45,0,1,measured
262,B577,0,1,measured
264,47F7,0,1,measured
266,91DD,0,1,measured
267,C018,0,1,measured
269,5431,0,1,measured
270,9D84,0,1,measured
271,11AF,0,1,measured
273,965F,0,1,measured
276,6D40,0,1,measured
277,BB99,0,1,measured
279,4D82,0,1,measured
280,930E,0,1,measured
281,DBA0,0,1,measured
282,2246,0,1,measured
283,D175,0,1,measured
284,FCA0,0,1,measured
285,45B8,0,1,measured
286,8E9B,0,1,measured
289,845D,0,1,measured
290,AF76,0,1,measured
291,FD38,0,1,measured
293,8F67,0,1,measured
294,D8D7,0,1,measured
295,2210,0,1,measured
296,8A06,0,1,measured
298,561F,0,1,measured
299,A031,0,1,measured
302,6D99,0,1,measured
305,F358,0,1,measured
307,7EB8,0,1,measured
308,C7FC,0,1,measured
309,47ED,0,1,measured
310,73E7,0,1,measured
311,BF16,0,1,measured
313,4F67,0,1,measured
314,989C,0,1,measured
315,F94B,0,1,measured
316,2B03,0,1,measured
317,A763,0,1,measured
321,FFB9,0,1,measured
322,22E1,0,1,measured
324,6BF7,0,1,measured
325,B5AA,0,1,measured
328,90B0,0,1,measured
329,D994,0,1,measured
330,221B,0,1,measured
331,6504,0,1,measured
332,A207,0,1,measured
333,EAF1,0,1,measured
334,3541,0,1,measured
336,1B94,0,1,measured
337,6578,0,1,measured
338,AE19,0,1,measured
339,F76F,0,1,measured
343,A9C3,0,1,measured
344,D796,0,1,measured
346,68C1,0,1,measured
347,196A,0,1,measured
348,4AAA,0,1,measured
350,D3BF,0,1,measured
351,2D09,0,1,measured
352,72E8,0,1,measured
353,BC59,0,1,measured
354,09E2,0,1,measured
355,9ADE,0,1,measured
356,DA62,0,1,measured
357,2106,0,1,measured
358,6A77,0,1,measured
359,D5AA,0,1,measured
363,A65B,0,1,measured
365,2815,0,1,measured
366,7EEB,0,1,measured
367,CC67,0,1,measured
368,120E,0,1,measured
371,D142,0,1,measured
374,1A58,0,1,measured
375,63C7,0,1,measured
376,AC4B,0,1,measured
377,F568,0,1,measured
378,1487,0,1,measured
381,A74C,0,1,measured
382,D55A,0,1,measured
386,3BE4,0,1,measured
388,BEA4,0,1,measured
394,C6FE,0,1,measured
395,1582,0,1,measured
396,5E20,0,1,measured
397,9B0A,0,1,measured
