offset,seed,band,boots,how
268,1521,0,1,measured
269,5439,0,1,measured
270,9D9A,0,1,measured
271,11A7,0,1,measured
272,4E90,0,1,measured
273,9665,0,1,measured
274,DF3F,0,1,measured
275,2881,0,1,measured
276,6D42,0,1,measured
277,BBB5,0,1,measured
278,0435,0,1,measured
279,4D84,0,1,measured
280,9316,0,1,measured
281,DBC7,0,1,measured
282,223D,0,1,measured
283,D1A7,0,1,measured
284,FCE3,0,1,measured
285,45E8,0,1,measured
286,8E9A,0,1,measured
287,D846,0,1,measured
288,21D2,0,1,measured
289,8492,0,1,measured
290,AFAC,0,1,measured
291,FD68,0,1,measured
292,4725,0,1,measured
293,8F6E,0,1,measured
294,D910,0,1,measured
295,2244,0,1,measured
296,8A73,0,1,measured
297,B8A6,0,1,measured
298,5615,0,1,measured
299,A05F,0,1,measured
300,E9C0,0,1,measured
301,32AC,0,1,measured
302,6DA0,0,1,measured
303,B5F1,0,1,measured
304,F35F,0,1,measured
305,F35F,0,1,measured
306,35E5,0,1,measured
307,7EB0,0,1,measured
308,C7F4,0,1,measured
309,4825,0,1,measured
310,7422,0,1,measured
311,BF81,0,1,measured
312,05CD,0,1,measured
313,4F96,0,1,measured
314,98D5,0,1,measured
315,F989,0,1,measured
316,2B06,0,1,measured
317,A76B,0,1,measured
318,F053,0,1,measured
319,34D7,0,1,measured
320,8252,0,1,measured
321,FFF7,0,1,measured
322,2329,0,1,measured
323,6C4A,0,1,measured
324,6C4A,0,1,measured
325,B5D8,0,1,measured
326,FF88,0,1,measured
327,471F,0,1,measured
328,90C5,0,1,measured
329,D9BC,0,1,measured
330,221B,0,1,measured
331,651F,0,1,measured
332,A207,0,1,measured
333,EAF9,0,1,measured
334,355E,0,1,measured
335,78E1,0,1,measured
336,1B96,0,1,measured
337,658D,0,1,measured
338,AE18,0,1,measured
339,F768,0,1,measured
340,35C2,0,1,measured
341,7E12,0,1,measured
342,A9CC,0,1,measured
343,A9CC,0,1,measured
344,D7AF,0,1,measured
345,2016,0,1,measured
346,68C9,0,1,measured
347,1979,0,1,measured
348,4AA2,0,1,measured
