offset,seed,band,boots,how
6,02AC,0,1,measured
7,2A95,0,1,measured
8,740A,0,1,measured
9,BCD6,0,1,measured
10,061A,0,1,measured
11,4F5A,0,1,measured
12,9897,0,1,measured
13,985C,0,1,measured
14,BAE6,0,1,measured
15,054D,0,1,measured
16,054D,0,1,measured
17,4C80,0,1,measured
18,DFD2,0,1,measured
19,2846,0,1,measured
20,6AF4,0,1,measured
21,B935,0,1,measured
22,D8C3,0,1,measured
23,16CD,0,1,measured
24,5F27,0,1,measured
25,A86B,0,1,measured
26,F1B0,0,1,measured
27,3AEE,0,1,measured
28,63B2,0,1,measured
29,76C1,0,1,measured
30,C001,0,1,measured
31,085A,0,1,measured
32,519A,0,1,measured
33,9ADA,0,1,measured
34,E41A,0,1,measured
35,2976,0,1,measured
36,769D,0,1,measured
37,769D,0,1,measured
38,BFD6,0,1,measured
39,0924,0,1,measured
40,07DA,0,1,measured
41,2B5D,0,1,measured
42,776A,0,1,measured
43,BE81,0,1,measured
44,0615,0,1,measured
45,4E7E,0,1,measured
46,A0B7,0,1,measured
47,E555,0,1,measured
48,2E66,0,1,measured
49,6FF2,0,1,measured
50,AE43,0,1,measured
51,EE3F,0,1,measured
52,415E,0,1,measured
53,8B35,0,1,measured
54,D3D9,0,1,measured
55,1C2E,0,1,measured
56,949B,0,1,measured
57,DE1A,0,1,measured
58,2841,0,1,measured
59,71FF,0,1,measured
60,B8D4,0,1,measured
61,FF8F,0,1,measured
62,489E,0,1,measured
63,71AC,0,1,measured
64,311B,0,1,measured
65,4CAF,0,1,measured
66,9C09,0,1,measured
67,E35B,0,1,measured
68,2DB2,0,1,measured
69,7570,0,1,measured
70,BF68,0,1,measured
71,0C40,0,1,measured
72,4EF8,0,1,measured
73,C45D,0,1,measured
74,E4B8,0,1,measured
75,2F43,0,1,measured
76,769B,0,1,measured
77,C0F2,0,1,measured
78,096B,0,1,measured
79,5384,0,1,measured
80,980E,0,1,measured
81,E4EC,0,1,measured
82,581C,0,1,measured
83,77F8,0,1,measured
84,C283,0,1,measured
85,09DB,0,1,measured
86,5564,0,1,measured
87,9CAA,0,1,measured
88,E6EE,0,1,measured
89,E6EE,0,1,measured
90,303C,0,1,measured
91,A45F,0,1,measured
92,C349,0,1,measured
93,0DC7,0,1,measured
94,5529,0,1,measured
95,E28B,0,1,measured
96,3126,0,1,measured
97,7B3E,0,1,measured
98,C4CE,0,1,measured
99,3715,0,1,measured
100,567D,0,1,measured
101,A2A8,0,1,measured
102,E996,0,1,measured
103,314E,0,1,measured
104,7B38,0,1,measured
105,C53E,0,1,measured
106,0EBD,0,1,measured
107,80F7,0,1,measured
108,9F8D,0,1,measured
109,E9FA,0,1,measured
110,2CA3,0,1,measured
111,2CA3,0,1,measured
112,7BB5,0,1,measured
113,C380,0,1,measured
114,0D61,0,1,measured
115,5785,0,1,measured
116,A10C,0,1,measured
117,173E,0,1,measured
118,2E3B,0,1,measured
119,77B9,0,1,measured
120,C02B,0,1,measured
121,5239,0,1,measured
122,9BEA,0,1,measured
123,E4DF,0,1,measured
124,2D2D,0,1,measured
125,6B9F,0,1,measured
126,AD35,0,1,measured
127,F611,0,1,measured
128,4075,0,1,measured
129,8F3C,0,1,measured
130,D22B,0,1,measured
131,208F,0,1,measured
132,68F5,0,1,measured
133,ADE6,0,1,measured
134,FC1D,0,1,measured
135,448E,0,1,measured
136,8DE7,0,1,measured
137,D749,0,1,measured
138,024C,0,1,measured
139,3140,0,1,measured
140,7002,0,1,measured
141,C384,0,1,measured
142,6931,0,1,measured
143,A229,0,1,measured
144,EDC2,0,1,measured
145,3627,0,1,measured
146,7FB9,0,1,measured
147,C978,0,1,measured
148,1228,0,1,measured
149,5B51,0,1,measured
150,A48E,0,1,measured
151,E615,0,1,measured
152,2476,0,1,measured
153,6D66,0,1,measured
154,F152,0,1,measured
155,1537,0,1,measured
156,62E8,0,1,measured
157,ACA8,0,1,measured
158,F4E5,0,1,measured
159,3E78,0,1,measured
160,87B8,0,1,measured
161,D168,0,1,measured
162,17F2,0,1,measured
163,4480,0,1,measured
164,8DF5,0,1,measured
165,D6BD,0,1,measured
166,1FDF,0,1,measured
167,9CBA,0,1,measured
168,B444,0,1,measured
169,FDA1,0,1,measured
170,4250,0,1,measured
171,8F41,0,1,measured
172,D81D,0,1,measured
173,215E,0,1,measured
174,6B06,0,1,measured
175,B3F1,0,1,measured
176,DEFA,0,1,measured
177,0C55,0,1,measured
178,5566,0,1,measured
179,9E2E,0,1,measured
180,5134,0,1,measured
181,8243,0,1,measured
182,CB66,0,1,measured
183,13F0,0,1,measured
184,5DB0,0,1,measured
185,A2C7,0,1,measured
186,EDCF,0,1,measured
187,527C,0,1,measured
188,8304,0,1,measured
189,CC26,0,1,measured
190,14C9,0,1,measured
191,6066,0,1,measured
192,A55F,0,1,measured
193,122F,0,1,measured
194,39A9,0,1,measured
195,8671,0,1,measured
196,D249,0,1,measured
197,18B3,0,1,measured
198,626F,0,1,measured
199,ACAF,0,1,measured
200,E901,0,1,measured
201,3AB9,0,1,measured
202,7C53,0,1,measured
203,BDD8,0,1,measured
204,0350,0,1,measured
205,4CAC,0,1,measured
206,D0AA,0,1,measured
207,01C1,0,1,measured
208,4B4C,0,1,measured
209,968F,0,1,measured
210,DD22,0,1,measured
211,2688,0,1,measured
212,73A2,0,1,measured
213,B6CC,0,1,measured
214,FEEE,0,1,measured
215,1F10,0,1,measured
216,748C,0,1,measured
217,B9FC,0,1,measured
218,035A,0,1,measured
219,8697,0,1,measured
220,AB24,0,1,measured
221,F68B,0,1,measured
222,3D28,0,1,measured
223,85E7,0,1,measured
224,CF2C,0,1,measured
225,18D6,0,1,measured
226,61AF,0,1,measured
227,AA14,0,1,measured
228,D149,0,1,measured
229,0E7E,0,1,measured
230,526A,0,1,measured
231,A143,0,1,measured
232,EC59,0,1,measured
233,3180,0,1,measured
234,7A50,0,1,measured
235,C428,0,1,measured
236,0D14,0,1,measured
237,56AE,0,1,measured
238,9F4B,0,1,measured
239,E87F,0,1,measured
240,31CD,0,1,measured
241,5D56,0,1,measured
242,8821,0,1,measured
243,D088,0,1,measured
244,9E30,0,1,measured
245,AEED,0,1,measured
246,FCDD,0,1,measured
247,46B6,0,1,measured
248,8E0C,0,1,measured
249,D828,0,1,measured
250,2089,0,1,measured
251,6B4D,0,1,measured
252,B31A,0,1,measured
253,F4D0,0,1,measured
254,330D,0,1,measured
255,7BEB,0,1,measured
256,C50E,0,1,measured
257,5B71,0,1,measured
258,9164,0,1,measured
259,DA8D,0,1,measured
260,1FC9,0,1,measured
261,6D6B,0,1,measured
262,B570,0,1,measured
263,FF91,0,1,measured
264,47F7,0,1,measured
265,9203,0,1,measured
266,9203,0,1,measured
267,C043,0,1,measured
268,1521,0,1,measured
269,5438,0,1,measured
270,9D9B,0,1,measured
271,11A6,0,1,measured
272,4E91,0,1,measured
273,9666,0,1,measured
274,DF36,0,1,measured
275,287A,0,1,measured
276,6D40,0,1,measured
277,BBB6,0,1,measured
278,0440,0,1,measured
279,4D82,0,1,measured
280,930E,0,1,measured
281,DBBD,0,1,measured
282,223C,0,1,measured
283,D1A0,0,1,measured
284,FCDC,0,1,measured
285,45E2,0,1,measured
286,8E92,0,1,measured
287,D84C,0,1,measured
288,21D5,0,1,measured
289,848A,0,1,measured
290,AFB4,0,1,measured
291,FD62,0,1,measured
292,471E,0,1,measured
293,8F6C,0,1,measured
294,D903,0,1,measured
295,224A,0,1,measured
296,8A72,0,1,measured
297,B8A4,0,1,measured
298,5614,0,1,measured
299,A05F,0,1,measured
300,E9C0,0,1,measured
301,32AC,0,1,measured
302,6D95,0,1,measured
303,B5F3,0,1,measured
304,F358,0,1,measured
305,F358,0,1,measured
306,35E6,0,1,measured
307,7EB1,0,1,measured
308,C7FC,0,1,measured
309,4823,0,1,measured
310,7417,0,1,measured
311,BF78,0,1,measured
312,05CC,0,1,measured
313,4F95,0,1,measured
314,98DE,0,1,measured
315,F98A,0,1,measured
316,2AFE,0,1,measured
317,A763,0,1,measured
318,F05D,0,1,measured
319,34E0,0,1,measured
320,8251,0,1,measured
321,FFEF,0,1,measured
322,2333,0,1,measured
323,6C46,0,1,measured
324,6C46,0,1,measured
325,B5E1,0,1,measured
326,FF7F,0,1,measured
327,4716,0,1,measured
328,90CD,0,1,measured
329,D9B4,0,1,measured
330,2212,0,1,measured
331,6528,0,1,measured
332,A207,0,1,measured
333,EAEF,0,1,measured
334,3568,0,1,measured
335,78E2,0,1,measured
336,1B94,0,1,measured
337,658F,0,1,measured
338,AE19,0,1,measured
339,F76F,0,1,measured
340,35CB,0,1,measured
341,7E0C,0,1,measured
342,A9BF,0,1,measured
343,A9BF,0,1,measured
344,D7AF,0,1,measured
345,2006,0,1,measured
346,68C1,0,1,measured
347,1981,0,1,measured
348,4AAA,0,1,measured
349,974B,0,1,measured
350,D3DD,0,1,measured
351,2D09,0,1,measured
352,72F0,0,1,measured
353,BC59,0,1,measured
