offset,seed,band,boots,how
10,061A,0,1,measured
13,985C,0,1,measured
14,BAE6,0,1,measured
15,054D,0,1,measured
16,054D,0,1,measured
17,4C80,0,1,measured
18,DFD2,0,1,measured
23,16CD,0,1,measured
27,3AEE,0,1,measured
31,085A,0,1,measured
33,9ADA,0,1,measured
36,769D,0,1,measured
37,769D,0,1,measured
39,0924,0,1,measured
45,4E7E,0,1,measured
46,A0B7,0,1,measured
47,E555,0,1,measured
51,EE3F,0,1,measured
53,8B35,0,1,measured
56,949B,0,1,measured
57,DE1A,0,1,measured
58,2841,0,1,measured
60,B8D4,0,1,measured
61,FF8F,0,1,measured
62,489E,0,1,measured
65,4CAF,0,1,measured
67,E35B,0,1,measured
70,BF68,0,1,measured
74,E4B8,0,1,measured
75,2F43,0,1,measured
76,769B,0,1,measured
79,5384,0,1,measured
82,581C,0,1,measured
84,C283,0,1,measured
85,09DB,0,1,measured
88,E6EE,0,1,measured
89,E6EE,0,1,measured
90,303C,0,1,measured
93,0DC7,0,1,measured
94,5529,0,1,measured
99,3715,0,1,measured
102,E996,0,1,measured
104,7B38,0,1,measured
107,80F7,0,1,measured
109,E9FA,0,1,measured
112,7BB5,0,1,measured
115,5785,0,1,measured
116,A10C,0,1,measured
118,2E3B,0,1,measured
120,C02B,0,1,measured
121,5239,0,1,measured
122,9BEA,0,1,measured
124,2D2D,0,1,measured
126,AD35,0,1,measured
136,8DE7,0,1,measured
137,D749,0,1,measured
141,C384,0,1,measured
143,A229,0,1,measured
144,EDC2,0,1,measured
149,5B51,0,1,measured
151,E615,0,1,measured
154,F152,0,1,measured
155,1537,0,1,measured
157,ACA8,0,1,measured
158,F4E5,0,1,measured
160,87B8,0,1,measured
162,17F2,0,1,measured
164,8DF5,0,1,measured
167,9CBA,0,1,measured
168,B444,0,1,measured
169,FDA1,0,1,measured
171,8F41,0,1,measured
172,D81D,0,1,measured
173,215E,0,1,measured
176,DEFA,0,1,measured
178,5566,0,1,measured
179,9E2E,0,1,measured
180,5134,0,1,measured
181,8243,0,1,measured
185,A2C7,0,1,measured
186,EDCF,0,1,measured
190,14C9,0,1,measured
192,A55F,0,1,measured
195,8671,0,1,measured
