offset,seed,band,boots,how
6,02AC,0,1,measured
7,2A95,0,1,measured
8,740A,0,1,measured
9,BCD6,0,1,measured
10,0623,0,1,measured
11,4F5A,0,1,measured
12,9897,0,1,measured
13,9855,0,1,measured
14,BADD,0,1,measured
15,054C,0,1,measured
16,054C,0,1,measured
17,4C7F,0,1,measured
18,DFD9,0,1,measured
19,2846,0,1,measured
20,6AF4,0,1,measured
21,B935,0,1,measured
22,D8C3,0,1,measured
23,16D3,0,1,measured
24,5F27,0,1,measured
25,A86B,0,1,measured
26,F1B0,0,1,measured
27,3AE7,0,1,measured
28,63B2,0,1,measured
29,76C1,0,1,measured
30,C001,0,1,measured
31,0863,0,1,measured
32,519A,0,1,measured
33,9ADC,0,1,measured
34,E41A,0,1,measured
35,2976,0,1,measured
36,76A2,0,1,measured
37,76A2,0,1,measured
38,BFD6,0,1,measured
39,0923,0,1,measured
40,07DA,0,1,measured
41,2B5D,0,1,measured
42,776A,0,1,measured
43,BE81,0,1,measured
44,0615,0,1,measured
45,4E87,0,1,measured
46,A0B9,0,1,measured
47,E55E,0,1,measured
48,2E66,0,1,measured
49,6FF2,0,1,measured
50,AE43,0,1,measured
51,EE3E,0,1,measured
52,415E,0,1,measured
53,8B3D,0,1,measured
54,D3D9,0,1,measured
55,1C2E,0,1,measured
56,949C,0,1,measured
57,DE12,0,1,measured
58,2842,0,1,measured
59,71FF,0,1,measured
60,B8D8,0,1,measured
61,FF98,0,1,measured
62,489C,0,1,measured
63,71AC,0,1,measured
64,311B,0,1,measured
65,4CB0,0,1,measured
66,9C09,0,1,measured
67,E362,0,1,measured
68,2DB2,0,1,measured
69,7570,0,1,measured
70,BF6E,0,1,measured
71,0C40,0,1,measured
72,4EF8,0,1,measured
73,C45D,0,1,measured
74,E4B9,0,1,measured
75,2F48,0,1,measured
76,76A2,0,1,measured
77,C0F2,0,1,measured
78,096B,0,1,measured
79,5382,0,1,measured
80,980E,0,1,measured
81,E4EC,0,1,measured
82,5820,0,1,measured
83,77F8,0,1,measured
84,C281,0,1,measured
85,09E2,0,1,measured
86,5564,0,1,measured
87,9CAA,0,1,measured
88,E6EF,0,1,measured
89,E6EF,0,1,measured
90,3033,0,1,measured
91,A45F,0,1,measured
92,C349,0,1,measured
93,0DC6,0,1,measured
94,5528,0,1,measured
95,E28B,0,1,measured
96,3126,0,1,measured
97,7B3E,0,1,measured
98,C4CE,0,1,measured
99,3716,0,1,measured
100,567D,0,1,measured
101,A2A8,0,1,measured
102,E99C,0,1,measured
103,314E,0,1,measured
104,7B37,0,1,measured
105,C53E,0,1,measured
106,0EBD,0,1,measured
107,80F6,0,1,measured
108,9F8D,0,1,measured
109,E9F9,0,1,measured
110,2CA3,0,1,measured
111,2CA3,0,1,measured
112,7BB4,0,1,measured
113,C380,0,1,measured
114,0D61,0,1,measured
115,578E,0,1,measured
116,A10B,0,1,measured
117,173E,0,1,measured
118,2E42,0,1,measured
119,77B9,0,1,measured
120,C02C,0,1,measured
121,5240,0,1,measured
122,9BE9,0,1,measured
123,E4DF,0,1,measured
124,2D32,0,1,measured
125,6B9F,0,1,measured
126,AD36,0,1,measured
127,F611,0,1,measured
128,4075,0,1,measured
129,8F3C,0,1,measured
130,D22B,0,1,measured
131,208F,0,1,measured
132,68F5,0,1,measured
133,ADE6,0,1,measured
134,FC1D,0,1,measured
135,448E,0,1,measured
136,8DE6,0,1,measured
137,D748,0,1,measured
138,024C,0,1,measured
139,3140,0,1,measured
140,7002,0,1,measured
141,C385,0,1,measured
142,6931,0,1,measured
143,A22A,0,1,measured
144,EDB6,0,1,measured
145,3627,0,1,measured
146,7FB9,0,1,measured
147,C978,0,1,measured
148,1228,0,1,measured
149,5B5B,0,1,measured
150,A48E,0,1,measured
151,E617,0,1,measured
152,2476,0,1,measured
153,6D66,0,1,measured
154,F151,0,1,measured
155,153F,0,1,measured
156,62E8,0,1,measured
157,ACA6,0,1,measured
158,F4E6,0,1,measured
159,3E78,0,1,measured
160,87C0,0,1,measured
161,D168,0,1,measured
162,17EA,0,1,measured
163,4480,0,1,measured
164,8DF4,0,1,measured
165,D6BD,0,1,measured
166,1FDF,0,1,measured
167,9CBD,0,1,measured
168,B447,0,1,measured
169,FDA3,0,1,measured
170,4250,0,1,measured
171,8F40,0,1,measured
172,D814,0,1,measured
173,215D,0,1,measured
174,6B06,0,1,measured
175,B3F1,0,1,measured
176,DF04,0,1,measured
177,0C55,0,1,measured
178,5565,0,1,measured
179,9E38,0,1,measured
180,5132,0,1,measured
181,823B,0,1,measured
182,CB66,0,1,measured
183,13F0,0,1,measured
184,5DB0,0,1,measured
185,A2C5,0,1,measured
186,EDC6,0,1,measured
187,527C,0,1,measured
188,8304,0,1,measured
189,CC26,0,1,measured
190,14CB,0,1,measured
191,6066,0,1,measured
192,A567,0,1,measured
193,122F,0,1,measured
194,39A9,0,1,measured
195,8670,0,1,measured
196,D246,0,1,measured
197,18B3,0,1,measured
198,6270,0,1,measured
199,ACA4,0,1,measured
200,E901,0,1,measured
201,3AC3,0,1,measured
202,7C5B,0,1,measured
203,BDD8,0,1,measured
204,034F,0,1,measured
205,4CA2,0,1,measured
206,D0A8,0,1,measured
207,01C9,0,1,measured
208,4B4E,0,1,measured
209,968F,0,1,measured
210,DD19,0,1,measured
211,2688,0,1,measured
212,73A2,0,1,measured
213,B6C4,0,1,measured
214,FEEE,0,1,measured
215,1F10,0,1,measured
216,748B,0,1,measured
217,B9F9,0,1,measured
218,035A,0,1,measured
219,8697,0,1,measured
220,AB25,0,1,measured
221,F68B,0,1,measured
222,3D28,0,1,measured
223,85E6,0,1,measured
224,CF31,0,1,measured
225,18D6,0,1,measured
226,61AF,0,1,measured
227,AA13,0,1,measured
228,D149,0,1,measured
229,0E87,0,1,measured
230,526F,0,1,measured
231,A145,0,1,measured
232,EC59,0,1,measured
233,3180,0,1,measured
234,7A4F,0,1,measured
235,C431,0,1,measured
236,0D0D,0,1,measured
237,56AE,0,1,measured
238,9F43,0,1,measured
239,E87E,0,1,measured
240,31D1,0,1,measured
241,5D4C,0,1,measured
242,8820,0,1,measured
243,D087,0,1,measured
244,9E32,0,1,measured
245,AEED,0,1,measured
246,FCDC,0,1,measured
247,46B6,0,1,measured
248,8E0B,0,1,measured
249,D826,0,1,measured
250,2089,0,1,measured
251,6B4D,0,1,measured
252,B31B,0,1,measured
253,F4D0,0,1,measured
254,330D,0,1,measured
255,7BEB,0,1,measured
256,C514,0,1,measured
257,5B71,0,1,measured
258,916D,0,1,measured
259,DA8D,0,1,measured
260,1FC9,0,1,measured
261,6D6D,0,1,measured
262,B576,0,1,measured
263,FF92,0,1,measured
264,47F6,0,1,measured
265,9204,0,1,measured
266,9204,0,1,measured
267,C043,0,1,measured
268,1521,0,1,measured
269,5439,0,1,measured
270,9D9A,0,1,measured
271,11A6,0,1,measured
272,4E91,0,1,measured
273,9665,0,1,measured
274,DF40,0,1,measured
275,2881,0,1,measured
276,6D41,0,1,measured
277,BBB5,0,1,measured
278,0439,0,1,measured
279,4D81,0,1,measured
280,9316,0,1,measured
281,DBC6,0,1,measured
282,223D,0,1,measured
283,D1A0,0,1,measured
284,FCD5,0,1,measured
285,45E2,0,1,measured
286,8E92,0,1,measured
287,D84C,0,1,measured
288,21D5,0,1,measured
289,848A,0,1,measured
290,AFB3,0,1,measured
291,FD62,0,1,measured
292,471E,0,1,measured
293,8F71,0,1,measured
294,D903,0,1,measured
295,224A,0,1,measured
296,8A74,0,1,measured
297,B8A6,0,1,measured
298,561E,0,1,measured
299,A069,0,1,measured
300,E9B5,0,1,measured
301,32AB,0,1,measured
302,6D95,0,1,measured
303,B5F3,0,1,measured
305,F359,0,1,measured
306,35E6,0,1,measured
307,7EB9,0,1,measured
308,C7FE,0,1,measured
309,481C,0,1,measured
310,7421,0,1,measured
311,BF78,0,1,measured
312,05CB,0,1,measured
313,4F95,0,1,measured
314,98DE,0,1,measured
315,F989,0,1,measured
316,2AF8,0,1,measured
317,A762,0,1,measured
318,F05D,0,1,measured
319,34D7,0,1,measured
320,8251,0,1,measured
321,FFF6,0,1,measured
322,2329,0,1,measured
324,6C48,0,1,measured
325,B5D5,0,1,measured
326,FF80,0,1,measured
327,4716,0,1,measured
328,90CE,0,1,measured
329,D9BA,0,1,measured
330,221A,0,1,measured
331,6527,0,1,measured
332,A205,0,1,measured
333,EAEF,0,1,measured
334,3567,0,1,measured
335,78EB,0,1,measured
336,1B8D,0,1,measured
337,6595,0,1,measured
338,AE18,0,1,measured
339,F768,0,1,measured
340,35CA,0,1,measured
341,7E11,0,1,measured
343,A9C2,0,1,measured
344,D7A5,0,1,measured
345,2005,0,1,measured
346,68BF,0,1,measured
347,1986,0,1,measured
348,4AAB,0,1,measured
349,974B,0,1,measured
350,D3D3,0,1,measured
351,2D0A,0,1,measured
352,72E8,0,1,measured
353,BC58,0,1,measured
354,09FA,0,1,measured
355,9ADF,0,1,measured
356,DA66,0,1,measured
