offset,seed,band,boots,how
6,099C,0,1,measured
7,3197,0,1,measured
8,7B0D,0,1,measured
9,C3CF,0,1,measured
10,0D1C,0,1,measured
11,565C,0,1,measured
12,9F9C,0,1,measured
13,9F0A,0,1,measured
14,C19F,0,1,measured
15,0BEF,0,1,measured
16,0BEF,0,1,measured
17,537D,0,1,measured
18,E6AB,0,1,measured
19,2F21,0,1,measured
20,71D9,0,1,measured
21,C007,0,1,measured
22,DFBB,0,1,measured
23,1DCD,0,1,measured
24,6628,0,1,measured
25,AF5A,0,1,measured
26,F8AA,0,1,measured
27,41E0,0,1,measured
28,6AA0,0,1,measured
29,7DBA,0,1,measured
30,C6F9,0,1,measured
31,0F54,0,1,measured
32,589C,0,1,measured
33,A1DC,0,1,measured
34,EB1C,0,1,measured
35,3077,0,1,measured
36,7D9C,0,1,measured
37,7D9C,0,1,measured
38,C6D8,0,1,measured
39,101C,0,1,measured
40,0E8F,0,1,measured
41,321F,0,1,measured
42,7C6F,0,1,measured
43,C6D4,0,1,measured
44,0CF5,0,1,measured
45,5574,0,1,measured
46,A668,0,1,measured
47,EC4B,0,1,measured
48,3566,0,1,measured
49,76EB,0,1,measured
50,B53D,0,1,measured
51,F53B,0,1,measured
52,4844,0,1,measured
53,91FF,0,1,measured
54,DA28,0,1,measured
55,2331,0,1,measured
56,9B31,0,1,measured
57,E563,0,1,measured
58,2F1B,0,1,measured
59,78C8,0,1,measured
60,BFAC,0,1,measured
61,0694,0,1,measured
62,4F95,0,1,measured
63,78A7,0,1,measured
64,37D0,0,1,measured
65,537B,0,1,measured
66,A2AE,0,1,measured
67,EA45,0,1,measured
68,347D,0,1,measured
69,7C63,0,1,measured
70,C669,0,1,measured
71,102D,0,1,measured
72,59BC,0,1,measured
73,CC5C,0,1,measured
74,EB84,0,1,measured
75,35F8,0,1,measured
76,7D7A,0,1,measured
77,C7C5,0,1,measured
78,1064,0,1,measured
79,5A29,0,1,measured
80,9EC6,0,1,measured
81,EBAF,0,1,measured
82,5EC3,0,1,measured
83,7EB9,0,1,measured
84,C938,0,1,measured
85,10BA,0,1,measured
86,5B04,0,1,measured
87,A5D1,0,1,measured
88,ED74,0,1,measured
89,ED74,0,1,measured
90,35A6,0,1,measured
91,AA9A,0,1,measured
92,CA0D,0,1,measured
93,1469,0,1,measured
94,5C03,0,1,measured
95,E96B,0,1,measured
96,3829,0,1,measured
97,81F5,0,1,measured
98,CB71,0,1,measured
99,3DBA,0,1,measured
100,5D4A,0,1,measured
101,A7AB,0,1,measured
102,F1E2,0,1,measured
103,3826,0,1,measured
104,8230,0,1,measured
105,CC17,0,1,measured
106,1563,0,1,measured
107,879A,0,1,measured
108,A652,0,1,measured
109,F09F,0,1,measured
110,3391,0,1,measured
111,3391,0,1,measured
112,827C,0,1,measured
113,CA67,0,1,measured
114,145C,0,1,measured
115,5E3C,0,1,measured
116,A7B8,0,1,measured
117,1C33,0,1,measured
118,36A5,0,1,measured
119,7E82,0,1,measured
120,C6FE,0,1,measured
121,591A,0,1,measured
122,A2C9,0,1,measured
123,EBB0,0,1,measured
124,342B,0,1,measured
125,7279,0,1,measured
126,B435,0,1,measured
127,FD09,0,1,measured
128,4746,0,1,measured
129,963F,0,1,measured
130,D924,0,1,measured
131,26A0,0,1,measured
132,70C7,0,1,measured
133,B4DD,0,1,measured
134,0301,0,1,measured
135,4B90,0,1,measured
136,94E0,0,1,measured
137,DE48,0,1,measured
138,092D,0,1,measured
139,381A,0,1,measured
140,7704,0,1,measured
141,CA69,0,1,measured
142,7032,0,1,measured
143,A925,0,1,measured
144,F498,0,1,measured
145,3D2B,0,1,measured
146,8673,0,1,measured
147,D0AD,0,1,measured
148,192B,0,1,measured
149,6248,0,1,measured
150,AB89,0,1,measured
151,ED16,0,1,measured
152,2B64,0,1,measured
153,7456,0,1,measured
154,F818,0,1,measured
155,1C04,0,1,measured
156,69AC,0,1,measured
157,B369,0,1,measured
158,FBD5,0,1,measured
159,4545,0,1,measured
160,8E84,0,1,measured
161,D82C,0,1,measured
162,1EED,0,1,measured
163,4B6E,0,1,measured
164,94E5,0,1,measured
165,DDAD,0,1,measured
166,26E2,0,1,measured
167,A376,0,1,measured
168,BB08,0,1,measured
169,0467,0,1,measured
170,491B,0,1,measured
171,9612,0,1,measured
172,DEF5,0,1,measured
173,283C,0,1,measured
174,71E8,0,1,measured
175,BACD,0,1,measured
176,E474,0,1,measured
177,14B2,0,1,measured
178,5C65,0,1,measured
179,A531,0,1,measured
180,57E7,0,1,measured
181,8905,0,1,measured
182,D228,0,1,measured
183,1B06,0,1,measured
184,647A,0,1,measured
185,A981,0,1,measured
186,F4BE,0,1,measured
187,5943,0,1,measured
188,89C7,0,1,measured
189,D2E8,0,1,measured
190,1BC4,0,1,measured
191,6530,0,1,measured
192,AEDD,0,1,measured
193,19D1,0,1,measured
194,406A,0,1,measured
195,8D33,0,1,measured
196,D946,0,1,measured
197,1F77,0,1,measured
198,6932,0,1,measured
199,B3A7,0,1,measured
200,EFFA,0,1,measured
201,41BD,0,1,measured
202,834A,0,1,measured
203,C4D1,0,1,measured
204,0A48,0,1,measured
205,539C,0,1,measured
206,D594,0,1,measured
207,0A2D,0,1,measured
208,520F,0,1,measured
209,9D8A,0,1,measured
210,E3DC,0,1,measured
211,2D4C,0,1,measured
212,7A6D,0,1,measured
213,BDC6,0,1,measured
214,05E8,0,1,measured
215,2608,0,1,measured
216,7B85,0,1,measured
217,C0F4,0,1,measured
218,0A53,0,1,measured
219,8D67,0,1,measured
220,B1EE,0,1,measured
221,FB0B,0,1,measured
222,460B,0,1,measured
223,8CC7,0,1,measured
224,D605,0,1,measured
225,1FB8,0,1,measured
226,6889,0,1,measured
227,B115,0,1,measured
228,D81B,0,1,measured
229,1577,0,1,measured
230,595F,0,1,measured
231,A828,0,1,measured
232,F35B,0,1,measured
233,3882,0,1,measured
234,8140,0,1,measured
235,CB12,0,1,measured
236,13BC,0,1,measured
237,5DDB,0,1,measured
238,A63A,0,1,measured
239,EF78,0,1,measured
240,38CB,0,1,measured
241,642E,0,1,measured
242,8F02,0,1,measured
243,D780,0,1,measured
244,A511,0,1,measured
245,B5CF,0,1,measured
246,03B4,0,1,measured
247,4D77,0,1,measured
248,9505,0,1,measured
249,DEFF,0,1,measured
250,2782,0,1,measured
251,71E7,0,1,measured
252,BAE6,0,1,measured
253,FBBC,0,1,measured
254,39FD,0,1,measured
255,82DB,0,1,measured
256,CC04,0,1,measured
257,6243,0,1,measured
258,9848,0,1,measured
259,E171,0,1,measured
260,268D,0,1,measured
261,7448,0,1,measured
262,BC69,0,1,measured
263,0667,0,1,measured
264,4EF2,0,1,measured
265,98DF,0,1,measured
266,98DF,0,1,measured
267,C51E,0,1,measured
268,1E06,0,1,measured
269,5B30,0,1,measured
270,A474,0,1,measured
271,18A0,0,1,measured
272,5572,0,1,measured
273,9D5E,0,1,measured
274,E63A,0,1,measured
275,2F71,0,1,measured
276,7439,0,1,measured
277,C28F,0,1,measured
278,0B39,0,1,measured
279,5471,0,1,measured
280,9A0F,0,1,measured
281,E2A3,0,1,measured
282,2943,0,1,measured
283,D864,0,1,measured
284,03A0,0,1,measured
285,4CA5,0,1,measured
286,958D,0,1,measured
287,DF09,0,1,measured
288,28A3,0,1,measured
289,8B4F,0,1,measured
290,B66E,0,1,measured
291,0425,0,1,measured
292,4DDE,0,1,measured
293,9660,0,1,measured
294,DFD0,0,1,measured
295,2908,0,1,measured
296,8F5E,0,1,measured
297,C112,0,1,measured
298,5D16,0,1,measured
299,A72D,0,1,measured
300,F084,0,1,measured
301,3967,0,1,measured
302,7498,0,1,measured
303,BCEA,0,1,measured
304,FA4F,0,1,measured
305,FA4F,0,1,measured
306,3CE7,0,1,measured
307,85B2,0,1,measured
308,CEF8,0,1,measured
309,4EE9,0,1,measured
310,7AE6,0,1,measured
311,C3F8,0,1,measured
312,0E3D,0,1,measured
313,56A9,0,1,measured
314,9D7D,0,1,measured
315,FCFC,0,1,measured
316,3113,0,1,measured
317,AE5B,0,1,measured
318,F756,0,1,measured
319,3BD8,0,1,measured
320,8941,0,1,measured
321,06BA,0,1,measured
322,29F4,0,1,measured
323,72FA,0,1,measured
324,72FA,0,1,measured
325,BC9A,0,1,measured
326,0536,0,1,measured
327,4F06,0,1,measured
328,97AD,0,1,measured
329,E09A,0,1,measured
330,2914,0,1,measured
331,6BF9,0,1,measured
332,A907,0,1,measured
333,F1F2,0,1,measured
334,3B28,0,1,measured
335,7FDA,0,1,measured
336,228F,0,1,measured
337,6C77,0,1,measured
338,B511,0,1,measured
339,FE6A,0,1,measured
340,3C5D,0,1,measured
341,8555,0,1,measured
342,B0B7,0,1,measured
343,B0B7,0,1,measured
344,DE86,0,1,measured
345,2710,0,1,measured
346,6FBA,0,1,measured
347,205A,0,1,measured
348,519A,0,1,measured
349,9E49,0,1,measured
350,DAAE,0,1,measured
351,3403,0,1,measured
352,79E0,0,1,measured
353,C34A,0,1,measured
354,10DA,0,1,measured
355,A197,0,1,measured
356,E1A1,0,1,measured
357,2801,0,1,measured
358,7174,0,1,measured
359,DCA4,0,1,measured
360,1857,0,1,measured
361,60D1,0,1,measured
362,60D1,0,1,measured
363,AD55,0,1,measured
364,F359,0,1,measured
365,2F18,0,1,measured
366,85E6,0,1,measured
367,D35F,0,1,measured
368,1907,0,1,measured
369,4592,0,1,measured
370,9260,0,1,measured
371,D7FB,0,1,measured
372,21B8,0,1,measured
373,A0DC,0,1,measured
374,215E,0,1,measured
375,6AC9,0,1,measured
376,B346,0,1,measured
377,FC68,0,1,measured
378,1B8A,0,1,measured
379,6090,0,1,measured
380,AE45,0,1,measured
381,AE45,0,1,measured
382,DC5C,0,1,measured
383,0959,0,1,measured
384,5141,0,1,measured
385,9A12,0,1,measured
386,428B,0,1,measured
387,7CC4,0,1,measured
388,C598,0,1,measured
389,0F7C,0,1,measured
390,5813,0,1,measured
391,A156,0,1,measured
392,FB49,0,1,measured
393,895A,0,1,measured
394,CDF7,0,1,measured
395,1C77,0,1,measured
396,6519,0,1,measured
397,A210,0,1,measured
398,018F,0,1,measured
399,381A,0,1,measured
400,381A,0,1,measured
401,8133,0,1,measured
402,CB60,0,1,measured
403,13AF,0,1,measured
404,5CEE,0,1,measured
405,A6D6,0,1,measured
406,EF75,0,1,measured
407,38AE,0,1,measured
408,7A62,0,1,measured
409,B8B2,0,1,measured
410,F849,0,1,measured
411,4AAA,0,1,measured
412,049F,0,1,measured
413,4D3E,0,1,measured
414,9658,0,1,measured
415,DFA4,0,1,measured
416,1E0C,0,1,measured
417,73A0,0,1,measured
418,B219,0,1,measured
419,B219,0,1,measured
420,FAA4,0,1,measured
421,236C,0,1,measured
422,6CE2,0,1,measured
423,B5AA,0,1,measured
424,3201,0,1,measured
425,4F8C,0,1,measured
426,9D21,0,1,measured
427,E6DF,0,1,measured
428,2F40,0,1,measured
429,7839,0,1,measured
430,C17E,0,1,measured
431,6095,0,1,measured
432,A218,0,1,measured
433,DF0E,0,1,measured
434,27E0,0,1,measured
435,6555,0,1,measured
436,AEAC,0,1,measured
437,F7C9,0,1,measured
438,F7C9,0,1,measured
439,4106,0,1,measured
440,8670,0,1,measured
441,D391,0,1,measured
442,1CD4,0,1,measured
443,6689,0,1,measured
444,AF50,0,1,measured
445,F89E,0,1,measured
446,25F1,0,1,measured
447,55B3,0,1,measured
448,9DCD,0,1,measured
449,E736,0,1,measured
450,D4CC,0,1,measured
451,20F0,0,1,measured
452,6BBD,0,1,measured
453,B171,0,1,measured
454,E480,0,1,measured
455,3BE2,0,1,measured
456,88BA,0,1,measured
457,88BA,0,1,measured
458,CDF4,0,1,measured
459,0F81,0,1,measured
460,50FA,0,1,measured
461,967D,0,1,measured
462,E0C9,0,1,measured
463,50C0,0,1,measured
464,8C83,0,1,measured
465,D0C7,0,1,measured
466,28E5,0,1,measured
467,63CF,0,1,measured
468,AE21,0,1,measured
469,4365,0,1,measured
470,9485,0,1,measured
471,C1CB,0,1,measured
472,1578,0,1,measured
473,4A48,0,1,measured
474,948F,0,1,measured
475,EF05,0,1,measured
