offset,seed,band,boots,how
6,09A6,0,1,measured
7,3197,0,1,measured
8,7B16,0,1,measured
9,C3D9,0,1,measured
10,0D1C,0,1,measured
11,5665,0,1,measured
12,9FA5,0,1,measured
13,9F10,0,1,measured
14,C1B2,0,1,measured
15,0BF8,0,1,measured
16,0BF8,0,1,measured
17,537B,0,1,measured
18,E6A9,0,1,measured
19,2F2A,0,1,measured
20,71DA,0,1,measured
21,C013,0,1,measured
22,DFCD,0,1,measured
23,1DCF,0,1,measured
24,6633,0,1,measured
25,AF6D,0,1,measured
26,F8B2,0,1,measured
27,41F2,0,1,measured
28,6AB2,0,1,measured
29,7DC3,0,1,measured
30,C703,0,1,measured
31,0F66,0,1,measured
32,58A5,0,1,measured
33,A1E5,0,1,measured
34,EB25,0,1,measured
35,3081,0,1,measured
36,7D9C,0,1,measured
37,7D9C,0,1,measured
38,C6E1,0,1,measured
39,1026,0,1,measured
40,0E9B,0,1,measured
41,322A,0,1,measured
42,7C79,0,1,measured
43,C6D1,0,1,measured
44,0CF7,0,1,measured
45,5580,0,1,measured
46,A672,0,1,measured
47,EC57,0,1,measured
48,3564,0,1,measured
49,76ED,0,1,measured
50,B53E,0,1,measured
51,F541,0,1,measured
52,4842,0,1,measured
53,9201,0,1,measured
54,DA29,0,1,measured
55,2330,0,1,measured
56,9B3A,0,1,measured
57,E574,0,1,measured
58,2F23,0,1,measured
59,78D1,0,1,measured
60,BFB4,0,1,measured
61,0691,0,1,measured
62,4FA7,0,1,measured
63,78A5,0,1,measured
64,37D9,0,1,measured
65,5382,0,1,measured
66,A2BA,0,1,measured
67,EA42,0,1,measured
68,348E,0,1,measured
69,7C5B,0,1,measured
70,C672,0,1,measured
71,1037,0,1,measured
72,59BC,0,1,measured
73,CC6F,0,1,measured
74,EB82,0,1,measured
75,35FE,0,1,measured
76,7D84,0,1,measured
77,C7CE,0,1,measured
78,106E,0,1,measured
79,5A3A,0,1,measured
80,9EC5,0,1,measured
81,EBC1,0,1,measured
82,5ECF,0,1,measured
83,7EC5,0,1,measured
84,C93F,0,1,measured
85,10C4,0,1,measured
86,5B04,0,1,measured
87,A5D3,0,1,measured
88,ED8D,0,1,measured
89,ED8D,0,1,measured
90,35B1,0,1,measured
91,AA98,0,1,measured
92,CA18,0,1,measured
93,1477,0,1,measured
94,5C0A,0,1,measured
95,E974,0,1,measured
96,3825,0,1,measured
97,81F6,0,1,measured
98,CB85,0,1,measured
99,3DCB,0,1,measured
100,5D52,0,1,measured
101,A7BC,0,1,measured
102,F1EE,0,1,measured
103,3837,0,1,measured
104,8238,0,1,measured
105,CC1C,0,1,measured
106,156E,0,1,measured
107,87AC,0,1,measured
108,A653,0,1,measured
109,F0B3,0,1,measured
110,3397,0,1,measured
111,3397,0,1,measured
112,8281,0,1,measured
113,CA73,0,1,measured
114,1466,0,1,measured
115,5E3C,0,1,measured
116,A7CB,0,1,measured
117,1C34,0,1,measured
118,36AD,0,1,measured
119,7E83,0,1,measured
120,C710,0,1,measured
121,591D,0,1,measured
122,A2D4,0,1,measured
123,EBC2,0,1,measured
124,342C,0,1,measured
125,7282,0,1,measured
126,B438,0,1,measured
127,FD09,0,1,measured
128,4750,0,1,measured
129,963E,0,1,measured
130,D923,0,1,measured
131,26A0,0,1,measured
132,70C9,0,1,measured
133,B4E5,0,1,measured
134,030A,0,1,measured
135,4B93,0,1,measured
136,94E9,0,1,measured
137,DE4B,0,1,measured
138,092E,0,1,measured
139,3824,0,1,measured
140,7704,0,1,measured
141,CA70,0,1,measured
142,703A,0,1,measured
143,A924,0,1,measured
144,F4A3,0,1,measured
145,3D34,0,1,measured
146,8675,0,1,measured
147,D0AE,0,1,measured
148,1927,0,1,measured
149,6253,0,1,measured
150,AB8D,0,1,measured
151,ED19,0,1,measured
