offset,seed,band,boots,how
6,09A5,0,1,measured
8,7B09,0,1,measured
9,C3DE,0,1,measured
10,0D13,0,1,measured
12,9F99,0,1,measured
13,9F0C,0,1,measured
15,0BF4,0,1,measured
16,0BF4,0,1,measured
17,5372,0,1,measured
22,DFB7,0,1,measured
23,1DD1,0,1,measured
24,6629,0,1,measured
27,41DE,0,1,measured
28,6AA2,0,1,measured
29,7DBF,0,1,measured
30,C6F6,0,1,measured
31,0F53,0,1,measured
36,7D98,0,1,measured
37,7D98,0,1,measured
38,C6D4,0,1,measured
42,7DF3,0,1,measured
43,C544,0,1,measured
44,0CE5,0,1,measured
45,557D,0,1,measured
46,A779,0,1,measured
51,F537,0,1,measured
52,4846,0,1,measured
53,9200,0,1,measured
54,DAB9,0,1,measured
56,9B9B,0,1,measured
57,E4F1,0,1,measured
58,2F19,0,1,measured
59,78D1,0,1,measured
61,0688,0,1,measured
62,4F9E,0,1,measured
64,37C0,0,1,measured
65,537E,0,1,measured
66,A2B8,0,1,measured
67,EA3A,0,1,measured
68,3486,0,1,measured
71,12A8,0,1,measured
72,55FE,0,1,measured
73,CB16,0,1,measured
78,1061,0,1,measured
79,5A31,0,1,measured
80,9EC4,0,1,measured
85,10B4,0,1,measured
86,5C23,0,1,measured
87,A3AC,0,1,measured
88,ED9D,0,1,measured
89,ED9D,0,1,measured
90,36E0,0,1,measured
91,AB00,0,1,measured
93,1466,0,1,measured
94,5C0E,0,1,measured
97,81EA,0,1,measured
99,3DB6,0,1,measured
100,5D45,0,1,measured
101,A92D,0,1,measured
102,F060,0,1,measured
103,3829,0,1,measured
105,CBF5,0,1,measured
106,156B,0,1,measured
107,87A0,0,1,measured
112,8284,0,1,measured
114,1455,0,1,measured
115,5E40,0,1,measured
116,A7C1,0,1,measured
117,1DD5,0,1,measured
118,34FB,0,1,measured
119,7E7B,0,1,measured
120,C707,0,1,measured
121,591E,0,1,measured
122,A2D2,0,1,measured
127,FD06,0,1,measured
128,474B,0,1,measured
129,963D,0,1,measured
131,2778,0,1,measured
132,6FEE,0,1,measured
133,B4D6,0,1,measured
134,02FD,0,1,measured
135,4B95,0,1,measured
136,94E1,0,1,measured
137,DE4B,0,1,measured
139,381F,0,1,measured
141,CA62,0,1,measured
142,702B,0,1,measured
143,A926,0,1,measured
144,F499,0,1,measured
146,86BF,0,1,measured
147,D064,0,1,measured
148,1928,0,1,measured
