offset,seed,band,boots,how
8,7B12,0,1,measured
9,C3DC,0,1,measured
10,0D25,0,1,measured
12,9FA3,0,1,measured
13,9F57,0,1,measured
15,0C4A,0,1,measured
16,0C4A,0,1,measured
17,537F,0,1,measured
22,DFC9,0,1,measured
23,1DDB,0,1,measured
24,6629,0,1,measured
27,41F0,0,1,measured
28,6AB4,0,1,measured
29,7DBF,0,1,measured
30,C701,0,1,measured
31,0F65,0,1,measured
36,7D99,0,1,measured
37,7D99,0,1,measured
38,C6E6,0,1,measured
39,1025,0,1,measured
42,7E66,0,1,measured
43,C57C,0,1,measured
44,0D12,0,1,measured
45,5582,0,1,measured
46,A7C1,0,1,measured
47,EC5E,0,1,measured
48,3564,0,1,measured
51,F53C,0,1,measured
52,485E,0,1,measured
53,923F,0,1,measured
54,DAD5,0,1,measured
55,2330,0,1,measured
56,9B9B,0,1,measured
57,E50F,0,1,measured
58,2F3E,0,1,measured
59,7908,0,1,measured
61,069A,0,1,measured
62,4F9E,0,1,measured
64,3821,0,1,measured
65,53BD,0,1,measured
70,C66A,0,1,measured
71,1349,0,1,measured
72,5608,0,1,measured
73,CB6B,0,1,measured
75,364E,0,1,measured
78,1073,0,1,measured
79,5A8A,0,1,measured
80,9F1A,0,1,measured
85,10E0,0,1,measured
86,5C74,0,1,measured
87,A3B4,0,1,measured
88,EDED,0,1,measured
89,EDED,0,1,measured
90,3740,0,1,measured
91,AB58,0,1,measured
92,CA43,0,1,measured
93,14C3,0,1,measured
94,5C23,0,1,measured
99,3E0C,0,1,measured
100,5D8E,0,1,measured
101,A9A2,0,1,measured
102,F0A0,0,1,measured
103,3843,0,1,measured
104,823D,0,1,measured
105,CC40,0,1,measured
106,15C1,0,1,measured
107,87FC,0,1,measured
114,1467,0,1,measured
115,5E8C,0,1,measured
116,A810,0,1,measured
117,1E47,0,1,measured
118,353B,0,1,measured
119,7EBD,0,1,measured
120,C726,0,1,measured
121,593E,0,1,measured
122,A2E8,0,1,measured
127,FD0F,0,1,measured
128,477B,0,1,measured
129,9647,0,1,measured
131,2791,0,1,measured
132,6FEF,0,1,measured
133,B4E8,0,1,measured
134,0324,0,1,measured
135,4B9E,0,1,measured
136,94E9,0,1,measured
141,CA84,0,1,measured
142,7038,0,1,measured
143,A92C,0,1,measured
146,86C5,0,1,measured
147,D07C,0,1,measured
148,1932,0,1,measured
149,6260,0,1,measured
150,AB8B,0,1,measured
155,1C3D,0,1,measured
156,69F0,0,1,measured
157,B3A8,0,1,measured
158,FBE7,0,1,measured
162,1EEA,0,1,measured
164,94EF,0,1,measured
169,0498,0,1,measured
170,4956,0,1,measured
171,963B,0,1,measured
176,E5FA,0,1,measured
177,135E,0,1,measured
178,5C67,0,1,measured
179,A53A,0,1,measured
183,1B02,0,1,measured
184,64B5,0,1,measured
185,A9C1,0,1,measured
190,1BC0,0,1,measured
191,6777,0,1,measured
192,AC69,0,1,measured
193,1933,0,1,measured
194,40C4,0,1,measured
197,1FBF,0,1,measured
198,696D,0,1,measured
199,B3A7,0,1,measured
200,F003,0,1,measured
202,8355,0,1,measured
204,0A4E,0,1,measured
205,53B2,0,1,measured
206,D7A7,0,1,measured
207,08C4,0,1,measured
208,5246,0,1,measured
211,2D87,0,1,measured
212,7AA9,0,1,measured
215,260B,0,1,measured
218,0A61,0,1,measured
219,8DA7,0,1,measured
220,B226,0,1,measured
221,FD83,0,1,measured
222,4421,0,1,measured
223,8CFA,0,1,measured
224,D645,0,1,measured
225,1FD6,0,1,measured
226,68C8,0,1,measured
227,B11F,0,1,measured
228,D84B,0,1,measured
230,5972,0,1,measured
232,F360,0,1,measured
233,3889,0,1,measured
234,814A,0,1,measured
235,CB33,0,1,measured
236,140B,0,1,measured
237,5DB9,0,1,measured
238,A645,0,1,measured
239,EF7D,0,1,measured
240,38D9,0,1,measured
241,6456,0,1,measured
242,8F23,0,1,measured
246,03D4,0,1,measured
247,4DB3,0,1,measured
251,7248,0,1,measured
252,BA1C,0,1,measured
253,FBCE,0,1,measured
254,3A0A,0,1,measured
255,82E6,0,1,measured
260,26CB,0,1,measured
261,746C,0,1,measured
262,BC70,0,1,measured
267,C750,0,1,measured
268,1C16,0,1,measured
269,5B40,0,1,measured
270,A496,0,1,measured
272,559B,0,1,measured
275,2F77,0,1,measured
276,743E,0,1,measured
277,C2AF,0,1,measured
281,E2C4,0,1,measured
282,294B,0,1,measured
283,D8A3,0,1,measured
287,DF4B,0,1,measured
288,28D0,0,1,measured
289,8B90,0,1,measured
290,B6B6,0,1,measured
293,9670,0,1,measured
295,294B,0,1,measured
296,9173,0,1,measured
297,BFB2,0,1,measured
298,5D21,0,1,measured
301,39A2,0,1,measured
302,74A5,0,1,measured
303,BCF3,0,1,measured
306,3CF1,0,1,measured
309,4F22,0,1,measured
310,7B21,0,1,measured
311,C67A,0,1,measured
312,0CCE,0,1,measured
313,5697,0,1,measured
314,9FD9,0,1,measured
315,0085,0,1,measured
316,31F9,0,1,measured
317,AE64,0,1,measured
319,3BE2,0,1,measured
322,2A28,0,1,measured
325,BCE0,0,1,measured
326,0680,0,1,measured
327,4E20,0,1,measured
328,97C6,0,1,measured
330,2918,0,1,measured
331,6C25,0,1,measured
332,A907,0,1,measured
334,3C61,0,1,measured
336,2293,0,1,measured
337,6C9D,0,1,measured
338,B51A,0,1,measured
340,3CC2,0,1,measured
341,850B,0,1,measured
342,B0CA,0,1,measured
343,B0CA,0,1,measured
344,DEAD,0,1,measured
345,271E,0,1,measured
346,6FC4,0,1,measured
347,207E,0,1,measured
351,33FD,0,1,measured
352,79F1,0,1,measured
353,C353,0,1,measured
354,10F4,0,1,measured
355,A1E0,0,1,measured
356,E16A,0,1,measured
358,717F,0,1,measured
359,DCBE,0,1,measured
360,1880,0,1,measured
363,AD56,0,1,measured
365,2F14,0,1,measured
366,85F4,0,1,measured
367,D386,0,1,measured
368,1928,0,1,measured
371,D84C,0,1,measured
372,2173,0,1,measured
