offset,seed,band,boots,how
6,09A5,0,1,measured
8,7B09,0,1,measured
9,C3DE,0,1,measured
10,0D13,0,1,measured
12,9F99,0,1,measured
13,9F59,0,1,measured
15,0C41,0,1,measured
16,0C41,0,1,measured
17,5381,0,1,measured
22,DFC0,0,1,measured
23,1DD1,0,1,measured
24,6629,0,1,measured
27,41DE,0,1,measured
28,6AA2,0,1,measured
29,7DBF,0,1,measured
30,C6F6,0,1,measured
31,0F53,0,1,measured
36,7D98,0,1,measured
37,7D98,0,1,measured
38,C6D4,0,1,measured
41,3260,0,1,measured
42,7E63,0,1,measured
43,C57D,0,1,measured
44,0D00,0,1,measured
45,557D,0,1,measured
46,A7AD,0,1,measured
47,EC57,0,1,measured
50,B53C,0,1,measured
51,F537,0,1,measured
52,485D,0,1,measured
53,922B,0,1,measured
54,DAC9,0,1,measured
55,2326,0,1,measured
56,9B9B,0,1,measured
57,E506,0,1,measured
58,2F37,0,1,measured
59,78FE,0,1,measured
60,BFD3,0,1,measured
64,380C,0,1,measured
65,53AC,0,1,measured
66,A2FA,0,1,measured
68,34AD,0,1,measured
71,133E,0,1,measured
72,55FE,0,1,measured
73,CB62,0,1,measured
74,EBB1,0,1,measured
75,363A,0,1,measured
78,1061,0,1,measured
79,5A83,0,1,measured
80,9F06,0,1,measured
85,10D8,0,1,measured
86,5C63,0,1,measured
87,A3A2,0,1,measured
88,EDEB,0,1,measured
89,EDEB,0,1,measured
90,372E,0,1,measured
91,AB56,0,1,measured
93,14B1,0,1,measured
94,5C1C,0,1,measured
99,3E03,0,1,measured
100,5D7D,0,1,measured
101,A991,0,1,measured
102,F08C,0,1,measured
103,383F,0,1,measured
105,CC41,0,1,measured
106,15B0,0,1,measured
107,87F4,0,1,measured
110,339D,0,1,measured
111,339D,0,1,measured
114,1455,0,1,measured
115,5E82,0,1,measured
116,A80C,0,1,measured
117,1E38,0,1,measured
118,3531,0,1,measured
119,7EB2,0,1,measured
121,593D,0,1,measured
122,A2E8,0,1,measured
127,FCFB,0,1,measured
128,476A,0,1,measured
129,963D,0,1,measured
131,2790,0,1,measured
132,6FE5,0,1,measured
133,B4D6,0,1,measured
134,031B,0,1,measured
135,4B8B,0,1,measured
136,94E1,0,1,measured
138,0946,0,1,measured
139,3838,0,1,measured
141,CA72,0,1,measured
142,7035,0,1,measured
143,A926,0,1,measured
145,3D22,0,1,measured
