offset,seed,band,boots,how
6,099C,0,1,measured
7,3197,0,1,measured
8,7B0D,0,1,measured
9,C3CF,0,1,measured
10,0D1C,0,1,measured
11,565C,0,1,measured
12,9F9C,0,1,measured
13,9F56,0,1,measured
14,C1D6,0,1,measured
15,0C3A,0,1,measured
16,0C3A,0,1,measured
17,536F,0,1,measured
18,E6D9,0,1,measured
19,2F30,0,1,measured
20,71F8,0,1,measured
21,C031,0,1,measured
22,DFC4,0,1,measured
23,1DCD,0,1,measured
24,6628,0,1,measured
25,AF5A,0,1,measured
26,F8AA,0,1,measured
27,41E0,0,1,measured
28,6AA0,0,1,measured
29,7DBA,0,1,measured
30,C6F9,0,1,measured
31,0F54,0,1,measured
32,589C,0,1,measured
33,A1DC,0,1,measured
34,EB1C,0,1,measured
35,3077,0,1,measured
36,7D9C,0,1,measured
37,7D9C,0,1,measured
38,C6D8,0,1,measured
39,101C,0,1,measured
40,0EDB,0,1,measured
41,325E,0,1,measured
42,7CC3,0,1,measured
43,C713,0,1,measured
44,0D0C,0,1,measured
45,5574,0,1,measured
46,A67A,0,1,measured
47,EC4B,0,1,measured
48,3566,0,1,measured
49,76EB,0,1,measured
50,B53D,0,1,measured
51,F53B,0,1,measured
52,4858,0,1,measured
53,922E,0,1,measured
54,DA28,0,1,measured
55,2331,0,1,measured
56,9B31,0,1,measured
57,E579,0,1,measured
58,2F39,0,1,measured
59,7900,0,1,measured
60,BFD3,0,1,measured
61,0688,0,1,measured
62,4F9E,0,1,measured
63,78A7,0,1,measured
64,381C,0,1,measured
65,53A6,0,1,measured
66,A301,0,1,measured
67,EA5A,0,1,measured
68,34B7,0,1,measured
69,7C7B,0,1,measured
70,C668,0,1,measured
71,1070,0,1,measured
72,59FB,0,1,measured
73,CCA8,0,1,measured
74,EBB8,0,1,measured
75,3641,0,1,measured
76,7D9A,0,1,measured
77,C7F6,0,1,measured
78,1064,0,1,measured
79,5A75,0,1,measured
80,9F11,0,1,measured
81,EBE3,0,1,measured
82,5F0F,0,1,measured
83,7EF8,0,1,measured
84,C981,0,1,measured
85,10DA,0,1,measured
86,5B35,0,1,measured
87,A610,0,1,measured
88,EDCF,0,1,measured
89,EDCF,0,1,measured
90,35DD,0,1,measured
91,AADB,0,1,measured
92,CA40,0,1,measured
93,14B6,0,1,measured
94,5C24,0,1,measured
95,E97A,0,1,measured
96,3820,0,1,measured
97,8241,0,1,measured
98,CBBF,0,1,measured
99,3E07,0,1,measured
100,5D7F,0,1,measured
101,A7F8,0,1,measured
102,F235,0,1,measured
103,3848,0,1,measured
104,8234,0,1,measured
105,CC67,0,1,measured
106,15B4,0,1,measured
107,87EF,0,1,measured
108,A689,0,1,measured
109,F0F7,0,1,measured
110,33A6,0,1,measured
111,33A6,0,1,measured
112,82B4,0,1,measured
113,CA82,0,1,measured
114,145C,0,1,measured
115,5E7F,0,1,measured
116,A804,0,1,measured
117,1C60,0,1,measured
118,3711,0,1,measured
119,7EBA,0,1,measured
120,C725,0,1,measured
121,5930,0,1,measured
122,A2E2,0,1,measured
123,EBD7,0,1,measured
124,3423,0,1,measured
125,7297,0,1,measured
126,B42D,0,1,measured
127,FCFF,0,1,measured
128,4764,0,1,measured
129,963F,0,1,measured
130,D924,0,1,measured
131,26A0,0,1,measured
132,70E0,0,1,measured
133,B4DD,0,1,measured
134,031F,0,1,measured
135,4B88,0,1,measured
136,94E0,0,1,measured
137,DE48,0,1,measured
138,093D,0,1,measured
139,3832,0,1,measured
140,7704,0,1,measured
141,CA74,0,1,measured
142,7030,0,1,measured
143,A924,0,1,measured
144,F4BA,0,1,measured
145,3D2B,0,1,measured
146,8673,0,1,measured
147,D0C7,0,1,measured
148,1922,0,1,measured
149,6251,0,1,measured
150,AB89,0,1,measured
151,ED16,0,1,measured
152,2B64,0,1,measured
153,7460,0,1,measured
154,F84E,0,1,measured
155,1C3A,0,1,measured
156,69E9,0,1,measured
157,B397,0,1,measured
158,FBDD,0,1,measured
159,457B,0,1,measured
160,8EAF,0,1,measured
161,D856,0,1,measured
162,1EED,0,1,measured
163,4B6E,0,1,measured
164,94E5,0,1,measured
165,DDAD,0,1,measured
166,26E2,0,1,measured
167,A3AD,0,1,measured
168,BB46,0,1,measured
169,049C,0,1,measured
170,4952,0,1,measured
171,9630,0,1,measured
172,DF0D,0,1,measured
173,284E,0,1,measured
174,71FF,0,1,measured
175,BAF3,0,1,measured
176,E474,0,1,measured
177,14D0,0,1,measured
178,5C66,0,1,measured
179,A531,0,1,measured
180,581D,0,1,measured
181,893B,0,1,measured
182,D256,0,1,measured
183,1AFA,0,1,measured
184,64B0,0,1,measured
185,A9B5,0,1,measured
186,F4C8,0,1,measured
187,5979,0,1,measured
188,8A04,0,1,measured
189,D315,0,1,measured
190,1BC4,0,1,measured
191,6564,0,1,measured
192,AF06,0,1,measured
193,1A11,0,1,measured
194,40BE,0,1,measured
195,8D62,0,1,measured
196,D93F,0,1,measured
197,1FB9,0,1,measured
198,6968,0,1,measured
199,B3A7,0,1,measured
200,EFFA,0,1,measured
201,41B1,0,1,measured
202,834A,0,1,measured
203,C4D1,0,1,measured
204,0A48,0,1,measured
205,539C,0,1,measured
206,D5CA,0,1,measured
207,0A8F,0,1,measured
208,523C,0,1,measured
209,9D93,0,1,measured
210,E41C,0,1,measured
211,2D8B,0,1,measured
212,7A9A,0,1,measured
213,BDBE,0,1,measured
214,05DF,0,1,measured
215,2608,0,1,measured
216,7B85,0,1,measured
217,C0F4,0,1,measured
218,0A53,0,1,measured
219,8D9C,0,1,measured
220,B223,0,1,measured
221,FB37,0,1,measured
222,4663,0,1,measured
223,8CE6,0,1,measured
224,D63D,0,1,measured
225,1FCF,0,1,measured
226,68B0,0,1,measured
227,B117,0,1,measured
228,D845,0,1,measured
229,1580,0,1,measured
230,595F,0,1,measured
231,A846,0,1,measured
232,F35C,0,1,measured
233,3885,0,1,measured
234,8140,0,1,measured
235,CB2A,0,1,measured
236,13C5,0,1,measured
237,5DF9,0,1,measured
238,A644,0,1,measured
239,EF78,0,1,measured
240,38CB,0,1,measured
241,644E,0,1,measured
242,8F19,0,1,measured
243,D780,0,1,measured
244,A528,0,1,measured
245,B5F2,0,1,measured
246,03CD,0,1,measured
247,4DAF,0,1,measured
248,950C,0,1,measured
249,DF21,0,1,measured
250,278A,0,1,measured
251,71F4,0,1,measured
252,BB0C,0,1,measured
253,FBBC,0,1,measured
254,3A06,0,1,measured
255,82DB,0,1,measured
256,CC04,0,1,measured
257,6260,0,1,measured
258,9866,0,1,measured
259,E18F,0,1,measured
260,26CB,0,1,measured
261,745C,0,1,measured
262,BC72,0,1,measured
263,0680,0,1,measured
264,4EF2,0,1,measured
265,98FF,0,1,measured
266,98FF,0,1,measured
267,C521,0,1,measured
268,1E3B,0,1,measured
269,5B2F,0,1,measured
270,A495,0,1,measured
271,189F,0,1,measured
272,5588,0,1,measured
273,9D5E,0,1,measured
274,E639,0,1,measured
275,2F70,0,1,measured
276,7438,0,1,measured
277,C2AD,0,1,measured
278,0B38,0,1,measured
279,5470,0,1,measured
280,9A05,0,1,measured
281,E2B6,0,1,measured
282,2938,0,1,measured
283,D898,0,1,measured
284,03D7,0,1,measured
285,4CE3,0,1,measured
286,9592,0,1,measured
287,DF48,0,1,measured
288,28D6,0,1,measured
289,8B8A,0,1,measured
290,B6A4,0,1,measured
291,0463,0,1,measured
292,4E1E,0,1,measured
293,965F,0,1,measured
294,E008,0,1,measured
295,293D,0,1,measured
296,8F86,0,1,measured
297,C17F,0,1,measured
298,5D15,0,1,measured
299,A757,0,1,measured
300,F0AD,0,1,measured
301,39A4,0,1,measured
302,7497,0,1,measured
303,BCF5,0,1,measured
305,FA57,0,1,measured
306,3CE6,0,1,measured
307,85B1,0,1,measured
308,CEF7,0,1,measured
309,4F1D,0,1,measured
310,7B11,0,1,measured
311,C434,0,1,measured
312,0E73,0,1,measured
313,56DE,0,1,measured
314,9D88,0,1,measured
315,FCFB,0,1,measured
316,3112,0,1,measured
317,AE5A,0,1,measured
318,F755,0,1,measured
319,3BD8,0,1,measured
320,8940,0,1,measured
321,06EF,0,1,measured
322,2A28,0,1,measured
324,7337,0,1,measured
325,BCCF,0,1,measured
326,055C,0,1,measured
327,4F33,0,1,measured
328,97BB,0,1,measured
329,E0B4,0,1,measured
330,2909,0,1,measured
331,6C20,0,1,measured
332,A8FF,0,1,measured
333,F1E6,0,1,measured
334,3B1F,0,1,measured
335,7FE3,0,1,measured
336,228E,0,1,measured
337,6C8E,0,1,measured
338,B51A,0,1,measured
339,FE60,0,1,measured
340,3C7B,0,1,measured
341,8554,0,1,measured
343,B0B6,0,1,measured
344,DEA4,0,1,measured
345,2706,0,1,measured
346,6FB9,0,1,measured
347,2071,0,1,measured
348,51A2,0,1,measured
349,9E48,0,1,measured
350,DAD5,0,1,measured
351,3401,0,1,measured
352,79E0,0,1,measured
353,C349,0,1,measured
354,10F0,0,1,measured
355,A197,0,1,measured
356,E1A0,0,1,measured
357,2801,0,1,measured
358,7173,0,1,measured
359,DCBB,0,1,measured
360,187C,0,1,measured
362,60D0,0,1,measured
363,AD52,0,1,measured
364,F358,0,1,measured
365,2F16,0,1,measured
366,85E5,0,1,measured
367,D375,0,1,measured
368,1927,0,1,measured
369,4591,0,1,measured
370,9257,0,1,measured
371,D7FA,0,1,measured
372,21B7,0,1,measured
373,A111,0,1,measured
374,2193,0,1,measured
375,6AFC,0,1,measured
376,B361,0,1,measured
377,FC82,0,1,measured
378,1B9D,0,1,measured
379,609E,0,1,measured
381,AE59,0,1,measured
382,DC5C,0,1,measured
383,096C,0,1,measured
384,5140,0,1,measured
385,9A05,0,1,measured
386,42B2,0,1,measured
387,7CC4,0,1,measured
388,C597,0,1,measured
389,0F90,0,1,measured
390,580B,0,1,measured
391,A157,0,1,measured
392,FB67,0,1,measured
393,894E,0,1,measured
394,CDF6,0,1,measured
395,1C8E,0,1,measured
396,6510,0,1,measured
397,A210,0,1,measured
398,01A7,0,1,measured
400,3819,0,1,measured
401,8129,0,1,measured
402,CB73,0,1,measured
403,13B9,0,1,measured
404,5CED,0,1,measured
405,A6EE,0,1,measured
406,EF74,0,1,measured
407,38AD,0,1,measured
408,7A6D,0,1,measured
409,B8AE,0,1,measured
410,F83E,0,1,measured
411,4AA9,0,1,measured
412,04BD,0,1,measured
413,4D32,0,1,measured
414,9652,0,1,measured
415,DFA3,0,1,measured
416,1E0B,0,1,measured
417,73B5,0,1,measured
419,B23D,0,1,measured
420,FAAE,0,1,measured
421,2361,0,1,measured
422,6CE1,0,1,measured
423,B5A1,0,1,measured
424,3237,0,1,measured
425,4FB8,0,1,measured
426,9D60,0,1,measured
427,E70B,0,1,measured
428,2F67,0,1,measured
429,7847,0,1,measured
430,C193,0,1,measured
431,60A9,0,1,measured
432,A235,0,1,measured
433,DF0D,0,1,measured
434,27D6,0,1,measured
435,654A,0,1,measured
436,AEA0,0,1,measured
438,F7C8,0,1,measured
439,410E,0,1,measured
440,8687,0,1,measured
441,D39C,0,1,measured
442,1CD6,0,1,measured
443,6699,0,1,measured
444,AF50,0,1,measured
445,F895,0,1,measured
446,25F0,0,1,measured
447,55CA,0,1,measured
448,9DC2,0,1,measured
449,E74D,0,1,measured
450,D4CB,0,1,measured
451,210C,0,1,measured
452,6BBC,0,1,measured
453,B164,0,1,measured
454,E47F,0,1,measured
455,3BF9,0,1,measured
457,88D7,0,1,measured
458,CDFC,0,1,measured
459,0F80,0,1,measured
460,5102,0,1,measured
461,967A,0,1,measured
462,E0E0,0,1,measured
463,50B8,0,1,measured
464,8CB8,0,1,measured
465,D0CE,0,1,measured
466,2918,0,1,measured
467,640D,0,1,measured
468,AE4A,0,1,measured
469,439B,0,1,measured
470,94AD,0,1,measured
471,C1D3,0,1,measured
472,15AE,0,1,measured
473,4A7D,0,1,measured
474,94C1,0,1,measured
476,EF45,0,1,measured
477,23DF,0,1,measured
478,6BB4,0,1,measured
479,B423,0,1,measured
480,FD19,0,1,measured
481,465D,0,1,measured
482,8FEE,0,1,measured
483,D8DB,0,1,measured
484,213B,0,1,measured
