offset,seed,band,boots,how
6,099B,0,1,measured
7,3196,0,1,measured
8,7B03,0,1,measured
9,C3D7,0,1,measured
10,0D1D,0,1,measured
11,565B,0,1,measured
12,9F92,0,1,measured
13,9F00,0,1,measured
14,C19C,0,1,measured
15,0BF9,0,1,measured
16,0BF9,0,1,measured
17,5370,0,1,measured
18,E6A7,0,1,measured
19,2F1F,0,1,measured
20,71CF,0,1,measured
21,C00F,0,1,measured
22,DFC3,0,1,measured
23,1DCC,0,1,measured
24,6620,0,1,measured
25,AF65,0,1,measured
26,F8A8,0,1,measured
27,41DF,0,1,measured
28,6A9F,0,1,measured
29,7DC2,0,1,measured
30,C6FA,0,1,measured
31,0F52,0,1,measured
32,589B,0,1,measured
33,A1D2,0,1,measured
34,EB12,0,1,measured
35,306E,0,1,measured
36,7D92,0,1,measured
37,7D92,0,1,measured
38,C6CE,0,1,measured
39,101B,0,1,measured
40,0E8E,0,1,measured
41,321C,0,1,measured
42,7C79,0,1,measured
43,C6D2,0,1,measured
44,0CF4,0,1,measured
45,5582,0,1,measured
46,A65B,0,1,measured
47,EC54,0,1,measured
48,3562,0,1,measured
49,76E1,0,1,measured
50,B532,0,1,measured
51,F537,0,1,measured
52,4840,0,1,measured
53,91FE,0,1,measured
54,DA1F,0,1,measured
55,232F,0,1,measured
56,9B30,0,1,measured
57,E56A,0,1,measured
58,2F11,0,1,measured
59,78D2,0,1,measured
60,BFAB,0,1,measured
61,0687,0,1,measured
62,4F94,0,1,measured
63,789B,0,1,measured
64,37C2,0,1,measured
65,5379,0,1,measured
66,A2B7,0,1,measured
67,EA42,0,1,measured
68,347C,0,1,measured
69,7C59,0,1,measured
70,C65E,0,1,measured
71,1026,0,1,measured
72,59B8,0,1,measured
73,CC5B,0,1,measured
74,EB82,0,1,measured
75,35EB,0,1,measured
76,7D82,0,1,measured
77,C7C1,0,1,measured
78,106E,0,1,measured
79,5A28,0,1,measured
80,9EC5,0,1,measured
81,EBB7,0,1,measured
82,5ECC,0,1,measured
83,7EC2,0,1,measured
