offset,seed,band,boots,how
8,7AFF,0,1,measured
9,C3DB,0,1,measured
10,0D12,0,1,measured
11,5652,0,1,measured
12,9F90,0,1,measured
13,9F01,0,1,measured
14,C1A6,0,1,measured
15,0BF2,0,1,measured
16,0BF2,0,1,measured
17,5377,0,1,measured
22,DFBF,0,1,measured
23,1DC6,0,1,measured
24,6627,0,1,measured
25,AF64,0,1,measured
26,F89F,0,1,measured
27,41DD,0,1,measured
28,6AA1,0,1,measured
29,7DB5,0,1,measured
30,C6FD,0,1,measured
31,0F5B,0,1,measured
32,5892,0,1,measured
36,7D9A,0,1,measured
37,7D9A,0,1,measured
38,C6DD,0,1,measured
40,0E85,0,1,measured
41,3227,0,1,measured
42,7DFF,0,1,measured
43,C547,0,1,measured
44,0CF1,0,1,measured
46,A782,0,1,measured
51,F534,0,1,measured
52,4844,0,1,measured
54,DAB0,0,1,measured
55,2325,0,1,measured
56,9B9A,0,1,measured
57,E4F0,0,1,measured
58,2F1F,0,1,measured
59,78CF,0,1,measured
64,37BF,0,1,measured
65,5373,0,1,measured
71,129D,0,1,measured
72,55FD,0,1,measured
73,CB14,0,1,measured
77,C7BB,0,1,measured
78,106C,0,1,measured
79,5A35,0,1,measured
80,9EC3,0,1,measured
84,C929,0,1,measured
85,10C0,0,1,measured
86,5C23,0,1,measured
87,A3AC,0,1,measured
88,ED91,0,1,measured
89,ED91,0,1,measured
90,36EC,0,1,measured
91,AB08,0,1,measured
93,1462,0,1,measured
94,5C07,0,1,measured
99,3DC0,0,1,measured
100,5D4D,0,1,measured
101,A937,0,1,measured
102,F063,0,1,measured
103,382E,0,1,measured
104,8234,0,1,measured
105,CBE8,0,1,measured
106,156A,0,1,measured
107,87AA,0,1,measured
108,A648,0,1,measured
109,F0AB,0,1,measured
114,145C,0,1,measured
115,5E3E,0,1,measured
116,A7C0,0,1,measured
117,1DD4,0,1,measured
118,3504,0,1,measured
119,7E7A,0,1,measured
120,C6FD,0,1,measured
121,5916,0,1,measured
122,A2C8,0,1,measured
123,EBAF,0,1,measured
127,FD05,0,1,measured
128,474A,0,1,measured
129,963C,0,1,measured
131,2779,0,1,measured
132,6FED,0,1,measured
133,B4D5,0,1,measured
134,02F3,0,1,measured
135,4B94,0,1,measured
136,94D6,0,1,measured
137,DE3E,0,1,measured
139,3824,0,1,measured
141,CA65,0,1,measured
142,702A,0,1,measured
145,3D26,0,1,measured
146,86B4,0,1,measured
147,D064,0,1,measured
148,1925,0,1,measured
149,6255,0,1,measured
151,ED15,0,1,measured
152,2B6D,0,1,measured
155,1BFE,0,1,measured
156,69AE,0,1,measured
162,1EE9,0,1,measured
163,4B7B,0,1,measured
164,94EF,0,1,measured
165,DDB4,0,1,measured
166,26D7,0,1,measured
169,0458,0,1,measured
170,491E,0,1,measured
176,E5D1,0,1,measured
177,135B,0,1,measured
178,5C5D,0,1,measured
183,1AF6,0,1,measured
184,647C,0,1,measured
185,A988,0,1,measured
187,593A,0,1,measured
190,1BB5,0,1,measured
191,6700,0,1,measured
192,AC60,0,1,measured
193,18FB,0,1,measured
195,8D25,0,1,measured
197,1F82,0,1,measured
198,692D,0,1,measured
199,B3A7,0,1,measured
204,0A43,0,1,measured
206,D72A,0,1,measured
207,088B,0,1,measured
208,520F,0,1,measured
211,2D4F,0,1,measured
212,7A67,0,1,measured
213,BDBC,0,1,measured
218,0A4F,0,1,measured
219,8D61,0,1,measured
220,B1E4,0,1,measured
221,FD0D,0,1,measured
222,4402,0,1,measured
