offset,seed,band,boots,how
6,09A4,0,1,measured
7,319F,0,1,measured
8,7B15,0,1,measured
9,C3DB,0,1,measured
10,0D20,0,1,measured
11,5664,0,1,measured
12,9FA4,0,1,measured
13,A0DB,0,1,measured
14,C301,0,1,measured
15,0A67,0,1,measured
16,0A67,0,1,measured
17,549D,0,1,measured
18,E687,0,1,measured
19,305E,0,1,measured
20,71E1,0,1,measured
21,C08F,0,1,measured
22,DFC3,0,1,measured
23,1DD9,0,1,measured
24,662D,0,1,measured
25,AF62,0,1,measured
26,F8A8,0,1,measured
27,41E8,0,1,measured
28,6AAA,0,1,measured
29,7DC0,0,1,measured
30,C706,0,1,measured
31,0F57,0,1,measured
32,589C,0,1,measured
33,A1E4,0,1,measured
34,EB24,0,1,measured
35,307F,0,1,measured
36,7DA4,0,1,measured
37,7DA4,0,1,measured
38,C6E4,0,1,measured
39,1020,0,1,measured
40,0E97,0,1,measured
41,3227,0,1,measured
42,7C77,0,1,measured
43,C43D,0,1,measured
44,0F92,0,1,measured
45,5588,0,1,measured
46,A662,0,1,measured
47,EC55,0,1,measured
48,356E,0,1,measured
49,76F3,0,1,measured
50,B544,0,1,measured
51,F543,0,1,measured
52,484E,0,1,measured
53,91FA,0,1,measured
54,DA29,0,1,measured
55,2339,0,1,measured
56,9B39,0,1,measured
57,E429,0,1,measured
58,3096,0,1,measured
59,7652,0,1,measured
60,BED3,0,1,measured
61,0699,0,1,measured
62,4FA6,0,1,measured
63,78AF,0,1,measured
64,37D8,0,1,measured
65,5387,0,1,measured
66,A2B1,0,1,measured
67,EA4D,0,1,measured
68,348E,0,1,measured
69,7C6B,0,1,measured
70,C671,0,1,measured
71,1035,0,1,measured
72,59C8,0,1,measured
73,CE2F,0,1,measured
74,ECE5,0,1,measured
75,3465,0,1,measured
76,7EA2,0,1,measured
77,C66E,0,1,measured
78,106C,0,1,measured
79,5A33,0,1,measured
80,9F12,0,1,measured
81,E93F,0,1,measured
82,5DF2,0,1,measured
83,7EC1,0,1,measured
84,C940,0,1,measured
85,10C2,0,1,measured
86,5B0E,0,1,measured
87,A3A9,0,1,measured
88,EFCD,0,1,measured
89,EFCD,0,1,measured
90,35AD,0,1,measured
91,AA99,0,1,measured
92,CA15,0,1,measured
93,1471,0,1,measured
94,5C0D,0,1,measured
95,E96C,0,1,measured
96,3831,0,1,measured
97,81FD,0,1,measured
98,CB79,0,1,measured
99,3DC2,0,1,measured
100,5D55,0,1,measured
101,A7AE,0,1,measured
102,EF57,0,1,measured
103,3AAD,0,1,measured
104,8237,0,1,measured
105,CC1F,0,1,measured
106,1577,0,1,measured
107,87A7,0,1,measured
108,A656,0,1,measured
109,F0A9,0,1,measured
110,3399,0,1,measured
111,3399,0,1,measured
112,828C,0,1,measured
113,CA6F,0,1,measured
114,146A,0,1,measured
115,5E48,0,1,measured
116,A7C4,0,1,measured
117,1C32,0,1,measured
118,3506,0,1,measured
119,8022,0,1,measured
120,C704,0,1,measured
121,5926,0,1,measured
122,A2CC,0,1,measured
123,EBBA,0,1,measured
124,342B,0,1,measured
125,7281,0,1,measured
126,B43D,0,1,measured
127,FD11,0,1,measured
128,4753,0,1,measured
129,9639,0,1,measured
130,D924,0,1,measured
131,26A8,0,1,measured
132,7088,0,1,measured
133,B524,0,1,measured
134,02FE,0,1,measured
135,4B9D,0,1,measured
136,94DB,0,1,measured
137,DE50,0,1,measured
138,0935,0,1,measured
139,3822,0,1,measured
140,770C,0,1,measured
141,CA67,0,1,measured
142,703F,0,1,measured
143,A92B,0,1,measured
144,F49A,0,1,measured
145,3D33,0,1,measured
146,867B,0,1,measured
147,CFDD,0,1,measured
148,1A0D,0,1,measured
149,625D,0,1,measured
150,AB8E,0,1,measured
151,ED1E,0,1,measured
152,2B6C,0,1,measured
153,7468,0,1,measured
154,F820,0,1,measured
155,1C0C,0,1,measured
156,69B7,0,1,measured
157,B36A,0,1,measured
158,FBDE,0,1,measured
159,454D,0,1,measured
160,8E8D,0,1,measured
161,D834,0,1,measured
162,1EF5,0,1,measured
163,4B7B,0,1,measured
164,94EE,0,1,measured
165,DDB6,0,1,measured
166,26EA,0,1,measured
167,A38C,0,1,measured
168,BB10,0,1,measured
169,046F,0,1,measured
170,4927,0,1,measured
171,9616,0,1,measured
172,DF06,0,1,measured
173,2844,0,1,measured
174,71F0,0,1,measured
175,BAD5,0,1,measured
176,E47C,0,1,measured
177,1476,0,1,measured
178,5CA9,0,1,measured
179,A52E,0,1,measured
180,57EF,0,1,measured
181,8902,0,1,measured
182,D232,0,1,measured
183,1B0C,0,1,measured
184,6487,0,1,measured
185,A98B,0,1,measured
186,F4C8,0,1,measured
187,594B,0,1,measured
188,89CF,0,1,measured
189,D2E5,0,1,measured
190,1BCC,0,1,measured
191,653B,0,1,measured
192,AEE1,0,1,measured
193,1B7E,0,1,measured
194,4071,0,1,measured
195,8DA2,0,1,measured
196,D94E,0,1,measured
197,1F7F,0,1,measured
198,68E4,0,1,measured
199,B614,0,1,measured
200,F009,0,1,measured
201,42A4,0,1,measured
202,835F,0,1,measured
203,C4DC,0,1,measured
204,0A50,0,1,measured
205,53A8,0,1,measured
206,D598,0,1,measured
207,088F,0,1,measured
208,53B8,0,1,measured
209,9D90,0,1,measured
210,E3ED,0,1,measured
211,2D5C,0,1,measured
212,7A79,0,1,measured
213,BDC9,0,1,measured
214,05E7,0,1,measured
215,2610,0,1,measured
216,7B8D,0,1,measured
217,C0FC,0,1,measured
218,0A5B,0,1,measured
219,8D74,0,1,measured
220,B1F4,0,1,measured
221,FB0B,0,1,measured
222,44BD,0,1,measured
223,8E30,0,1,measured
224,D617,0,1,measured
225,1FC0,0,1,measured
226,6896,0,1,measured
227,B119,0,1,measured
228,D82D,0,1,measured
229,1588,0,1,measured
230,5967,0,1,measured
231,A830,0,1,measured
232,F363,0,1,measured
233,3891,0,1,measured
234,814C,0,1,measured
235,CB1A,0,1,measured
236,13C4,0,1,measured
237,5D0B,0,1,measured
238,A725,0,1,measured
239,EF75,0,1,measured
240,38D8,0,1,measured
241,6431,0,1,measured
242,8E79,0,1,measured
243,D788,0,1,measured
244,A519,0,1,measured
245,B5DF,0,1,measured
246,03BC,0,1,measured
247,4D85,0,1,measured
248,9512,0,1,measured
249,DF09,0,1,measured
250,2793,0,1,measured
251,71EF,0,1,measured
252,BAA6,0,1,measured
253,FC18,0,1,measured
254,3A07,0,1,measured
255,82E8,0,1,measured
256,CC16,0,1,measured
257,624B,0,1,measured
258,9850,0,1,measured
259,E16C,0,1,measured
260,2695,0,1,measured
261,7455,0,1,measured
262,BC6C,0,1,measured
263,0669,0,1,measured
264,4EFA,0,1,measured
265,98E7,0,1,measured
266,98DF,0,1,measured
267,C526,0,1,measured
268,1DC5,0,1,measured
269,5C17,0,1,measured
270,A475,0,1,measured
271,18A8,0,1,measured
272,557A,0,1,measured
273,9D66,0,1,measured
274,E642,0,1,measured
275,2F79,0,1,measured
276,7444,0,1,measured
277,C295,0,1,measured
278,0B42,0,1,measured
279,5479,0,1,measured
280,9A0E,0,1,measured
281,E2A1,0,1,measured
282,294F,0,1,measured
283,DA0A,0,1,measured
284,039C,0,1,measured
285,4D1D,0,1,measured
286,959B,0,1,measured
287,DF19,0,1,measured
288,2850,0,1,measured
289,8AE3,0,1,measured
290,B672,0,1,measured
291,043A,0,1,measured
292,4DE6,0,1,measured
293,9671,0,1,measured
294,DFD8,0,1,measured
295,2910,0,1,measured
296,8F69,0,1,measured
297,BF75,0,1,measured
298,5D15,0,1,measured
299,A72B,0,1,measured
300,F08C,0,1,measured
301,396F,0,1,measured
302,74A3,0,1,measured
303,BCE9,0,1,measured
304,FA63,0,1,measured
305,FA63,0,1,measured
306,3CEF,0,1,measured
307,85BA,0,1,measured
308,CF00,0,1,measured
309,4EF1,0,1,measured
310,7AF2,0,1,measured
311,C3FC,0,1,measured
312,0CD0,0,1,measured
313,5830,0,1,measured
314,9D82,0,1,measured
315,FD04,0,1,measured
316,311B,0,1,measured
317,AE68,0,1,measured
318,F75F,0,1,measured
319,3BE0,0,1,measured
320,8949,0,1,measured
321,06C2,0,1,measured
322,29FC,0,1,measured
323,7305,0,1,measured
324,7305,0,1,measured
325,BC9D,0,1,measured
326,0547,0,1,measured
327,4DFB,0,1,measured
328,98B8,0,1,measured
329,E09D,0,1,measured
330,291C,0,1,measured
331,6C0F,0,1,measured
332,A90C,0,1,measured
333,F1FA,0,1,measured
334,3B28,0,1,measured
335,7FE2,0,1,measured
336,2297,0,1,measured
337,6C83,0,1,measured
338,B51E,0,1,measured
339,FE69,0,1,measured
340,3C65,0,1,measured
341,8515,0,1,measured
342,B112,0,1,measured
343,B112,0,1,measured
344,DE99,0,1,measured
345,271C,0,1,measured
346,6FC6,0,1,measured
347,2062,0,1,measured
348,51A2,0,1,measured
349,9E51,0,1,measured
350,DAB6,0,1,measured
351,340B,0,1,measured
352,79EB,0,1,measured
353,C357,0,1,measured
354,10E2,0,1,measured
355,A19E,0,1,measured
356,E161,0,1,measured
357,2849,0,1,measured
358,7173,0,1,measured
359,DCA8,0,1,measured
360,185F,0,1,measured
361,60D9,0,1,measured
362,60D9,0,1,measured
363,AD5D,0,1,measured
364,F361,0,1,measured
365,2F20,0,1,measured
366,85F1,0,1,measured
367,D362,0,1,measured
368,1906,0,1,measured
369,459A,0,1,measured
370,9268,0,1,measured
371,D803,0,1,measured
372,2178,0,1,measured
373,A28D,0,1,measured
374,219E,0,1,measured
375,6A02,0,1,measured
376,B327,0,1,measured
377,FC71,0,1,measured
378,1C05,0,1,measured
379,6029,0,1,measured
380,AD8C,0,1,measured
381,AD8C,0,1,measured
382,DD74,0,1,measured
383,0842,0,1,measured
384,5149,0,1,measured
385,9B2B,0,1,measured
386,4183,0,1,measured
387,7C86,0,1,measured
