offset,seed,band,boots,how
6,09A4,0,1,measured
7,3197,0,1,measured
8,7B16,0,1,measured
9,C3DC,0,1,measured
10,0D21,0,1,measured
11,565C,0,1,measured
12,9FA5,0,1,measured
13,A0D8,0,1,measured
14,C302,0,1,measured
15,0A5E,0,1,measured
16,0A5E,0,1,measured
17,549A,0,1,measured
18,E67F,0,1,measured
19,3064,0,1,measured
20,71DA,0,1,measured
21,C099,0,1,measured
22,DFC5,0,1,measured
23,1DD2,0,1,measured
24,6625,0,1,measured
25,AF65,0,1,measured
26,F8B2,0,1,measured
27,41F2,0,1,measured
28,6AB4,0,1,measured
29,7DC1,0,1,measured
30,C6FF,0,1,measured
31,0F58,0,1,measured
32,58A6,0,1,measured
33,A1E5,0,1,measured
34,EB25,0,1,measured
35,3081,0,1,measured
36,7D9C,0,1,measured
37,7D9C,0,1,measured
38,C6E5,0,1,measured
39,1021,0,1,measured
40,0E92,0,1,measured
41,3232,0,1,measured
42,7C78,0,1,measured
43,C432,0,1,measured
44,0F9B,0,1,measured
45,5589,0,1,measured
46,A669,0,1,measured
47,EC57,0,1,measured
48,3564,0,1,measured
49,76EB,0,1,measured
50,B53C,0,1,measured
51,F541,0,1,measured
52,4845,0,1,measured
53,9204,0,1,measured
54,DA33,0,1,measured
55,2338,0,1,measured
56,9B3A,0,1,measured
57,E429,0,1,measured
58,3098,0,1,measured
59,764B,0,1,measured
60,BED5,0,1,measured
61,0692,0,1,measured
62,4FA7,0,1,measured
63,78A5,0,1,measured
64,37D9,0,1,measured
65,537E,0,1,measured
66,A2B4,0,1,measured
67,EA44,0,1,measured
68,348E,0,1,measured
69,7C5B,0,1,measured
70,C672,0,1,measured
71,1037,0,1,measured
72,59BE,0,1,measured
73,CE30,0,1,measured
74,ECDB,0,1,measured
75,3468,0,1,measured
76,7E9E,0,1,measured
77,C657,0,1,measured
78,1075,0,1,measured
79,5A3C,0,1,measured
80,9F16,0,1,measured
81,E948,0,1,measured
82,5DEB,0,1,measured
83,7EC5,0,1,measured
84,C93F,0,1,measured
85,10CE,0,1,measured
86,5B0E,0,1,measured
87,A3A9,0,1,measured
88,EFCD,0,1,measured
89,EFCD,0,1,measured
90,35A8,0,1,measured
91,AAA1,0,1,measured
92,CA18,0,1,measured
93,1477,0,1,measured
94,5C17,0,1,measured
95,E96C,0,1,measured
96,3825,0,1,measured
97,81F5,0,1,measured
98,CB85,0,1,measured
99,3DCB,0,1,measured
100,5D58,0,1,measured
101,A7B8,0,1,measured
102,EF57,0,1,measured
103,3AAE,0,1,measured
104,8232,0,1,measured
105,CC1C,0,1,measured
106,1578,0,1,measured
107,87B1,0,1,measured
108,A654,0,1,measured
109,F0AE,0,1,measured
110,3397,0,1,measured
111,3397,0,1,measured
112,8281,0,1,measured
113,CA73,0,1,measured
114,145E,0,1,measured
115,5E3E,0,1,measured
116,A7C4,0,1,measured
117,1C34,0,1,measured
118,3506,0,1,measured
119,802B,0,1,measured
120,C706,0,1,measured
121,591F,0,1,measured
122,A2D7,0,1,measured
123,EBC4,0,1,measured
124,342C,0,1,measured
125,727B,0,1,measured
126,B436,0,1,measured
127,FD09,0,1,measured
128,4754,0,1,measured
129,963A,0,1,measured
130,D925,0,1,measured
131,26A0,0,1,measured
132,7080,0,1,measured
133,B527,0,1,measured
134,0307,0,1,measured
135,4B95,0,1,measured
136,94DE,0,1,measured
137,DE4A,0,1,measured
138,092E,0,1,measured
139,3823,0,1,measured
140,7704,0,1,measured
141,CA70,0,1,measured
142,703E,0,1,measured
143,A921,0,1,measured
144,F4A4,0,1,measured
145,3D34,0,1,measured
146,8675,0,1,measured
147,CFD7,0,1,measured
148,1A05,0,1,measured
149,625F,0,1,measured
150,AB89,0,1,measured
151,ED19,0,1,measured
152,2B78,0,1,measured
153,7468,0,1,measured
154,F814,0,1,measured
155,1C0D,0,1,measured
156,69C3,0,1,measured
157,B364,0,1,measured
158,FBDF,0,1,measured
159,4545,0,1,measured
160,8E85,0,1,measured
161,D82C,0,1,measured
162,1EED,0,1,measured
163,4B7D,0,1,measured
164,94E8,0,1,measured
165,DDBF,0,1,measured
166,26EA,0,1,measured
167,A38A,0,1,measured
168,BB14,0,1,measured
169,0467,0,1,measured
170,4920,0,1,measured
171,9620,0,1,measured
172,DEFE,0,1,measured
173,2841,0,1,measured
174,71F1,0,1,measured
175,BAD6,0,1,measured
176,E485,0,1,measured
177,1480,0,1,measured
178,5CB4,0,1,measured
179,A531,0,1,measured
180,57FF,0,1,measured
181,890F,0,1,measured
182,D22F,0,1,measured
183,1B0B,0,1,measured
184,6485,0,1,measured
185,A983,0,1,measured
186,F4C9,0,1,measured
187,594F,0,1,measured
188,89D9,0,1,measured
189,D2F0,0,1,measured
190,1BCC,0,1,measured
191,653E,0,1,measured
192,AED8,0,1,measured
193,1B86,0,1,measured
194,4074,0,1,measured
195,8DAC,0,1,measured
196,D950,0,1,measured
197,1F88,0,1,measured
198,68E1,0,1,measured
199,B614,0,1,measured
200,F00D,0,1,measured
201,429F,0,1,measured
202,835C,0,1,measured
203,C4DA,0,1,measured
204,0A47,0,1,measured
205,53B2,0,1,measured
206,D596,0,1,measured
207,0899,0,1,measured
208,53B0,0,1,measured
209,9D90,0,1,measured
210,E3E6,0,1,measured
211,2D5D,0,1,measured
212,7A7A,0,1,measured
213,BDCB,0,1,measured
214,05E9,0,1,measured
215,260A,0,1,measured
216,7B8E,0,1,measured
217,C106,0,1,measured
218,0A66,0,1,measured
219,8D6F,0,1,measured
220,B1F3,0,1,measured
221,FB16,0,1,measured
222,44BA,0,1,measured
223,8E3B,0,1,measured
224,D615,0,1,measured
225,1FC1,0,1,measured
226,6896,0,1,measured
227,B112,0,1,measured
228,D82F,0,1,measured
229,1580,0,1,measured
230,5972,0,1,measured
231,A828,0,1,measured
232,F35D,0,1,measured
233,3886,0,1,measured
234,8144,0,1,measured
235,CB1C,0,1,measured
236,13C5,0,1,measured
237,5D02,0,1,measured
238,A726,0,1,measured
239,EF7E,0,1,measured
240,38D9,0,1,measured
241,6432,0,1,measured
242,8E7B,0,1,measured
243,D781,0,1,measured
244,A51C,0,1,measured
245,B5D8,0,1,measured
246,03C7,0,1,measured
247,4D7D,0,1,measured
248,950B,0,1,measured
249,DF0A,0,1,measured
250,2794,0,1,measured
251,71E6,0,1,measured
252,BAA7,0,1,measured
253,FC10,0,1,measured
254,3A11,0,1,measured
255,82E0,0,1,measured
256,CC10,0,1,measured
257,6254,0,1,measured
258,9848,0,1,measured
259,E16F,0,1,measured
260,2692,0,1,measured
261,744F,0,1,measured
262,BC78,0,1,measured
263,0672,0,1,measured
264,4EF0,0,1,measured
265,98E9,0,1,measured
266,98E9,0,1,measured
267,C51E,0,1,measured
268,1DC8,0,1,measured
269,5C0F,0,1,measured
270,A476,0,1,measured
271,18AB,0,1,measured
272,5583,0,1,measured
273,9D5F,0,1,measured
274,E642,0,1,measured
275,2F7B,0,1,measured
276,743E,0,1,measured
277,C295,0,1,measured
278,0B3A,0,1,measured
279,547C,0,1,measured
280,9A19,0,1,measured
281,E2A3,0,1,measured
282,2947,0,1,measured
283,DA14,0,1,measured
284,03A5,0,1,measured
285,4D20,0,1,measured
286,9594,0,1,measured
287,DF13,0,1,measured
288,2851,0,1,measured
289,8AE5,0,1,measured
290,B67A,0,1,measured
291,0430,0,1,measured
292,4DE8,0,1,measured
293,9666,0,1,measured
294,DFD1,0,1,measured
295,291A,0,1,measured
296,8F64,0,1,measured
297,BF70,0,1,measured
298,5D1E,0,1,measured
299,A733,0,1,measured
300,F082,0,1,measured
301,3978,0,1,measured
302,749A,0,1,measured
303,BCEE,0,1,measured
304,FA5A,0,1,measured
305,FA5A,0,1,measured
306,3CF1,0,1,measured
307,85B3,0,1,measured
308,CEF7,0,1,measured
309,4EEF,0,1,measured
310,7AF3,0,1,measured
311,C406,0,1,measured
312,0CC8,0,1,measured
313,5833,0,1,measured
314,9D8E,0,1,measured
315,FCFC,0,1,measured
316,3122,0,1,measured
317,AE69,0,1,measured
318,F760,0,1,measured
319,3BE2,0,1,measured
320,8953,0,1,measured
321,06BA,0,1,measured
322,29F6,0,1,measured
323,7307,0,1,measured
324,7307,0,1,measured
325,BC9C,0,1,measured
326,0549,0,1,measured
327,4DFD,0,1,measured
328,98B9,0,1,measured
329,E09E,0,1,measured
330,2914,0,1,measured
331,6C10,0,1,measured
332,A90D,0,1,measured
333,F1FC,0,1,measured
334,3B31,0,1,measured
335,7FED,0,1,measured
336,2296,0,1,measured
337,6C83,0,1,measured
338,B517,0,1,measured
339,FE74,0,1,measured
340,3C67,0,1,measured
341,850C,0,1,measured
342,B10C,0,1,measured
343,B10C,0,1,measured
344,DE92,0,1,measured
345,271C,0,1,measured
346,6FC7,0,1,measured
347,2068,0,1,measured
348,51AB,0,1,measured
349,9E4C,0,1,measured
350,DAB8,0,1,measured
351,340B,0,1,measured
352,79ED,0,1,measured
353,C358,0,1,measured
354,10DB,0,1,measured
355,A197,0,1,measured
356,E16C,0,1,measured
357,2855,0,1,measured
358,7176,0,1,measured
359,DC9D,0,1,measured
360,186A,0,1,measured
361,60D1,0,1,measured
362,60D1,0,1,measured
363,AD53,0,1,measured
364,F363,0,1,measured
365,2F18,0,1,measured
366,85F2,0,1,measured
367,D36A,0,1,measured
368,1910,0,1,measured
369,459B,0,1,measured
370,9260,0,1,measured
371,D803,0,1,measured
372,2178,0,1,measured
373,A290,0,1,measured
374,21A9,0,1,measured
375,69FA,0,1,measured
376,B32A,0,1,measured
377,FC69,0,1,measured
378,1C05,0,1,measured
379,602A,0,1,measured
380,AD8D,0,1,measured
381,AD8D,0,1,measured
382,DD80,0,1,measured
383,083E,0,1,measured
384,513F,0,1,measured
385,9B35,0,1,measured
386,4184,0,1,measured
387,7C89,0,1,measured
388,C674,0,1,measured
389,0EE6,0,1,measured
390,581D,0,1,measured
391,A1EF,0,1,measured
392,FAC0,0,1,measured
393,895D,0,1,measured
394,CE8E,0,1,measured
395,1BF2,0,1,measured
396,651A,0,1,measured
397,A2A1,0,1,measured
398,0106,0,1,measured
399,3824,0,1,measured
400,3824,0,1,measured
401,81C8,0,1,measured
402,CA8C,0,1,measured
403,1405,0,1,measured
404,5D8C,0,1,measured
405,A645,0,1,measured
406,EF86,0,1,measured
407,38B7,0,1,measured
408,7A76,0,1,measured
409,B8B4,0,1,measured
410,F84B,0,1,measured
411,4B48,0,1,measured
412,0418,0,1,measured
413,4D3C,0,1,measured
414,9658,0,1,measured
415,DFA3,0,1,measured
416,1DC4,0,1,measured
417,747A,0,1,measured
418,B18E,0,1,measured
419,B18E,0,1,measured
420,FAAE,0,1,measured
421,2374,0,1,measured
422,6CE7,0,1,measured
423,B5AE,0,1,measured
424,320D,0,1,measured
425,4F8D,0,1,measured
426,9D28,0,1,measured
427,E6DF,0,1,measured
428,2F53,0,1,measured
429,783F,0,1,measured
430,C17A,0,1,measured
431,604C,0,1,measured
432,A262,0,1,measured
433,DF1D,0,1,measured
434,27E3,0,1,measured
435,6558,0,1,measured
436,AEB0,0,1,measured
437,F7D3,0,1,measured
438,F7D3,0,1,measured
439,4117,0,1,measured
440,8671,0,1,measured
441,D39A,0,1,measured
442,1CD4,0,1,measured
443,6693,0,1,measured
444,AF4C,0,1,measured
445,F8A9,0,1,measured
446,25FE,0,1,measured
447,556B,0,1,measured
448,9EA8,0,1,measured
449,E746,0,1,measured
450,D4C5,0,1,measured
451,2103,0,1,measured
452,6BBC,0,1,measured
453,B17C,0,1,measured
454,E488,0,1,measured
455,3BE6,0,1,measured
456,88C9,0,1,measured
457,88C9,0,1,measured
458,CE02,0,1,measured
459,0F95,0,1,measured
460,5103,0,1,measured
461,9683,0,1,measured
462,DFF8,0,1,measured
463,5142,0,1,measured
464,87D2,0,1,measured
465,CFF2,0,1,measured
466,28F7,0,1,measured
467,63E3,0,1,measured
468,AE29,0,1,measured
469,436C,0,1,measured
470,9493,0,1,measured
