offset,seed,band,boots,how
7,3197,0,1,measured
9,C3DC,0,1,measured
11,565C,0,1,measured
13,A0D8,0,1,measured
14,C302,0,1,measured
18,E67F,0,1,measured
22,DFC5,0,1,measured
23,1DD2,0,1,measured
25,AF65,0,1,measured
30,C6FF,0,1,measured
32,58A6,0,1,measured
40,0E92,0,1,measured
41,3232,0,1,measured
44,0F9B,0,1,measured
46,A669,0,1,measured
48,3564,0,1,measured
50,B53C,0,1,measured
51,F541,0,1,measured
52,4845,0,1,measured
54,DA33,0,1,measured
55,2338,0,1,measured
56,9B3A,0,1,measured
58,3098,0,1,measured
59,764B,0,1,measured
60,BED5,0,1,measured
61,0692,0,1,measured
62,4FA7,0,1,measured
63,78A5,0,1,measured
64,37D9,0,1,measured
66,A2B4,0,1,measured
67,EA44,0,1,measured
69,7C5B,0,1,measured
71,1037,0,1,measured
72,59BE,0,1,measured
73,CE30,0,1,measured
77,C657,0,1,measured
80,9F16,0,1,measured
83,7EC5,0,1,measured
85,10CE,0,1,measured
87,A3A9,0,1,measured
88,EFCD,0,1,measured
89,EFCD,0,1,measured
90,35A8,0,1,measured
93,1477,0,1,measured
97,81F5,0,1,measured
98,CB85,0,1,measured
99,3DCB,0,1,measured
101,A7B8,0,1,measured
108,A654,0,1,measured
109,F0AE,0,1,measured
113,CA73,0,1,measured
115,5E3E,0,1,measured
120,C706,0,1,measured
122,A2D7,0,1,measured
123,EBC4,0,1,measured
130,D925,0,1,measured
134,0307,0,1,measured
136,94DE,0,1,measured
137,DE4A,0,1,measured
142,703E,0,1,measured
144,F4A4,0,1,measured
146,8675,0,1,measured
152,2B78,0,1,measured
156,69C3,0,1,measured
158,FBDF,0,1,measured
159,4545,0,1,measured
164,94E8,0,1,measured
165,DDBF,0,1,measured
166,26EA,0,1,measured
167,A38A,0,1,measured
168,BB14,0,1,measured
169,0467,0,1,measured
173,2841,0,1,measured
176,E485,0,1,measured
179,A531,0,1,measured
180,57FF,0,1,measured
182,D22F,0,1,measured
183,1B0B,0,1,measured
184,6485,0,1,measured
185,A983,0,1,measured
187,594F,0,1,measured
190,1BCC,0,1,measured
193,1B86,0,1,measured
194,4074,0,1,measured
196,D950,0,1,measured
197,1F88,0,1,measured
200,F00D,0,1,measured
201,429F,0,1,measured
202,835C,0,1,measured
206,D596,0,1,measured
207,0899,0,1,measured
208,53B0,0,1,measured
210,E3E6,0,1,measured
212,7A7A,0,1,measured
213,BDCB,0,1,measured
214,05E9,0,1,measured
216,7B8E,0,1,measured
217,C106,0,1,measured
220,B1F3,0,1,measured
221,FB16,0,1,measured
222,44BA,0,1,measured
228,D82F,0,1,measured
232,F35D,0,1,measured
235,CB1C,0,1,measured
240,38D9,0,1,measured
241,6432,0,1,measured
242,8E7B,0,1,measured
244,A51C,0,1,measured
245,B5D8,0,1,measured
248,950B,0,1,measured
249,DF0A,0,1,measured
251,71E6,0,1,measured
252,BAA7,0,1,measured
