offset,seed,band,boots,how
6,09A3,0,1,measured
7,319E,0,1,measured
8,7B14,0,1,measured
9,C3DA,0,1,measured
10,0D1F,0,1,measured
11,5663,0,1,measured
12,9FA3,0,1,measured
13,A0DA,0,1,measured
14,C300,0,1,measured
15,0A66,0,1,measured
16,0A66,0,1,measured
17,549C,0,1,measured
18,E686,0,1,measured
19,305D,0,1,measured
20,71E0,0,1,measured
21,C08E,0,1,measured
22,DFC2,0,1,measured
23,1DD8,0,1,measured
24,662C,0,1,measured
25,AF61,0,1,measured
26,F8A7,0,1,measured
27,41E7,0,1,measured
28,6AA9,0,1,measured
29,7DBF,0,1,measured
30,C705,0,1,measured
31,0F56,0,1,measured
32,589B,0,1,measured
33,A1E3,0,1,measured
34,EB23,0,1,measured
35,307E,0,1,measured
36,7DA3,0,1,measured
37,7DA3,0,1,measured
38,C6E3,0,1,measured
39,101F,0,1,measured
40,0E96,0,1,measured
41,3226,0,1,measured
42,7C76,0,1,measured
43,C43C,0,1,measured
44,0F91,0,1,measured
45,5587,0,1,measured
46,A661,0,1,measured
47,EC54,0,1,measured
48,356D,0,1,measured
49,76F2,0,1,measured
50,B543,0,1,measured
51,F542,0,1,measured
52,484D,0,1,measured
53,91F9,0,1,measured
54,DA28,0,1,measured
55,2338,0,1,measured
56,9B38,0,1,measured
57,E428,0,1,measured
58,3095,0,1,measured
59,7651,0,1,measured
60,BED2,0,1,measured
61,0698,0,1,measured
62,4FA5,0,1,measured
63,78AE,0,1,measured
64,37D7,0,1,measured
65,5386,0,1,measured
66,A2B0,0,1,measured
67,EA4C,0,1,measured
68,348D,0,1,measured
69,7C6A,0,1,measured
70,C670,0,1,measured
71,1034,0,1,measured
72,59C7,0,1,measured
73,CE2E,0,1,measured
74,ECE4,0,1,measured
75,3464,0,1,measured
76,7EA1,0,1,measured
77,C66D,0,1,measured
78,106B,0,1,measured
79,5A32,0,1,measured
80,9F11,0,1,measured
81,E93E,0,1,measured
82,5DF1,0,1,measured
83,7EC0,0,1,measured
84,C93F,0,1,measured
85,10C1,0,1,measured
86,5B0D,0,1,measured
87,A3A8,0,1,measured
88,EFCC,0,1,measured
89,EFCC,0,1,measured
90,35AC,0,1,measured
91,AA98,0,1,measured
92,CA14,0,1,measured
93,1470,0,1,measured
94,5C0C,0,1,measured
95,E96B,0,1,measured
96,3830,0,1,measured
97,81FC,0,1,measured
98,CB78,0,1,measured
99,3DC1,0,1,measured
100,5D54,0,1,measured
101,A7AD,0,1,measured
102,EF56,0,1,measured
103,3AAC,0,1,measured
104,8236,0,1,measured
105,CC1E,0,1,measured
106,1576,0,1,measured
107,87A6,0,1,measured
108,A655,0,1,measured
109,F0A8,0,1,measured
110,3398,0,1,measured
111,3398,0,1,measured
112,828B,0,1,measured
113,CA6E,0,1,measured
114,1469,0,1,measured
115,5E47,0,1,measured
116,A7C3,0,1,measured
117,1C31,0,1,measured
118,3505,0,1,measured
119,8021,0,1,measured
120,C703,0,1,measured
121,5925,0,1,measured
122,A2CB,0,1,measured
123,EBB9,0,1,measured
124,342A,0,1,measured
125,7280,0,1,measured
126,B43C,0,1,measured
127,FD10,0,1,measured
128,4752,0,1,measured
129,9638,0,1,measured
130,D923,0,1,measured
131,26A7,0,1,measured
132,7087,0,1,measured
133,B523,0,1,measured
134,02FD,0,1,measured
135,4B9C,0,1,measured
136,94DA,0,1,measured
137,DE4F,0,1,measured
138,0934,0,1,measured
139,3821,0,1,measured
140,770B,0,1,measured
141,CA66,0,1,measured
142,703E,0,1,measured
143,A92A,0,1,measured
144,F499,0,1,measured
145,3D32,0,1,measured
146,867A,0,1,measured
147,CFDC,0,1,measured
148,1A0C,0,1,measured
149,625C,0,1,measured
150,AB8D,0,1,measured
151,ED1D,0,1,measured
152,2B6B,0,1,measured
153,7467,0,1,measured
154,F81F,0,1,measured
155,1C0B,0,1,measured
156,69B6,0,1,measured
157,B369,0,1,measured
158,FBDD,0,1,measured
159,454C,0,1,measured
160,8E8C,0,1,measured
161,D833,0,1,measured
162,1EF4,0,1,measured
163,4B7A,0,1,measured
164,94ED,0,1,measured
165,DDB5,0,1,measured
166,26E9,0,1,measured
167,A38B,0,1,measured
168,BB0F,0,1,measured
169,046E,0,1,measured
170,4926,0,1,measured
171,9615,0,1,measured
172,DF05,0,1,measured
173,2843,0,1,measured
174,71EF,0,1,measured
175,BAD4,0,1,measured
176,E47B,0,1,measured
177,1475,0,1,measured
178,5CA8,0,1,measured
179,A52D,0,1,measured
180,57EE,0,1,measured
181,8901,0,1,measured
182,D231,0,1,measured
183,1B0B,0,1,measured
184,6486,0,1,measured
185,A98A,0,1,measured
186,F4C7,0,1,measured
187,594A,0,1,measured
188,89CE,0,1,measured
189,D2E4,0,1,measured
190,1BCB,0,1,measured
191,653A,0,1,measured
192,AEE0,0,1,measured
193,1B7D,0,1,measured
194,4070,0,1,measured
195,8DA1,0,1,measured
196,D94D,0,1,measured
197,1F7E,0,1,measured
198,68E3,0,1,measured
199,B613,0,1,measured
200,F008,0,1,measured
201,42A3,0,1,measured
202,835E,0,1,measured
203,C4DB,0,1,measured
204,0A4F,0,1,measured
205,53A7,0,1,measured
206,D597,0,1,measured
207,088E,0,1,measured
208,53B7,0,1,measured
209,9D8F,0,1,measured
210,E3EC,0,1,measured
211,2D5B,0,1,measured
212,7A78,0,1,measured
213,BDC8,0,1,measured
214,05E6,0,1,measured
215,260F,0,1,measured
216,7B8C,0,1,measured
217,C0FB,0,1,measured
218,0A5A,0,1,measured
219,8D73,0,1,measured
220,B1F3,0,1,measured
221,FB0A,0,1,measured
222,44BC,0,1,measured
223,8E2F,0,1,measured
224,D616,0,1,measured
225,1FBF,0,1,measured
226,6895,0,1,measured
227,B118,0,1,measured
228,D82C,0,1,measured
229,1587,0,1,measured
230,5966,0,1,measured
231,A82F,0,1,measured
232,F362,0,1,measured
233,3890,0,1,measured
234,814B,0,1,measured
235,CB19,0,1,measured
236,13C3,0,1,measured
237,5D0A,0,1,measured
238,A724,0,1,measured
239,EF74,0,1,measured
240,38D7,0,1,measured
241,6430,0,1,measured
242,8E78,0,1,measured
243,D787,0,1,measured
244,A518,0,1,measured
245,B5DE,0,1,measured
246,03BB,0,1,measured
247,4D84,0,1,measured
248,9511,0,1,measured
249,DF08,0,1,measured
250,2792,0,1,measured
251,71EE,0,1,measured
252,BAA5,0,1,measured
253,FC17,0,1,measured
254,3A06,0,1,measured
255,82E7,0,1,measured
256,CC15,0,1,measured
257,624A,0,1,measured
258,984F,0,1,measured
259,E16B,0,1,measured
260,2694,0,1,measured
261,7454,0,1,measured
262,BC6B,0,1,measured
263,0668,0,1,measured
264,4EF9,0,1,measured
265,98E6,0,1,measured
266,98DE,0,1,measured
267,C525,0,1,measured
268,1DC3,0,1,measured
269,5C15,0,1,measured
270,A473,0,1,measured
271,18AE,0,1,measured
272,5578,0,1,measured
273,9D5C,0,1,measured
274,E63E,0,1,measured
275,2F77,0,1,measured
276,7442,0,1,measured
277,C293,0,1,measured
278,0B40,0,1,measured
279,5477,0,1,measured
280,9A0C,0,1,measured
281,E2A8,0,1,measured
282,294D,0,1,measured
283,DA08,0,1,measured
284,039B,0,1,measured
285,4D24,0,1,measured
286,9599,0,1,measured
287,DF17,0,1,measured
288,284E,0,1,measured
289,8AE1,0,1,measured
290,B670,0,1,measured
291,0438,0,1,measured
292,4DEC,0,1,measured
293,9672,0,1,measured
294,DFD6,0,1,measured
295,290E,0,1,measured
296,8F67,0,1,measured
297,BF73,0,1,measured
298,5D19,0,1,measured
299,A729,0,1,measured
300,F08B,0,1,measured
301,396D,0,1,measured
302,74A2,0,1,measured
303,BCE9,0,1,measured
305,FA5E,0,1,measured
306,3CED,0,1,measured
307,85B8,0,1,measured
308,CEFE,0,1,measured
309,4EEF,0,1,measured
310,7AE6,0,1,measured
311,C403,0,1,measured
312,0CCE,0,1,measured
313,582E,0,1,measured
314,9D8F,0,1,measured
315,FD01,0,1,measured
316,3119,0,1,measured
317,AE66,0,1,measured
318,F75C,0,1,measured
319,3BDE,0,1,measured
320,8947,0,1,measured
321,06C0,0,1,measured
322,29FA,0,1,measured
324,72FA,0,1,measured
325,BC9A,0,1,measured
326,0547,0,1,measured
327,4DF9,0,1,measured
328,98C0,0,1,measured
329,E09B,0,1,measured
330,291A,0,1,measured
331,6C0D,0,1,measured
332,A901,0,1,measured
333,F1F0,0,1,measured
334,3B26,0,1,measured
335,7FE0,0,1,measured
336,2295,0,1,measured
337,6C81,0,1,measured
338,B513,0,1,measured
339,FE72,0,1,measured
340,3C63,0,1,measured
341,8513,0,1,measured
343,B110,0,1,measured
344,DE89,0,1,measured
345,2711,0,1,measured
346,6FBA,0,1,measured
347,206C,0,1,measured
348,51A9,0,1,measured
349,9E44,0,1,measured
350,DAB4,0,1,measured
351,3407,0,1,measured
352,79F2,0,1,measured
353,C356,0,1,measured
354,10E0,0,1,measured
355,A19C,0,1,measured
356,E168,0,1,measured
357,2851,0,1,measured
358,7171,0,1,measured
359,DCA6,0,1,measured
360,185D,0,1,measured
362,60D7,0,1,measured
363,AD5B,0,1,measured
364,F35F,0,1,measured
365,2F1D,0,1,measured
366,85EF,0,1,measured
367,D360,0,1,measured
368,1904,0,1,measured
369,4598,0,1,measured
370,925E,0,1,measured
371,D801,0,1,measured
372,2176,0,1,measured
373,A28B,0,1,measured
374,219C,0,1,measured
375,69F7,0,1,measured
376,B32E,0,1,measured
377,FC6F,0,1,measured
378,1BFA,0,1,measured
379,601D,0,1,measured
381,AD8A,0,1,measured
382,DD7C,0,1,measured
383,0841,0,1,measured
384,5147,0,1,measured
385,9B29,0,1,measured
386,417F,0,1,measured
387,7C84,0,1,measured
388,C679,0,1,measured
389,0EED,0,1,measured
390,5812,0,1,measured
391,A1F5,0,1,measured
392,FAB4,0,1,measured
393,895A,0,1,measured
394,CE89,0,1,measured
395,1BED,0,1,measured
396,651F,0,1,measured
397,A2A6,0,1,measured
398,010C,0,1,measured
400,3827,0,1,measured
401,81C3,0,1,measured
402,CA80,0,1,measured
403,140B,0,1,measured
404,5D8B,0,1,measured
405,A64A,0,1,measured
406,EF7B,0,1,measured
407,38BD,0,1,measured
408,7A6C,0,1,measured
409,B8B2,0,1,measured
410,F851,0,1,measured
411,4B42,0,1,measured
412,0414,0,1,measured
413,4D42,0,1,measured
414,965F,0,1,measured
415,DFA4,0,1,measured
416,1DCA,0,1,measured
417,7477,0,1,measured
419,B18C,0,1,measured
420,FAB7,0,1,measured
421,2368,0,1,measured
422,6CEC,0,1,measured
423,B5AD,0,1,measured
424,3211,0,1,measured
425,4F92,0,1,measured
426,9D27,0,1,measured
427,E6E5,0,1,measured
428,2F50,0,1,measured
429,7844,0,1,measured
430,C17F,0,1,measured
431,6052,0,1,measured
432,A25F,0,1,measured
433,DF1B,0,1,measured
434,27E6,0,1,measured
435,6555,0,1,measured
436,AEAD,0,1,measured
438,F7C6,0,1,measured
439,4115,0,1,measured
440,8676,0,1,measured
441,D397,0,1,measured
442,1CD1,0,1,measured
443,6687,0,1,measured
444,AF48,0,1,measured
445,F8A4,0,1,measured
446,2601,0,1,measured
447,5571,0,1,measured
448,9EA5,0,1,measured
449,E73A,0,1,measured
450,D4C3,0,1,measured
451,20F9,0,1,measured
452,6BC3,0,1,measured
453,B177,0,1,measured
454,E486,0,1,measured
455,3BE8,0,1,measured
457,88C7,0,1,measured
458,CE00,0,1,measured
459,0F91,0,1,measured
460,5100,0,1,measured
461,9681,0,1,measured
462,DFF5,0,1,measured
463,5146,0,1,measured
464,87D7,0,1,measured
465,CFE6,0,1,measured
466,28EC,0,1,measured
467,63E1,0,1,measured
468,AE26,0,1,measured
469,4362,0,1,measured
470,948F,0,1,measured
471,C1CC,0,1,measured
472,1587,0,1,measured
473,4A58,0,1,measured
474,9495,0,1,measured
476,EF17,0,1,measured
477,21E5,0,1,measured
478,6D29,0,1,measured
479,B40F,0,1,measured
480,FD00,0,1,measured
481,4646,0,1,measured
482,8FDD,0,1,measured
483,D8BA,0,1,measured
484,2142,0,1,measured
485,4B69,0,1,measured
486,42F6,0,1,measured
487,8C62,0,1,measured
488,C86C,0,1,measured
489,FE3E,0,1,measured
490,4751,0,1,measured
491,913B,0,1,measured
492,D9BF,0,1,measured
493,1816,0,1,measured
495,7C82,0,1,measured
496,AA8F,0,1,measured
497,F334,0,1,measured
498,3C8F,0,1,measured
499,8619,0,1,measured
500,CA5C,0,1,measured
501,175A,0,1,measured
502,7B00,0,1,measured
503,A7D5,0,1,measured
504,F0D0,0,1,measured
505,3B41,0,1,measured
506,834C,0,1,measured
507,22FA,0,1,measured
508,6B59,0,1,measured
509,BD0B,0,1,measured
510,DBD3,0,1,measured
511,0E0B,0,1,measured
512,56DB,0,1,measured
514,E8FB,0,1,measured
515,1385,0,1,measured
516,611D,0,1,measured
517,AABA,0,1,measured
518,F3C1,0,1,measured
519,3C17,0,1,measured
520,865B,0,1,measured
521,E9EF,0,1,measured
522,1821,0,1,measured
523,628B,0,1,measured
524,AA7F,0,1,measured
525,F396,0,1,measured
526,BBB5,0,1,measured
527,E154,0,1,measured
528,2A4D,0,1,measured
529,6F41,0,1,measured
530,B057,0,1,measured
531,F91A,0,1,measured
533,4270,0,1,measured
534,8C2C,0,1,measured
535,D4EA,0,1,measured
536,1600,0,1,measured
537,5545,0,1,measured
538,9D43,0,1,measured
539,E624,0,1,measured
540,2F8B,0,1,measured
541,78C5,0,1,measured
542,C1EA,0,1,measured
543,0BCC,0,1,measured
544,5466,0,1,measured
545,F342,0,1,measured
546,3BF9,0,1,measured
547,853E,0,1,measured
548,ADFB,0,1,measured
549,D1BC,0,1,measured
550,1AC5,0,1,measured
552,6308,0,1,measured
553,0FE1,0,1,measured
554,4599,0,1,measured
555,9118,0,1,measured
556,D9AC,0,1,measured
557,230C,0,1,measured
558,6C5E,0,1,measured
559,B641,0,1,measured
560,F3FE,0,1,measured
561,481D,0,1,measured
562,89C9,0,1,measured
563,C7D1,0,1,measured
564,642B,0,1,measured
565,DD06,0,1,measured
566,0B24,0,1,measured
567,562C,0,1,measured
568,90BF,0,1,measured
569,DA47,0,1,measured
571,237F,0,1,measured
572,6D17,0,1,measured
573,B3FF,0,1,measured
574,FC4D,0,1,measured
575,2713,0,1,measured
576,74FC,0,1,measured
577,BDBC,0,1,measured
578,06E8,0,1,measured
579,8824,0,1,measured
580,BE82,0,1,measured
581,07A4,0,1,measured
582,5157,0,1,measured
583,EEF7,0,1,measured
584,37B1,0,1,measured
585,634E,0,1,measured
586,AB6F,0,1,measured
587,CC17,0,1,measured
588,FAB9,0,1,measured
590,3F3F,0,1,measured
591,8D1E,0,1,measured
592,4529,0,1,measured
593,6F09,0,1,measured
594,B813,0,1,measured
595,00EE,0,1,measured
596,4A64,0,1,measured
597,9403,0,1,measured
598,FE14,0,1,measured
599,2682,0,1,measured
600,7011,0,1,measured
601,B868,0,1,measured
602,576C,0,1,measured
603,BB47,0,1,measured
604,E320,0,1,measured
605,3103,0,1,measured
606,7043,0,1,measured
607,BA53,0,1,measured
609,021F,0,1,measured
610,4B69,0,1,measured
611,96E7,0,1,measured
612,DBE0,0,1,measured
613,1CAA,0,1,measured
614,3E60,0,1,measured
615,85A9,0,1,measured
616,CE8D,0,1,measured
617,71A8,0,1,measured
618,A186,0,1,measured
619,EA9C,0,1,measured
620,2D84,0,1,measured
621,D204,0,1,measured
622,1B2F,0,1,measured
623,6571,0,1,measured
624,AA1B,0,1,measured
625,C86B,0,1,measured
626,F3E0,0,1,measured
628,3B2F,0,1,measured
629,841B,0,1,measured
630,1DEC,0,1,measured
631,4517,0,1,measured
632,8E3B,0,1,measured
633,D7C9,0,1,measured
634,205E,0,1,measured
635,64A1,0,1,measured
636,B27F,0,1,measured
637,FC17,0,1,measured
638,450B,0,1,measured
639,4F4A,0,1,measured
640,E099,0,1,measured
641,29E8,0,1,measured
642,9756,0,1,measured
643,DCD3,0,1,measured
644,1AC5,0,1,measured
645,64A5,0,1,measured
647,AD47,0,1,measured
648,F683,0,1,measured
649,405F,0,1,measured
650,84AD,0,1,measured
651,D24D,0,1,measured
652,E0B6,0,1,measured
653,0C3D,0,1,measured
654,54CD,0,1,measured
655,9D17,0,1,measured
656,4106,0,1,measured
657,7970,0,1,measured
658,C574,0,1,measured
659,603B,0,1,measured
660,AB27,0,1,measured
661,F4F3,0,1,measured
662,3D97,0,1,measured
663,7C26,0,1,measured
664,B72D,0,1,measured
666,FC12,0,1,measured
667,44E2,0,1,measured
668,8E1F,0,1,measured
669,205A,0,1,measured
670,5C45,0,1,measured
671,A4F4,0,1,measured
672,EE94,0,1,measured
673,37B3,0,1,measured
674,7FFC,0,1,measured
675,CA51,0,1,measured
676,130D,0,1,measured
677,5C17,0,1,measured
678,E295,0,1,measured
679,24B8,0,1,measured
680,743D,0,1,measured
681,1080,0,1,measured
682,3BEA,0,1,measured
683,8527,0,1,measured
685,CEDD,0,1,measured
686,1760,0,1,measured
687,6041,0,1,measured
688,AAE5,0,1,measured
689,F2B7,0,1,measured
690,3B53,0,1,measured
