offset,seed,band,boots,how
6,09A3,0,1,measured
7,319E,0,1,measured
8,7B14,0,1,measured
9,C3DA,0,1,measured
10,0D1F,0,1,measured
11,5663,0,1,measured
12,9FA3,0,1,measured
13,A15B,0,1,measured
14,C356,0,1,measured
15,0A74,0,1,measured
16,0A74,0,1,measured
17,54B2,0,1,measured
18,E6AB,0,1,measured
19,308A,0,1,measured
20,71F5,0,1,measured
21,C0B9,0,1,measured
22,DFCC,0,1,measured
23,1DD8,0,1,measured
24,662C,0,1,measured
25,AF61,0,1,measured
26,F8A7,0,1,measured
27,41E7,0,1,measured
28,6AA9,0,1,measured
29,7DBF,0,1,measured
30,C705,0,1,measured
31,0F56,0,1,measured
32,589B,0,1,measured
33,A1E3,0,1,measured
34,EB23,0,1,measured
35,307E,0,1,measured
36,7DA3,0,1,measured
37,7DA3,0,1,measured
38,C6E3,0,1,measured
39,101F,0,1,measured
40,0EE2,0,1,measured
41,3265,0,1,measured
42,7CCA,0,1,measured
43,C44B,0,1,measured
44,0FE6,0,1,measured
45,557F,0,1,measured
46,A673,0,1,measured
47,EC5E,0,1,measured
48,356D,0,1,measured
49,76F2,0,1,measured
50,B544,0,1,measured
51,F542,0,1,measured
52,4865,0,1,measured
53,9230,0,1,measured
54,DA28,0,1,measured
55,2337,0,1,measured
56,9B38,0,1,measured
57,E428,0,1,measured
58,30E3,0,1,measured
59,7647,0,1,measured
60,BEF0,0,1,measured
61,0698,0,1,measured
62,4FA5,0,1,measured
63,78AE,0,1,measured
64,3823,0,1,measured
65,53B2,0,1,measured
66,A2FF,0,1,measured
67,EA59,0,1,measured
68,34B4,0,1,measured
69,7C82,0,1,measured
70,C66F,0,1,measured
71,1077,0,1,measured
72,5A07,0,1,measured
73,CEAE,0,1,measured
74,ED2D,0,1,measured
75,347E,0,1,measured
76,7ECB,0,1,measured
77,C67B,0,1,measured
78,106B,0,1,measured
79,5A7F,0,1,measured
80,9F65,0,1,measured
81,E93E,0,1,measured
82,5E33,0,1,measured
83,7F01,0,1,measured
84,C989,0,1,measured
85,10E1,0,1,measured
86,5B3E,0,1,measured
87,A3A8,0,1,measured
88,F064,0,1,measured
89,F064,0,1,measured
90,35D8,0,1,measured
91,AAE2,0,1,measured
92,CA47,0,1,measured
93,14BD,0,1,measured
94,5C2E,0,1,measured
95,E982,0,1,measured
96,3830,0,1,measured
97,8240,0,1,measured
98,CBC6,0,1,measured
99,3E0E,0,1,measured
100,5D87,0,1,measured
101,A7F8,0,1,measured
102,EF65,0,1,measured
103,3AF7,0,1,measured
104,8236,0,1,measured
105,CC6E,0,1,measured
106,15BB,0,1,measured
107,87FB,0,1,measured
108,A68B,0,1,measured
109,F0F4,0,1,measured
110,33A4,0,1,measured
111,33A4,0,1,measured
112,82B6,0,1,measured
113,CA89,0,1,measured
114,1463,0,1,measured
115,5E89,0,1,measured
116,A810,0,1,measured
117,1C67,0,1,measured
118,3543,0,1,measured
119,8094,0,1,measured
120,C721,0,1,measured
121,5947,0,1,measured
122,A2EF,0,1,measured
123,EBD7,0,1,measured
124,342A,0,1,measured
125,7295,0,1,measured
126,B434,0,1,measured
127,FD06,0,1,measured
128,4770,0,1,measured
129,9641,0,1,measured
130,D92B,0,1,measured
131,26A7,0,1,measured
132,70A3,0,1,measured
133,B523,0,1,measured
134,031A,0,1,measured
135,4B92,0,1,measured
136,94E3,0,1,measured
137,DE4F,0,1,measured
138,094D,0,1,measured
139,3839,0,1,measured
140,770B,0,1,measured
141,CA87,0,1,measured
142,703C,0,1,measured
143,A92A,0,1,measured
144,F4B9,0,1,measured
145,3D32,0,1,measured
146,867A,0,1,measured
147,CFDC,0,1,measured
148,1A25,0,1,measured
149,6259,0,1,measured
150,AB8D,0,1,measured
151,ED1D,0,1,measured
152,2B6B,0,1,measured
153,7467,0,1,measured
154,F855,0,1,measured
155,1C36,0,1,measured
156,69F6,0,1,measured
157,B3A2,0,1,measured
158,FBDD,0,1,measured
159,4582,0,1,measured
160,8EB6,0,1,measured
161,D85D,0,1,measured
162,1EF4,0,1,measured
163,4B7A,0,1,measured
164,94E5,0,1,measured
165,DDB5,0,1,measured
166,26E9,0,1,measured
167,A3B4,0,1,measured
168,BB44,0,1,measured
169,04A3,0,1,measured
170,495D,0,1,measured
171,963F,0,1,measured
172,DF1D,0,1,measured
173,2855,0,1,measured
174,7210,0,1,measured
175,BAFA,0,1,measured
176,E484,0,1,measured
177,1493,0,1,measured
178,5CB2,0,1,measured
179,A538,0,1,measured
180,5832,0,1,measured
181,8942,0,1,measured
182,D25D,0,1,measured
183,1B01,0,1,measured
184,64BD,0,1,measured
185,A9B9,0,1,measured
186,F4CF,0,1,measured
187,5980,0,1,measured
188,8A04,0,1,measured
189,D31C,0,1,measured
190,1BCB,0,1,measured
191,6571,0,1,measured
192,AF11,0,1,measured
193,1BE9,0,1,measured
194,40B7,0,1,measured
195,8DD7,0,1,measured
196,D94D,0,1,measured
197,1FB8,0,1,measured
198,6921,0,1,measured
199,B63F,0,1,measured
200,F008,0,1,measured
201,429C,0,1,measured
202,835A,0,1,measured
203,C4D8,0,1,measured
204,0A4F,0,1,measured
205,53A7,0,1,measured
206,D5CD,0,1,measured
207,08CC,0,1,measured
208,5422,0,1,measured
209,9D8F,0,1,measured
210,E423,0,1,measured
211,2D92,0,1,measured
212,7AA6,0,1,measured
213,BDC0,0,1,measured
214,05F1,0,1,measured
215,260F,0,1,measured
216,7B8C,0,1,measured
217,C0FB,0,1,measured
218,0A5A,0,1,measured
219,8DA9,0,1,measured
220,B21E,0,1,measured
221,FB49,0,1,measured
222,44F6,0,1,measured
223,8E65,0,1,measured
224,D638,0,1,measured
225,1FD6,0,1,measured
226,68BA,0,1,measured
227,B110,0,1,measured
228,D84A,0,1,measured
229,1587,0,1,measured
230,5966,0,1,measured
231,A843,0,1,measured
232,F363,0,1,measured
233,3890,0,1,measured
234,814B,0,1,measured
235,CB31,0,1,measured
236,13CC,0,1,measured
237,5D0A,0,1,measured
238,A743,0,1,measured
239,EF7D,0,1,measured
240,38D7,0,1,measured
241,6448,0,1,measured
242,8E7A,0,1,measured
243,D787,0,1,measured
244,A52F,0,1,measured
245,B5F6,0,1,measured
246,03E0,0,1,measured
247,4DBA,0,1,measured
248,9511,0,1,measured
249,DF20,0,1,measured
250,2791,0,1,measured
251,7205,0,1,measured
252,BACB,0,1,measured
253,FC17,0,1,measured
254,3A06,0,1,measured
255,82E7,0,1,measured
256,CC15,0,1,measured
257,6267,0,1,measured
258,986D,0,1,measured
259,E196,0,1,measured
260,26D2,0,1,measured
261,7468,0,1,measured
262,BC78,0,1,measured
263,068A,0,1,measured
264,4EF0,0,1,measured
265,9906,0,1,measured
266,9906,0,1,measured
267,C51B,0,1,measured
268,1DFA,0,1,measured
269,5C24,0,1,measured
270,A495,0,1,measured
271,18B1,0,1,measured
272,558F,0,1,measured
273,9D65,0,1,measured
274,E641,0,1,measured
275,2F77,0,1,measured
276,7442,0,1,measured
277,C2B0,0,1,measured
278,0B34,0,1,measured
279,5483,0,1,measured
280,9A0C,0,1,measured
281,E2BD,0,1,measured
282,2943,0,1,measured
283,DA7B,0,1,measured
284,03DB,0,1,measured
285,4D5A,0,1,measured
286,9599,0,1,measured
287,DF4F,0,1,measured
288,288A,0,1,measured
289,8B0D,0,1,measured
290,B6A5,0,1,measured
291,046A,0,1,measured
292,4E25,0,1,measured
293,9666,0,1,measured
294,E00F,0,1,measured
295,2944,0,1,measured
296,8F93,0,1,measured
297,BFA0,0,1,measured
298,5D13,0,1,measured
299,A75E,0,1,measured
300,F0B4,0,1,measured
301,39AB,0,1,measured
302,74A2,0,1,measured
303,BCE9,0,1,measured
305,FA5E,0,1,measured
306,3CED,0,1,measured
307,85B8,0,1,measured
308,CEFE,0,1,measured
309,4F24,0,1,measured
310,7B1D,0,1,measured
311,C43A,0,1,measured
312,0CC6,0,1,measured
313,58A4,0,1,measured
314,9D81,0,1,measured
315,FD01,0,1,measured
316,3119,0,1,measured
317,AE66,0,1,measured
318,F75C,0,1,measured
319,3BDE,0,1,measured
320,8947,0,1,measured
321,06F6,0,1,measured
322,2A2F,0,1,measured
324,7343,0,1,measured
325,BCD0,0,1,measured
326,0563,0,1,measured
327,4E11,0,1,measured
328,98F7,0,1,measured
329,E0B0,0,1,measured
330,291A,0,1,measured
331,6C2A,0,1,measured
332,A90A,0,1,measured
333,F1F8,0,1,measured
334,3B26,0,1,measured
335,7FEA,0,1,measured
336,2295,0,1,measured
337,6C99,0,1,measured
338,B51C,0,1,measured
339,FE72,0,1,measured
340,3C82,0,1,measured
341,8513,0,1,measured
343,B110,0,1,measured
344,DEA2,0,1,measured
345,2718,0,1,measured
346,6FBA,0,1,measured
347,2083,0,1,measured
348,51A1,0,1,measured
349,9E4F,0,1,measured
350,DAD2,0,1,measured
351,3408,0,1,measured
352,79F2,0,1,measured
353,C356,0,1,measured
354,10F7,0,1,measured
355,A192,0,1,measured
356,E15F,0,1,measured
357,2847,0,1,measured
358,7171,0,1,measured
359,DCBE,0,1,measured
360,1883,0,1,measured
362,60D7,0,1,measured
363,AD59,0,1,measured
364,F35F,0,1,measured
365,2F1D,0,1,measured
366,85EF,0,1,measured
367,D378,0,1,measured
368,192C,0,1,measured
369,45A1,0,1,measured
370,925E,0,1,measured
371,D801,0,1,measured
372,2178,0,1,measured
373,A2F8,0,1,measured
374,21D2,0,1,measured
375,6A20,0,1,measured
376,B347,0,1,measured
377,FC8D,0,1,measured
378,1C12,0,1,measured
379,603C,0,1,measured
381,AD8A,0,1,measured
382,DD9A,0,1,measured
383,0838,0,1,measured
384,5141,0,1,measured
385,9B46,0,1,measured
386,4181,0,1,measured
387,7C84,0,1,measured
388,C693,0,1,measured
389,0EE7,0,1,measured
390,5812,0,1,measured
391,A213,0,1,measured
392,FABD,0,1,measured
393,895A,0,1,measured
394,CEA0,0,1,measured
395,1BF5,0,1,measured
396,651F,0,1,measured
397,A2BD,0,1,measured
398,0104,0,1,measured
400,3827,0,1,measured
401,81EB,0,1,measured
402,CA8A,0,1,measured
403,140B,0,1,measured
404,5DA4,0,1,measured
405,A642,0,1,measured
406,EF84,0,1,measured
407,38B4,0,1,measured
408,7A6C,0,1,measured
409,B8B2,0,1,measured
410,F851,0,1,measured
411,4B5A,0,1,measured
412,041E,0,1,measured
413,4D39,0,1,measured
414,965F,0,1,measured
415,DFA4,0,1,measured
416,1DC1,0,1,measured
417,74AD,0,1,measured
419,B18C,0,1,measured
420,FAB7,0,1,measured
421,2368,0,1,measured
422,6CEC,0,1,measured
423,B5AD,0,1,measured
424,3247,0,1,measured
425,4FBF,0,1,measured
426,9D67,0,1,measured
427,E712,0,1,measured
428,2F6E,0,1,measured
429,7853,0,1,measured
430,C19D,0,1,measured
431,6072,0,1,measured
432,A286,0,1,measured
433,DF1B,0,1,measured
434,27E6,0,1,measured
435,655F,0,1,measured
436,AEB0,0,1,measured
438,F7CF,0,1,measured
439,4115,0,1,measured
440,8686,0,1,measured
441,D3A3,0,1,measured
442,1CDD,0,1,measured
443,66A5,0,1,measured
444,AF48,0,1,measured
445,F89C,0,1,measured
446,25F7,0,1,measured
447,5589,0,1,measured
448,9EBD,0,1,measured
449,E751,0,1,measured
450,D4CB,0,1,measured
451,2116,0,1,measured
452,6BC3,0,1,measured
453,B177,0,1,measured
454,E486,0,1,measured
455,3C00,0,1,measured
457,88E0,0,1,measured
458,CDF5,0,1,measured
459,0F89,0,1,measured
460,5100,0,1,measured
461,9681,0,1,measured
462,DFF5,0,1,measured
463,517C,0,1,measured
464,87D7,0,1,measured
465,CFEF,0,1,measured
466,2920,0,1,measured
467,640C,0,1,measured
468,AE51,0,1,measured
469,43A2,0,1,measured
470,94B8,0,1,measured
471,C1CC,0,1,measured
472,15BB,0,1,measured
473,4A8E,0,1,measured
474,94C8,0,1,measured
476,EF4C,0,1,measured
477,2211,0,1,measured
478,6D9E,0,1,measured
479,B423,0,1,measured
480,FD19,0,1,measured
481,4662,0,1,measured
482,8FF5,0,1,measured
483,D8E2,0,1,measured
484,2142,0,1,measured
485,4B87,0,1,measured
486,42F6,0,1,measured
487,8C63,0,1,measured
488,C86C,0,1,measured
489,FE3E,0,1,measured
490,4751,0,1,measured
491,9153,0,1,measured
492,DA36,0,1,measured
493,1845,0,1,measured
495,7CBF,0,1,measured
496,AAAA,0,1,measured
497,F34A,0,1,measured
498,3CB3,0,1,measured
499,8628,0,1,measured
500,CA7A,0,1,measured
501,175A,0,1,measured
502,7B21,0,1,measured
503,A7D4,0,1,measured
504,F0D0,0,1,measured
505,3B5F,0,1,measured
506,8340,0,1,measured
507,2312,0,1,measured
508,6B59,0,1,measured
509,BD45,0,1,measured
510,DC12,0,1,measured
511,0E41,0,1,measured
512,5708,0,1,measured
514,E918,0,1,measured
515,1391,0,1,measured
516,6145,0,1,measured
517,AADB,0,1,measured
518,F3E9,0,1,measured
519,3C21,0,1,measured
520,8682,0,1,measured
521,E9E3,0,1,measured
522,1822,0,1,measured
523,62A9,0,1,measured
524,AA7F,0,1,measured
525,F396,0,1,measured
526,BBEB,0,1,measured
527,E187,0,1,measured
528,2A84,0,1,measured
529,6F75,0,1,measured
530,B06A,0,1,measured
531,F933,0,1,measured
533,428F,0,1,measured
534,8C42,0,1,measured
535,D509,0,1,measured
536,15F6,0,1,measured
537,555A,0,1,measured
538,9D4D,0,1,measured
539,E62C,0,1,measured
540,2F82,0,1,measured
541,78C6,0,1,measured
542,C1F3,0,1,measured
543,0BE5,0,1,measured
544,5470,0,1,measured
545,F356,0,1,measured
546,3BF9,0,1,measured
547,8547,0,1,measured
548,ADFB,0,1,measured
549,D1D9,0,1,measured
550,1ADC,0,1,measured
552,6308,0,1,measured
553,0FFA,0,1,measured
554,4599,0,1,measured
555,9148,0,1,measured
556,D99D,0,1,measured
557,2300,0,1,measured
558,6C5E,0,1,measured
559,B64E,0,1,measured
560,F424,0,1,measured
561,4813,0,1,measured
562,89D1,0,1,measured
563,C7D1,0,1,measured
564,642B,0,1,measured
565,DD3D,0,1,measured
566,0B65,0,1,measured
567,5699,0,1,measured
568,90C5,0,1,measured
569,DA7C,0,1,measured
571,23BF,0,1,measured
572,6D44,0,1,measured
573,B3F4,0,1,measured
574,FC45,0,1,measured
575,2713,0,1,measured
576,74F2,0,1,measured
577,BDB3,0,1,measured
578,06E8,0,1,measured
579,885B,0,1,measured
580,BEB8,0,1,measured
581,07DB,0,1,measured
582,518C,0,1,measured
583,EF1D,0,1,measured
584,37A8,0,1,measured
585,6384,0,1,measured
586,AB86,0,1,measured
587,CC0E,0,1,measured
588,FAD6,0,1,measured
590,3F5C,0,1,measured
591,8D34,0,1,measured
592,455E,0,1,measured
593,6F38,0,1,measured
594,B851,0,1,measured
595,00FB,0,1,measured
596,4A96,0,1,measured
597,9430,0,1,measured
598,FE7F,0,1,measured
599,26B0,0,1,measured
600,7043,0,1,measured
601,B875,0,1,measured
602,5799,0,1,measured
603,BB7D,0,1,measured
604,E359,0,1,measured
605,313A,0,1,measured
606,707D,0,1,measured
607,BA4A,0,1,measured
609,0257,0,1,measured
610,4BAE,0,1,measured
611,9710,0,1,measured
612,DBD5,0,1,measured
613,1CAA,0,1,measured
614,3E60,0,1,measured
615,85A9,0,1,measured
616,CE8D,0,1,measured
617,71DF,0,1,measured
618,A1C6,0,1,measured
619,EAD1,0,1,measured
620,2DBB,0,1,measured
621,D23B,0,1,measured
622,1B63,0,1,measured
623,65AA,0,1,measured
624,AA24,0,1,measured
625,C86B,0,1,measured
626,F3E0,0,1,measured
628,3B3A,0,1,measured
629,8411,0,1,measured
630,1E22,0,1,measured
631,454B,0,1,measured
632,8E72,0,1,measured
633,D7FE,0,1,measured
634,2072,0,1,measured
635,64B8,0,1,measured
636,B29C,0,1,measured
637,FC37,0,1,measured
638,451F,0,1,measured
639,4F54,0,1,measured
640,E0A0,0,1,measured
641,29E8,0,1,measured
642,9756,0,1,measured
643,DCDF,0,1,measured
644,1AC5,0,1,measured
645,64B4,0,1,measured
647,AD47,0,1,measured
648,F68B,0,1,measured
649,407D,0,1,measured
650,84AD,0,1,measured
651,D24D,0,1,measured
652,E0B6,0,1,measured
653,0C54,0,1,measured
654,54E5,0,1,measured
655,9D17,0,1,measured
656,411E,0,1,measured
657,7970,0,1,measured
658,C592,0,1,measured
659,603B,0,1,measured
660,AB27,0,1,measured
661,F50B,0,1,measured
662,3D97,0,1,measured
663,7C2F,0,1,measured
664,B724,0,1,measured
666,FC12,0,1,measured
667,44E2,0,1,measured
668,8E1F,0,1,measured
669,2070,0,1,measured
670,5C7A,0,1,measured
671,A50C,0,1,measured
672,EEAB,0,1,measured
673,37C1,0,1,measured
674,7FF2,0,1,measured
675,CA68,0,1,measured
676,132D,0,1,measured
677,5C0D,0,1,measured
678,E28C,0,1,measured
679,24B8,0,1,measured
680,743D,0,1,measured
681,10B6,0,1,measured
682,3C2B,0,1,measured
683,855B,0,1,measured
685,CF09,0,1,measured
686,177E,0,1,measured
687,605B,0,1,measured
688,AB24,0,1,measured
689,F2D6,0,1,measured
