offset,seed,band,boots,how
6,099B,0,1,measured
7,3196,0,1,measured
8,7B03,0,1,measured
9,C3DB,0,1,measured
10,0D0E,0,1,measured
11,565B,0,1,measured
12,9F92,0,1,measured
13,A0C8,0,1,measured
14,C2FF,0,1,measured
15,0A57,0,1,measured
16,0A57,0,1,measured
17,5490,0,1,measured
18,E675,0,1,measured
19,3064,0,1,measured
20,71D9,0,1,measured
21,C091,0,1,measured
22,DFC3,0,1,measured
23,1DD0,0,1,measured
24,661A,0,1,measured
25,AF63,0,1,measured
26,F8A8,0,1,measured
27,41E8,0,1,measured
28,6AA1,0,1,measured
29,7DC0,0,1,measured
30,C6FD,0,1,measured
31,0F57,0,1,measured
32,589B,0,1,measured
33,A1DB,0,1,measured
34,EB12,0,1,measured
35,306E,0,1,measured
36,7D9E,0,1,measured
37,7D9E,0,1,measured
38,C6D2,0,1,measured
39,100E,0,1,measured
40,0E8E,0,1,measured
41,321C,0,1,measured
42,7C79,0,1,measured
43,C42C,0,1,measured
44,0F91,0,1,measured
45,5582,0,1,measured
46,A661,0,1,measured
47,EC4E,0,1,measured
48,3562,0,1,measured
49,76EA,0,1,measured
50,B532,0,1,measured
51,F537,0,1,measured
52,4844,0,1,measured
53,91F1,0,1,measured
54,DA20,0,1,measured
55,2325,0,1,measured
56,9B30,0,1,measured
57,E429,0,1,measured
58,3084,0,1,measured
59,7649,0,1,measured
60,BED3,0,1,measured
61,0687,0,1,measured
62,4F94,0,1,measured
63,78A2,0,1,measured
64,37C2,0,1,measured
65,537D,0,1,measured
66,A2B3,0,1,measured
67,EA39,0,1,measured
68,3481,0,1,measured
69,7C5C,0,1,measured
70,C65E,0,1,measured
71,1026,0,1,measured
72,59BD,0,1,measured
73,CE1F,0,1,measured
74,ECDB,0,1,measured
75,3460,0,1,measured
76,7E90,0,1,measured
77,C657,0,1,measured
78,1064,0,1,measured
79,5A35,0,1,measured
80,9F10,0,1,measured
81,E936,0,1,measured
82,5DEC,0,1,measured
83,7EC2,0,1,measured
84,C929,0,1,measured
