offset,seed,band,boots,how
6,09AC,0,1,measured
7,3195,0,1,measured
8,7B0A,0,1,measured
9,C3DA,0,1,measured
10,0D16,0,1,measured
11,565A,0,1,measured
12,9F9A,0,1,measured
13,A0CF,0,1,measured
14,C307,0,1,measured
15,0A60,0,1,measured
16,0A60,0,1,measured
17,5497,0,1,measured
18,E686,0,1,measured
19,306C,0,1,measured
20,71D8,0,1,measured
21,C090,0,1,measured
22,DFCB,0,1,measured
23,1DCF,0,1,measured
24,6623,0,1,measured
25,AF6C,0,1,measured
26,F8B0,0,1,measured
27,41F0,0,1,measured
28,6AAA,0,1,measured
29,7DBF,0,1,measured
30,C6FF,0,1,measured
31,0F56,0,1,measured
32,589A,0,1,measured
33,A1DA,0,1,measured
34,EB1A,0,1,measured
35,3076,0,1,measured
36,7D9A,0,1,measured
37,7D9A,0,1,measured
38,C6DA,0,1,measured
39,1016,0,1,measured
40,0E99,0,1,measured
41,3231,0,1,measured
42,7C75,0,1,measured
43,C430,0,1,measured
44,0F92,0,1,measured
45,5580,0,1,measured
46,A662,0,1,measured
47,EC56,0,1,measured
48,3566,0,1,measured
49,76E9,0,1,measured
50,B543,0,1,measured
51,F53F,0,1,measured
52,484C,0,1,measured
53,91FA,0,1,measured
54,DA27,0,1,measured
55,2336,0,1,measured
56,9B2E,0,1,measured
57,E431,0,1,measured
58,308C,0,1,measured
59,7652,0,1,measured
60,BED1,0,1,measured
61,0698,0,1,measured
62,4F9E,0,1,measured
63,78AC,0,1,measured
64,37CF,0,1,measured
65,537D,0,1,measured
66,A2B2,0,1,measured
67,EA43,0,1,measured
68,3484,0,1,measured
69,7C5A,0,1,measured
70,C668,0,1,measured
71,1035,0,1,measured
72,59C3,0,1,measured
73,CE25,0,1,measured
74,ECDB,0,1,measured
75,3467,0,1,measured
76,7E93,0,1,measured
77,C653,0,1,measured
78,106D,0,1,measured
79,5A34,0,1,measured
80,9F11,0,1,measured
81,E940,0,1,measured
82,5DE9,0,1,measured
83,7EBF,0,1,measured
84,C93D,0,1,measured
85,10C3,0,1,measured
86,5B04,0,1,measured
87,A3AB,0,1,measured
88,EFCB,0,1,measured
89,EFCB,0,1,measured
90,35AB,0,1,measured
91,AA96,0,1,measured
92,CA12,0,1,measured
93,1470,0,1,measured
94,5C17,0,1,measured
95,E973,0,1,measured
96,3831,0,1,measured
97,81F4,0,1,measured
98,CB81,0,1,measured
99,3DC3,0,1,measured
100,5D52,0,1,measured
101,A7AC,0,1,measured
102,EF58,0,1,measured
103,3AB7,0,1,measured
104,8237,0,1,measured
105,CC18,0,1,measured
106,1570,0,1,measured
107,87AF,0,1,measured
108,A655,0,1,measured
109,F0AB,0,1,measured
110,3395,0,1,measured
111,3395,0,1,measured
112,8281,0,1,measured
113,CA68,0,1,measured
114,1464,0,1,measured
115,5E3D,0,1,measured
116,A7B6,0,1,measured
117,1C32,0,1,measured
118,350E,0,1,measured
119,8021,0,1,measured
120,C70B,0,1,measured
121,591D,0,1,measured
122,A2CA,0,1,measured
123,EBC2,0,1,measured
124,3433,0,1,measured
125,727B,0,1,measured
126,B43C,0,1,measured
127,FD07,0,1,measured
128,475A,0,1,measured
129,9638,0,1,measured
130,D92B,0,1,measured
131,269E,0,1,measured
132,707E,0,1,measured
133,B525,0,1,measured
134,0305,0,1,measured
135,4B96,0,1,measured
136,94E3,0,1,measured
137,DE48,0,1,measured
138,0934,0,1,measured
139,3829,0,1,measured
140,7702,0,1,measured
141,CA6C,0,1,measured
142,7036,0,1,measured
143,A91F,0,1,measured
144,F49D,0,1,measured
145,3D31,0,1,measured
146,867A,0,1,measured
147,CFD4,0,1,measured
148,1A02,0,1,measured
149,6252,0,1,measured
150,AB87,0,1,measured
151,ED17,0,1,measured
152,2B76,0,1,measured
153,7466,0,1,measured
154,F81B,0,1,measured
155,1C03,0,1,measured
156,69C1,0,1,measured
157,B36B,0,1,measured
158,FBE6,0,1,measured
159,4543,0,1,measured
160,8E89,0,1,measured
161,D833,0,1,measured
162,1EF6,0,1,measured
163,4B7C,0,1,measured
164,94E6,0,1,measured
165,DDB6,0,1,measured
166,26E8,0,1,measured
167,A388,0,1,measured
168,BB0F,0,1,measured
169,0463,0,1,measured
170,4925,0,1,measured
171,961E,0,1,measured
172,DF06,0,1,measured
173,283F,0,1,measured
174,71F0,0,1,measured
175,BAD4,0,1,measured
176,E483,0,1,measured
177,1475,0,1,measured
178,5CA9,0,1,measured
179,A537,0,1,measured
180,57F3,0,1,measured
181,890C,0,1,measured
182,D227,0,1,measured
183,1B08,0,1,measured
184,647E,0,1,measured
185,A984,0,1,measured
186,F4C7,0,1,measured
187,5946,0,1,measured
188,89CD,0,1,measured
189,D2F0,0,1,measured
190,1BC9,0,1,measured
191,6533,0,1,measured
192,AEDE,0,1,measured
193,1B84,0,1,measured
194,4070,0,1,measured
195,8D9F,0,1,measured
196,D949,0,1,measured
197,1F8A,0,1,measured
198,68E1,0,1,measured
199,B609,0,1,measured
200,F00B,0,1,measured
201,42A3,0,1,measured
202,8353,0,1,measured
203,C4D8,0,1,measured
204,0A50,0,1,measured
205,53B0,0,1,measured
206,D594,0,1,measured
207,0897,0,1,measured
208,53AC,0,1,measured
209,9D8E,0,1,measured
210,E3EB,0,1,measured
211,2D5B,0,1,measured
212,7A70,0,1,measured
213,BDC9,0,1,measured
214,05E8,0,1,measured
215,2610,0,1,measured
216,7B8C,0,1,measured
217,C0FC,0,1,measured
218,0A5A,0,1,measured
219,8D64,0,1,measured
220,B1EB,0,1,measured
221,FB13,0,1,measured
222,44C4,0,1,measured
223,8E33,0,1,measured
224,D60A,0,1,measured
225,1FC8,0,1,measured
226,688C,0,1,measured
227,B110,0,1,measured
228,D825,0,1,measured
229,157E,0,1,measured
230,5967,0,1,measured
231,A826,0,1,measured
232,F361,0,1,measured
233,388D,0,1,measured
234,8142,0,1,measured
235,CB1A,0,1,measured
236,13C6,0,1,measured
237,5D0A,0,1,measured
238,A724,0,1,measured
239,EF7C,0,1,measured
240,38D7,0,1,measured
241,6430,0,1,measured
242,8E79,0,1,measured
243,D77F,0,1,measured
244,A523,0,1,measured
245,B5D7,0,1,measured
246,03C5,0,1,measured
247,4D83,0,1,measured
248,9507,0,1,measured
249,DF08,0,1,measured
250,2792,0,1,measured
251,71ED,0,1,measured
252,BAA5,0,1,measured
