offset,seed,band,boots,how
14,C307,0,1,measured
15,0A60,0,1,measured
16,0A60,0,1,measured
18,E686,0,1,measured
21,C090,0,1,measured
25,AF6C,0,1,measured
26,F8B0,0,1,measured
27,41F0,0,1,measured
28,6AAA,0,1,measured
29,7DBF,0,1,measured
30,C6FF,0,1,measured
36,7D9A,0,1,measured
37,7D9A,0,1,measured
43,C430,0,1,measured
45,5580,0,1,measured
47,EC56,0,1,measured
49,76E9,0,1,measured
51,F53F,0,1,measured
53,91FA,0,1,measured
55,2336,0,1,measured
60,BED1,0,1,measured
62,4F9E,0,1,measured
65,537D,0,1,measured
66,A2B2,0,1,measured
69,7C5A,0,1,measured
71,1035,0,1,measured
74,ECDB,0,1,measured
75,3467,0,1,measured
78,106D,0,1,measured
81,E940,0,1,measured
85,10C3,0,1,measured
87,A3AB,0,1,measured
88,EFCB,0,1,measured
89,EFCB,0,1,measured
91,AA96,0,1,measured
96,3831,0,1,measured
98,CB81,0,1,measured
99,3DC3,0,1,measured
102,EF58,0,1,measured
103,3AB7,0,1,measured
108,A655,0,1,measured
109,F0AB,0,1,measured
114,1464,0,1,measured
115,5E3D,0,1,measured
117,1C32,0,1,measured
120,C70B,0,1,measured
123,EBC2,0,1,measured
124,3433,0,1,measured
125,727B,0,1,measured
127,FD07,0,1,measured
128,475A,0,1,measured
132,707E,0,1,measured
134,0305,0,1,measured
135,4B96,0,1,measured
137,DE48,0,1,measured
138,0934,0,1,measured
139,3829,0,1,measured
143,A91F,0,1,measured
144,F49D,0,1,measured
146,867A,0,1,measured
148,1A02,0,1,measured
150,AB87,0,1,measured
151,ED17,0,1,measured
154,F81B,0,1,measured
155,1C03,0,1,measured
156,69C1,0,1,measured
160,8E89,0,1,measured
161,D833,0,1,measured
163,4B7C,0,1,measured
164,94E6,0,1,measured
167,A388,0,1,measured
169,0463,0,1,measured
170,4925,0,1,measured
172,DF06,0,1,measured
175,BAD4,0,1,measured
176,E483,0,1,measured
179,A537,0,1,measured
183,1B08,0,1,measured
184,647E,0,1,measured
186,F4C7,0,1,measured
190,1BC9,0,1,measured
191,6533,0,1,measured
193,1B84,0,1,measured
196,D949,0,1,measured
197,1F8A,0,1,measured
198,68E1,0,1,measured
200,F00B,0,1,measured
201,42A3,0,1,measured
202,8353,0,1,measured
203,C4D8,0,1,measured
204,0A50,0,1,measured
205,53B0,0,1,measured
206,D594,0,1,measured
207,0897,0,1,measured
210,E3EB,0,1,measured
213,BDC9,0,1,measured
214,05E8,0,1,measured
216,7B8C,0,1,measured
217,C0FC,0,1,measured
220,B1EB,0,1,measured
221,FB13,0,1,measured
223,8E33,0,1,measured
225,1FC8,0,1,measured
226,688C,0,1,measured
228,D825,0,1,measured
230,5967,0,1,measured
235,CB1A,0,1,measured
236,13C6,0,1,measured
237,5D0A,0,1,measured
240,38D7,0,1,measured
242,8E79,0,1,measured
244,A523,0,1,measured
245,B5D7,0,1,measured
247,4D83,0,1,measured
249,DF08,0,1,measured
252,BAA5,0,1,measured
257,6252,0,1,measured
259,E16E,0,1,measured
261,7449,0,1,measured
264,4EF7,0,1,measured
265,98E7,0,1,measured
266,98DD,0,1,measured
268,1DC5,0,1,measured
270,A473,0,1,measured
273,9D5C,0,1,measured
278,0B37,0,1,measured
279,5481,0,1,measured
282,2949,0,1,measured
290,B670,0,1,measured
293,9667,0,1,measured
294,DFD3,0,1,measured
297,BF75,0,1,measured
299,A728,0,1,measured
302,749F,0,1,measured
303,BCEF,0,1,measured
305,FA60,0,1,measured
306,3CEE,0,1,measured
308,CEFB,0,1,measured
309,4EEC,0,1,measured
310,7AE8,0,1,measured
312,0CCE,0,1,measured
315,FD06,0,1,measured
318,F75D,0,1,measured
321,06B8,0,1,measured
324,72FA,0,1,measured
325,BCA4,0,1,measured
326,0546,0,1,measured
327,4E01,0,1,measured
328,98C0,0,1,measured
329,E09B,0,1,measured
331,6C07,0,1,measured
333,F1F9,0,1,measured
334,3B27,0,1,measured
336,228B,0,1,measured
337,6C79,0,1,measured
338,B51C,0,1,measured
339,FE71,0,1,measured
341,850B,0,1,measured
345,2700,0,1,measured
346,6FBE,0,1,measured
347,2069,0,1,measured
348,51A9,0,1,measured
350,DABE,0,1,measured
352,79F3,0,1,measured
353,C355,0,1,measured
354,10E2,0,1,measured
355,A194,0,1,measured
358,7179,0,1,measured
359,DCA5,0,1,measured
360,1866,0,1,measured
362,60CE,0,1,measured
363,AD5A,0,1,measured
364,F361,0,1,measured
368,1906,0,1,measured
370,925D,0,1,measured
372,2175,0,1,measured
374,21A6,0,1,measured
375,69FE,0,1,measured
377,FC67,0,1,measured
379,6027,0,1,measured
386,4178,0,1,measured
387,7C7A,0,1,measured
393,895A,0,1,measured
395,1BEE,0,1,measured
396,6517,0,1,measured
397,A29F,0,1,measured
398,010D,0,1,measured
400,3829,0,1,measured
404,5D8B,0,1,measured
409,B8AA,0,1,measured
410,F846,0,1,measured
411,4B4B,0,1,measured
412,0415,0,1,measured
413,4D42,0,1,measured
419,B18B,0,1,measured
420,FAAD,0,1,measured
421,236A,0,1,measured
422,6CEB,0,1,measured
423,B5AB,0,1,measured
424,3212,0,1,measured
427,E6DC,0,1,measured
428,2F47,0,1,measured
431,6049,0,1,measured
432,A267,0,1,measured
433,DF1A,0,1,measured
435,6557,0,1,measured
438,F7C7,0,1,measured
439,4114,0,1,measured
440,866F,0,1,measured
443,6690,0,1,measured
444,AF51,0,1,measured
445,F89C,0,1,measured
447,5570,0,1,measured
448,9EA8,0,1,measured
450,D4C2,0,1,measured
451,20F9,0,1,measured
453,B179,0,1,measured
459,0F89,0,1,measured
460,5108,0,1,measured
461,967B,0,1,measured
462,DFEE,0,1,measured
465,CFED,0,1,measured
466,28F4,0,1,measured
469,4369,0,1,measured
470,9486,0,1,measured
476,EF12,0,1,measured
477,21E5,0,1,measured
478,6D2B,0,1,measured
479,B40E,0,1,measured
482,8FDF,0,1,measured
483,D8B9,0,1,measured
484,2144,0,1,measured
487,8C64,0,1,measured
488,C870,0,1,measured
492,D9C3,0,1,measured
493,1816,0,1,measured
498,3C8D,0,1,measured
499,8610,0,1,measured
501,175B,0,1,measured
502,7AFF,0,1,measured
505,3B48,0,1,measured
506,8340,0,1,measured
507,22F3,0,1,measured
509,BD08,0,1,measured
510,DBD4,0,1,measured
511,0E00,0,1,measured
514,E8EB,0,1,measured
515,1383,0,1,measured
517,AABC,0,1,measured
519,3C17,0,1,measured
521,E9EF,0,1,measured
522,182B,0,1,measured
523,628D,0,1,measured
525,F399,0,1,measured
526,BBBF,0,1,measured
527,E148,0,1,measured
528,2A57,0,1,measured
529,6F49,0,1,measured
537,5545,0,1,measured
541,78BF,0,1,measured
542,C1EB,0,1,measured
543,0BCC,0,1,measured
544,546E,0,1,measured
548,ADFC,0,1,measured
549,D1C6,0,1,measured
560,F407,0,1,measured
561,4813,0,1,measured
562,89C8,0,1,measured
563,C7DB,0,1,measured
565,DD10,0,1,measured
567,562C,0,1,measured
568,90BF,0,1,measured
569,DA3E,0,1,measured
571,237E,0,1,measured
575,2715,0,1,measured
577,BDB4,0,1,measured
578,06E8,0,1,measured
579,882E,0,1,measured
585,634D,0,1,measured
586,AB6D,0,1,measured
592,4522,0,1,measured
598,FE10,0,1,measured
599,2684,0,1,measured
600,7005,0,1,measured
601,B869,0,1,measured
602,576C,0,1,measured
603,BB49,0,1,measured
604,E32C,0,1,measured
605,3103,0,1,measured
607,BA51,0,1,measured
609,0226,0,1,measured
612,DBE1,0,1,measured
614,3E67,0,1,measured
615,85A1,0,1,measured
620,2D88,0,1,measured
621,D1FC,0,1,measured
624,AA23,0,1,measured
626,F3E9,0,1,measured
628,3B31,0,1,measured
630,1DE3,0,1,measured
631,450B,0,1,measured
637,FC19,0,1,measured
639,4F53,0,1,measured
640,E09D,0,1,measured
641,29F1,0,1,measured
642,975F,0,1,measured
644,1AC5,0,1,measured
648,F68B,0,1,measured
649,4058,0,1,measured
652,E0B3,0,1,measured
653,0C3D,0,1,measured
657,7967,0,1,measured
658,C576,0,1,measured
661,F4FD,0,1,measured
662,3DA0,0,1,measured
663,7C26,0,1,measured
666,FC1C,0,1,measured
667,44E2,0,1,measured
668,8E1C,0,1,measured
669,2053,0,1,measured
671,A4EC,0,1,measured
678,E295,0,1,measured
679,24AE,0,1,measured
680,7435,0,1,measured
682,3BF4,0,1,measured
683,851B,0,1,measured
685,CEDC,0,1,measured
686,1755,0,1,measured
689,F2AF,0,1,measured
690,3B53,0,1,measured
691,6A80,0,1,measured
693,DD36,0,1,measured
694,64D4,0,1,measured
695,9A4C,0,1,measured
698,E06E,0,1,measured
699,199E,0,1,measured
700,70A7,0,1,measured
704,31BE,0,1,measured
706,C430,0,1,measured
707,2184,0,1,measured
708,5B8D,0,1,measured
711,3729,0,1,measured
713,C892,0,1,measured
715,5BA6,0,1,measured
716,0BC4,0,1,measured
718,9DBB,0,1,measured
719,DBAD,0,1,measured
721,54DC,0,1,measured
723,9DA1,0,1,measured
724,E617,0,1,measured
725,2BF0,0,1,measured
726,78AF,0,1,measured
728,0C4C,0,1,measured
729,4CE8,0,1,measured
730,8B3A,0,1,measured
731,D3F0,0,1,measured
732,1DC4,0,1,measured
733,A304,0,1,measured
735,6350,0,1,measured
736,AC56,0,1,measured
737,F598,0,1,measured
738,3EF8,0,1,measured
740,C453,0,1,measured
742,0730,0,1,measured
743,445A,0,1,measured
745,D784,0,1,measured
746,1FB2,0,1,measured
748,B2F4,0,1,measured
750,44AD,0,1,measured
752,D70E,0,1,measured
753,2055,0,1,measured
754,9EE0,0,1,measured
757,6329,0,1,measured
759,3A65,0,1,measured
761,85EA,0,1,measured
762,D036,0,1,measured
764,61BD,0,1,measured
765,AC12,0,1,measured
766,F39F,0,1,measured
767,3CDB,0,1,measured
768,8066,0,1,measured
769,BCBE,0,1,measured
771,4F64,0,1,measured
772,BDC3,0,1,measured
773,4E75,0,1,measured
774,98AC,0,1,measured
775,E0E3,0,1,measured
776,2A4A,0,1,measured
777,6BF8,0,1,measured
780,FB43,0,1,measured
781,2C06,0,1,measured
783,BCB8,0,1,measured
784,3AD7,0,1,measured
785,655A,0,1,measured
786,B1F8,0,1,measured
787,FB1E,0,1,measured
788,434B,0,1,measured
789,8D44,0,1,measured
790,D5CE,0,1,measured
791,203B,0,1,measured
792,A166,0,1,measured
794,183F,0,1,measured
795,60FB,0,1,measured
802,46D4,0,1,measured
803,84AF,0,1,measured
806,6081,0,1,measured
808,F471,0,1,measured
809,3BAB,0,1,measured
811,24A9,0,1,measured
812,6E23,0,1,measured
815,3E9A,0,1,measured
816,8699,0,1,measured
818,D083,0,1,measured
819,2CC6,0,1,measured
820,6C6A,0,1,measured
821,B483,0,1,measured
822,FDB0,0,1,measured
823,4D04,0,1,measured
824,8F50,0,1,measured
826,1F71,0,1,measured
829,0FD6,0,1,measured
830,9AA5,0,1,measured
831,C3B5,0,1,measured
833,547B,0,1,measured
834,9204,0,1,measured
837,38FD,0,1,measured
838,8421,0,1,measured
841,5D13,0,1,measured
844,3821,0,1,measured
845,767A,0,1,measured
847,00F4,0,1,measured
850,2ECD,0,1,measured
851,7889,0,1,measured
853,FF46,0,1,measured
858,25EF,0,1,measured
859,54EE,0,1,measured
860,9890,0,1,measured
862,7CCB,0,1,measured
871,375A,0,1,measured
872,7509,0,1,measured
875,1A45,0,1,measured
876,69F7,0,1,measured
878,FC61,0,1,measured
879,45A8,0,1,measured
886,2C10,0,1,measured
887,C8B3,0,1,measured
888,12FD,0,1,measured
891,E16C,0,1,measured
892,2CBC,0,1,measured
894,76A5,0,1,measured
895,BFDC,0,1,measured
896,ECAA,0,1,measured
900,61CA,0,1,measured
902,DDCD,0,1,measured
903,2707,0,1,measured
904,6D47,0,1,measured
905,AD9D,0,1,measured
906,639C,0,1,measured
907,A038,0,1,measured
908,E88A,0,1,measured
911,B9AF,0,1,measured
913,1EE2,0,1,measured
915,97A2,0,1,measured
916,E273,0,1,measured
917,2A0D,0,1,measured
918,7399,0,1,measured
919,BD89,0,1,measured
920,FAEE,0,1,measured
925,D37B,0,1,measured
927,5400,0,1,measured
928,A503,0,1,measured
932,78EB,0,1,measured
933,B6BB,0,1,measured
935,3E56,0,1,measured
938,2586,0,1,measured
940,B194,0,1,measured
942,4447,0,1,measured
943,8DA7,0,1,measured
945,7475,0,1,measured
948,30B2,0,1,measured
954,AEB4,0,1,measured
955,F875,0,1,measured
956,4148,0,1,measured
957,8A6B,0,1,measured
958,D475,0,1,measured
959,1CF5,0,1,measured
961,8CBC,0,1,measured
962,AFEC,0,1,measured
966,46A7,0,1,measured
967,8520,0,1,measured
968,CE72,0,1,measured
970,17A2,0,1,measured
971,61A1,0,1,measured
974,3CAE,0,1,measured
976,CF2A,0,1,measured
977,6A29,0,1,measured
981,6952,0,1,measured
983,5199,0,1,measured
984,975F,0,1,measured
987,370D,0,1,measured
