offset,seed,band,boots,how
6,099B,0,1,measured
7,3196,0,1,measured
8,7B03,0,1,measured
9,C3DB,0,1,measured
10,0D0E,0,1,measured
11,565B,0,1,measured
12,9F92,0,1,measured
13,A14A,0,1,measured
14,C345,0,1,measured
15,0A75,0,1,measured
16,0A75,0,1,measured
17,54B7,0,1,measured
18,E6A2,0,1,measured
19,308F,0,1,measured
20,71ED,0,1,measured
21,C0B0,0,1,measured
22,DFC4,0,1,measured
23,1DD0,0,1,measured
24,661A,0,1,measured
25,AF63,0,1,measured
26,F8A8,0,1,measured
27,41E8,0,1,measured
28,6AA1,0,1,measured
29,7DC0,0,1,measured
30,C6FD,0,1,measured
31,0F57,0,1,measured
32,589B,0,1,measured
33,A1DB,0,1,measured
34,EB12,0,1,measured
35,306E,0,1,measured
36,7D9E,0,1,measured
37,7D9E,0,1,measured
38,C6D2,0,1,measured
39,100E,0,1,measured
40,0EDA,0,1,measured
41,325D,0,1,measured
42,7CB8,0,1,measured
43,C44A,0,1,measured
44,0FD5,0,1,measured
45,5580,0,1,measured
46,A678,0,1,measured
47,EC54,0,1,measured
48,3562,0,1,measured
49,76EA,0,1,measured
50,B532,0,1,measured
51,F537,0,1,measured
52,485A,0,1,measured
53,9228,0,1,measured
54,DA27,0,1,measured
55,2325,0,1,measured
56,9B31,0,1,measured
57,E429,0,1,measured
58,30D1,0,1,measured
59,7649,0,1,measured
60,BEF2,0,1,measured
61,0687,0,1,measured
62,4F9D,0,1,measured
63,78A2,0,1,measured
64,380E,0,1,measured
65,53B3,0,1,measured
66,A2F4,0,1,measured
67,EA52,0,1,measured
68,34AF,0,1,measured
69,7C82,0,1,measured
70,C66C,0,1,measured
71,1071,0,1,measured
72,5A01,0,1,measured
73,CEA6,0,1,measured
74,ED25,0,1,measured
75,3473,0,1,measured
76,7EC1,0,1,measured
77,C67D,0,1,measured
78,106D,0,1,measured
79,5A78,0,1,measured
80,9F54,0,1,measured
81,E940,0,1,measured
82,5E2B,0,1,measured
83,7EF6,0,1,measured
