offset,seed,band,boots,how
18,E6B3,0,1,measured
19,3099,0,1,measured
20,71FD,0,1,measured
23,1DD2,0,1,measured
25,AF6C,0,1,measured
26,F8B0,0,1,measured
27,41F0,0,1,measured
28,6AAA,0,1,measured
29,7DBF,0,1,measured
30,C6FF,0,1,measured
36,7D9A,0,1,measured
37,7D9A,0,1,measured
40,0EE7,0,1,measured
42,7CCD,0,1,measured
43,C451,0,1,measured
44,0FE5,0,1,measured
47,EC5F,0,1,measured
49,76E9,0,1,measured
51,F53F,0,1,measured
53,9230,0,1,measured
55,2336,0,1,measured
56,9B30,0,1,measured
60,BEF0,0,1,measured
61,0690,0,1,measured
62,4FA5,0,1,measured
65,53B3,0,1,measured
66,A304,0,1,measured
67,EA64,0,1,measured
74,ED30,0,1,measured
75,347D,0,1,measured
76,7ED2,0,1,measured
77,C66C,0,1,measured
79,5A87,0,1,measured
82,5E3D,0,1,measured
83,7F01,0,1,measured
84,C983,0,1,measured
85,10DB,0,1,measured
90,35D7,0,1,measured
94,5C2E,0,1,measured
95,E982,0,1,measured
96,3831,0,1,measured
99,3E15,0,1,measured
101,A800,0,1,measured
106,15C2,0,1,measured
107,87FA,0,1,measured
108,A68C,0,1,measured
109,F0FA,0,1,measured
112,82B4,0,1,measured
115,5E8A,0,1,measured
116,A809,0,1,measured
118,3544,0,1,measured
119,808E,0,1,measured
120,C72A,0,1,measured
122,A2ED,0,1,measured
123,EBE0,0,1,measured
125,7298,0,1,measured
126,B435,0,1,measured
132,7096,0,1,measured
137,DE48,0,1,measured
143,A921,0,1,measured
144,F4C2,0,1,measured
151,ED17,0,1,measured
154,F852,0,1,measured
155,1C37,0,1,measured
157,B3A3,0,1,measured
158,FBE5,0,1,measured
159,4582,0,1,measured
160,8EC2,0,1,measured
161,D861,0,1,measured
162,1EF6,0,1,measured
164,94E7,0,1,measured
167,A3B5,0,1,measured
168,BB44,0,1,measured
169,04A1,0,1,measured
172,DF15,0,1,measured
173,285E,0,1,measured
176,E483,0,1,measured
179,A52F,0,1,measured
180,5834,0,1,measured
181,8943,0,1,measured
186,F4D0,0,1,measured
190,1BC9,0,1,measured
192,AF16,0,1,measured
196,D94D,0,1,measured
198,6921,0,1,measured
200,F002,0,1,measured
202,8353,0,1,measured
203,C4CE,0,1,measured
204,0A4A,0,1,measured
205,53B0,0,1,measured
206,D5CA,0,1,measured
207,08C5,0,1,measured
209,9D96,0,1,measured
214,05E8,0,1,measured
216,7B8C,0,1,measured
217,C0FC,0,1,measured
218,0A5A,0,1,measured
221,FB47,0,1,measured
228,D84B,0,1,measured
231,A843,0,1,measured
235,CB32,0,1,measured
236,13C4,0,1,measured
237,5D0A,0,1,measured
239,EF7C,0,1,measured
240,38D7,0,1,measured
242,8E79,0,1,measured
244,A53B,0,1,measured
246,03DD,0,1,measured
249,DF28,0,1,measured
252,BAC4,0,1,measured
253,FC0E,0,1,measured
258,986C,0,1,measured
259,E18D,0,1,measured
261,7471,0,1,measured
262,BC73,0,1,measured
263,068A,0,1,measured
264,4EEF,0,1,measured
265,9903,0,1,measured
266,9903,0,1,measured
273,9D65,0,1,measured
278,0B36,0,1,measured
279,5481,0,1,measured
283,DA7D,0,1,measured
284,03DB,0,1,measured
285,4D54,0,1,measured
286,9593,0,1,measured
290,B6A6,0,1,measured
291,0462,0,1,measured
293,966B,0,1,measured
295,2949,0,1,measured
296,8F9E,0,1,measured
297,BFAA,0,1,measured
299,A75E,0,1,measured
300,F0B4,0,1,measured
301,39A6,0,1,measured
303,BCEF,0,1,measured
305,FA57,0,1,measured
308,CEFB,0,1,measured
309,4F22,0,1,measured
310,7B24,0,1,measured
312,0CC6,0,1,measured
315,FD06,0,1,measured
318,F75D,0,1,measured
321,06EE,0,1,measured
327,4E14,0,1,measured
329,E0B3,0,1,measured
330,2911,0,1,measured
331,6C24,0,1,measured
332,A900,0,1,measured
333,F1F0,0,1,measured
334,3B2E,0,1,measured
337,6C93,0,1,measured
338,B51C,0,1,measured
339,FE71,0,1,measured
347,2083,0,1,measured
348,51A9,0,1,measured
351,3409,0,1,measured
353,C34B,0,1,measured
354,10F7,0,1,measured
355,A193,0,1,measured
358,7179,0,1,measured
359,DCBC,0,1,measured
363,AD5A,0,1,measured
364,F361,0,1,measured
367,D37F,0,1,measured
368,192C,0,1,measured
372,2175,0,1,measured
374,21DC,0,1,measured
375,6A16,0,1,measured
376,B345,0,1,measured
382,DD9B,0,1,measured
389,0EEF,0,1,measured
393,895A,0,1,measured
394,CEA1,0,1,measured
398,010D,0,1,measured
401,81E5,0,1,measured
404,5DA4,0,1,measured
405,A64A,0,1,measured
407,38B7,0,1,measured
409,B8AA,0,1,measured
410,F850,0,1,measured
411,4B62,0,1,measured
412,0415,0,1,measured
414,9656,0,1,measured
419,B18B,0,1,measured
420,FAAD,0,1,measured
422,6CEB,0,1,measured
423,B5AB,0,1,measured
424,3247,0,1,measured
429,7854,0,1,measured
431,6069,0,1,measured
432,A286,0,1,measured
435,6557,0,1,measured
438,F7D0,0,1,measured
439,4114,0,1,measured
440,8687,0,1,measured
441,D39F,0,1,measured
442,1CD3,0,1,measured
443,66AE,0,1,measured
445,F89C,0,1,measured
446,25FF,0,1,measured
447,5589,0,1,measured
448,9EC0,0,1,measured
451,2117,0,1,measured
453,B179,0,1,measured
455,3C00,0,1,measured
458,CDFD,0,1,measured
459,0F89,0,1,measured
460,5108,0,1,measured
461,967B,0,1,measured
462,DFEE,0,1,measured
465,CFED,0,1,measured
466,2927,0,1,measured
467,640D,0,1,measured
469,4398,0,1,measured
470,94BC,0,1,measured
472,15C1,0,1,measured
473,4A84,0,1,measured
474,94C8,0,1,measured
476,EF4E,0,1,measured
477,2212,0,1,measured
479,B425,0,1,measured
481,465B,0,1,measured
484,214A,0,1,measured
485,4B81,0,1,measured
488,C870,0,1,measured
498,3CA4,0,1,measured
499,862E,0,1,measured
500,CA70,0,1,measured
501,1764,0,1,measured
503,A7CE,0,1,measured
505,3B67,0,1,measured
506,8341,0,1,measured
507,2313,0,1,measured
509,BD44,0,1,measured
510,DC11,0,1,measured
511,0E40,0,1,measured
514,E915,0,1,measured
515,139C,0,1,measured
517,AAD4,0,1,measured
518,F3E8,0,1,measured
520,8681,0,1,measured
521,E9E6,0,1,measured
522,1823,0,1,measured
523,62AB,0,1,measured
525,F399,0,1,measured
526,BBF6,0,1,measured
527,E187,0,1,measured
528,2A85,0,1,measured
530,B06F,0,1,measured
531,F939,0,1,measured
534,8C38,0,1,measured
536,1600,0,1,measured
537,5561,0,1,measured
538,9D4A,0,1,measured
541,78BF,0,1,measured
543,0BE4,0,1,measured
544,546E,0,1,measured
548,ADFC,0,1,measured
549,D1E2,0,1,measured
562,89CA,0,1,measured
563,C7DB,0,1,measured
565,DD45,0,1,measured
566,0B5D,0,1,measured
569,DA75,0,1,measured
572,6D4E,0,1,measured
575,2715,0,1,measured
577,BDB4,0,1,measured
578,06E8,0,1,measured
579,8861,0,1,measured
581,07D1,0,1,measured
582,518D,0,1,measured
583,EF15,0,1,measured
584,37AA,0,1,measured
586,AB8A,0,1,measured
587,CC16,0,1,measured
588,FAD5,0,1,measured
590,3F5D,0,1,measured
591,8D31,0,1,measured
592,4560,0,1,measured
593,6F3F,0,1,measured
596,4A98,0,1,measured
597,943B,0,1,measured
598,FE7C,0,1,measured
601,B869,0,1,measured
602,5798,0,1,measured
603,BB86,0,1,measured
604,E360,0,1,measured
605,3130,0,1,measured
606,7086,0,1,measured
607,BA51,0,1,measured
612,DBE1,0,1,measured
614,3E67,0,1,measured
615,85A1,0,1,measured
618,A1C4,0,1,measured
619,EAD1,0,1,measured
620,2DB3,0,1,measured
621,D23B,0,1,measured
622,1B6E,0,1,measured
623,65A7,0,1,measured
624,AA23,0,1,measured
625,C86B,0,1,measured
626,F3DE,0,1,measured
628,3B31,0,1,measured
631,4541,0,1,measured
635,64C1,0,1,measured
636,B294,0,1,measured
639,4F53,0,1,measured
640,E098,0,1,measured
641,29E9,0,1,measured
642,975F,0,1,measured
643,DCDC,0,1,measured
644,1AC5,0,1,measured
645,64BC,0,1,measured
648,F684,0,1,measured
649,4076,0,1,measured
652,E0B3,0,1,measured
653,0C55,0,1,measured
657,7970,0,1,measured
659,603B,0,1,measured
660,AB27,0,1,measured
661,F515,0,1,measured
666,FC1C,0,1,measured
667,44E2,0,1,measured
668,8E1C,0,1,measured
669,206B,0,1,measured
673,37C5,0,1,measured
677,5C0E,0,1,measured
678,E295,0,1,measured
679,24AE,0,1,measured
682,3C2B,0,1,measured
686,177A,0,1,measured
688,AB23,0,1,measured
689,F2D5,0,1,measured
690,3B53,0,1,measured
691,6A9E,0,1,measured
694,64D4,0,1,measured
695,9A4C,0,1,measured
699,19DB,0,1,measured
700,70DD,0,1,measured
706,C44D,0,1,measured
711,373E,0,1,measured
712,7F42,0,1,measured
713,C892,0,1,measured
715,5BC1,0,1,measured
717,5749,0,1,measured
718,9DD1,0,1,measured
721,54F3,0,1,measured
725,2C05,0,1,measured
726,78A7,0,1,measured
728,0C69,0,1,measured
735,636B,0,1,measured
738,3F13,0,1,measured
740,C451,0,1,measured
745,D7A2,0,1,measured
746,1FBA,0,1,measured
749,FB5A,0,1,measured
750,44AD,0,1,measured
752,D708,0,1,measured
753,205E,0,1,measured
754,9EF7,0,1,measured
757,6340,0,1,measured
759,3A65,0,1,measured
762,D02F,0,1,measured
766,F39F,0,1,measured
767,3CDB,0,1,measured
768,805D,0,1,measured
769,BCBE,0,1,measured
771,4F7D,0,1,measured
772,BDE8,0,1,measured
773,4E67,0,1,measured
774,98B9,0,1,measured
776,2A4A,0,1,measured
780,FB43,0,1,measured
781,2C0E,0,1,measured
783,BCB8,0,1,measured
785,659A,0,1,measured
786,B216,0,1,measured
791,2052,0,1,measured
794,183F,0,1,measured
795,60FB,0,1,measured
796,E111,0,1,measured
799,60B7,0,1,measured
800,A5F5,0,1,measured
802,46F4,0,1,measured
804,E2B8,0,1,measured
807,AA28,0,1,measured
808,F4C7,0,1,measured
809,3BC8,0,1,measured
810,9C41,0,1,measured
812,6E42,0,1,measured
813,B76F,0,1,measured
818,D09F,0,1,measured
821,B483,0,1,measured
823,4D51,0,1,measured
826,1F7B,0,1,measured
829,100F,0,1,measured
830,9ADB,0,1,measured
831,C3EB,0,1,measured
832,0C0A,0,1,measured
834,9223,0,1,measured
835,14DB,0,1,measured
837,393C,0,1,measured
838,8485,0,1,measured
841,5D2A,0,1,measured
844,3821,0,1,measured
846,B821,0,1,measured
847,00F8,0,1,measured
849,E60F,0,1,measured
850,2ECD,0,1,measured
851,78A1,0,1,measured
853,FF64,0,1,measured
854,7010,0,1,measured
858,2607,0,1,measured
859,5505,0,1,measured
860,9890,0,1,measured
865,3DE0,0,1,measured
869,B7F0,0,1,measured
870,F9B9,0,1,measured
871,375A,0,1,measured
872,7509,0,1,measured
875,1A5A,0,1,measured
876,69F6,0,1,measured
878,FC61,0,1,measured
879,45A8,0,1,measured
882,2213,0,1,measured
883,50DA,0,1,measured
886,2C10,0,1,measured
887,C8D1,0,1,measured
888,12F5,0,1,measured
891,E16C,0,1,measured
