offset,seed,band,boots,how
6,8364,0,1,measured
7,AB57,0,1,measured
8,F4D6,0,1,measured
9,3D99,0,1,measured
10,86DC,0,1,measured
11,D025,0,1,measured
12,1965,0,1,measured
13,18D3,0,1,measured
14,3B72,0,1,measured
15,85B8,0,1,measured
16,85B8,0,1,measured
17,CD3B,0,1,measured
18,6136,0,1,measured
19,A790,0,1,measured
20,EB99,0,1,measured
21,3968,0,1,measured
22,598D,0,1,measured
23,978E,0,1,measured
24,DFF3,0,1,measured
25,292D,0,1,measured
26,7272,0,1,measured
27,BBB2,0,1,measured
28,E474,0,1,measured
29,F783,0,1,measured
30,40C3,0,1,measured
31,891D,0,1,measured
32,D265,0,1,measured
33,1BA5,0,1,measured
34,64E3,0,1,measured
35,AA41,0,1,measured
36,F75C,0,1,measured
37,F75C,0,1,measured
38,40A1,0,1,measured
39,89DC,0,1,measured
40,885B,0,1,measured
41,ABF2,0,1,measured
42,F638,0,1,measured
43,3DF2,0,1,measured
44,883A,0,1,measured
45,CFF7,0,1,measured
46,1F0B,0,1,measured
47,685F,0,1,measured
48,AF24,0,1,measured
49,F117,0,1,measured
50,2EF9,0,1,measured
51,6EF8,0,1,measured
52,C201,0,1,measured
53,0BC0,0,1,measured
54,53E9,0,1,measured
55,9CF0,0,1,measured
56,14FA,0,1,measured
57,5DF3,0,1,measured
58,A854,0,1,measured
59,F29A,0,1,measured
60,3974,0,1,measured
61,8054,0,1,measured
62,C967,0,1,measured
63,F265,0,1,measured
64,B198,0,1,measured
65,CD39,0,1,measured
66,1C79,0,1,measured
67,640E,0,1,measured
68,AE4E,0,1,measured
69,F61A,0,1,measured
70,4032,0,1,measured
71,89F7,0,1,measured
72,D37C,0,1,measured
73,4630,0,1,measured
74,6542,0,1,measured
75,AFBE,0,1,measured
76,F74E,0,1,measured
77,418E,0,1,measured
78,8C51,0,1,measured
79,D402,0,1,measured
80,173F,0,1,measured
81,6300,0,1,measured
82,D7B2,0,1,measured
83,F88C,0,1,measured
84,42FF,0,1,measured
85,8A8E,0,1,measured
86,D4C4,0,1,measured
87,1D6E,0,1,measured
88,673C,0,1,measured
89,673C,0,1,measured
90,B05D,0,1,measured
91,2447,0,1,measured
92,43D8,0,1,measured
93,8E3B,0,1,measured
94,D869,0,1,measured
95,6392,0,1,measured
96,B1F2,0,1,measured
97,FBA1,0,1,measured
98,43F9,0,1,measured
99,B717,0,1,measured
100,D70B,0,1,measured
101,217C,0,1,measured
102,6917,0,1,measured
103,B34C,0,1,measured
104,FBF8,0,1,measured
105,45BB,0,1,measured
106,8EE5,0,1,measured
107,00E3,0,1,measured
108,232F,0,1,measured
109,68D1,0,1,measured
110,AE6C,0,1,measured
111,AE6C,0,1,measured
112,FAEE,0,1,measured
113,4498,0,1,measured
114,8E2D,0,1,measured
115,D7E0,0,1,measured
116,203D,0,1,measured
117,9588,0,1,measured
118,AED0,0,1,measured
119,F7DF,0,1,measured
120,4189,0,1,measured
121,D2E3,0,1,measured
122,1C27,0,1,measured
123,66E7,0,1,measured
124,ADEA,0,1,measured
125,EC42,0,1,measured
126,2DF6,0,1,measured
127,76CB,0,1,measured
128,BFF6,0,1,measured
129,1008,0,1,measured
130,52ED,0,1,measured
131,A068,0,1,measured
132,EA40,0,1,measured
133,2EA1,0,1,measured
134,7C30,0,1,measured
135,C5E1,0,1,measured
136,0EA9,0,1,measured
137,5808,0,1,measured
138,8336,0,1,measured
139,B151,0,1,measured
140,F0CD,0,1,measured
141,4430,0,1,measured
142,E9FA,0,1,measured
143,22E4,0,1,measured
144,6E63,0,1,measured
145,B6F4,0,1,measured
146,0035,0,1,measured
147,4997,0,1,measured
148,937B,0,1,measured
149,DCA8,0,1,measured
150,254D,0,1,measured
151,66D7,0,1,measured
152,A52E,0,1,measured
153,EE6F,0,1,measured
154,71D1,0,1,measured
155,95CD,0,1,measured
156,E37D,0,1,measured
157,2D32,0,1,measured
158,75A7,0,1,measured
159,BF05,0,1,measured
160,0845,0,1,measured
161,51EC,0,1,measured
162,98AD,0,1,measured
163,C539,0,1,measured
164,0EAD,0,1,measured
165,577F,0,1,measured
166,A0A2,0,1,measured
167,1D4A,0,1,measured
168,3672,0,1,measured
169,7E9C,0,1,measured
170,C222,0,1,measured
171,0F88,0,1,measured
172,58C7,0,1,measured
173,A26B,0,1,measured
174,EB3E,0,1,measured
175,33E6,0,1,measured
176,5F5F,0,1,measured
177,8D22,0,1,measured
178,D628,0,1,measured
179,2014,0,1,measured
180,D1BF,0,1,measured
181,02CF,0,1,measured
182,4BEF,0,1,measured
183,963F,0,1,measured
184,DE93,0,1,measured
185,2028,0,1,measured
186,6E88,0,1,measured
187,D30F,0,1,measured
188,0399,0,1,measured
189,4CB0,0,1,measured
190,9582,0,1,measured
191,DEF7,0,1,measured
192,28A6,0,1,measured
193,93A3,0,1,measured
194,BA3D,0,1,measured
195,06F4,0,1,measured
196,5306,0,1,measured
197,9948,0,1,measured
198,E2F2,0,1,measured
199,2D67,0,1,measured
200,69C3,0,1,measured
201,BB79,0,1,measured
202,FD15,0,1,measured
203,3E9A,0,1,measured
204,8412,0,1,measured
205,CD6E,0,1,measured
206,4F53,0,1,measured
207,8258,0,1,measured
208,CB63,0,1,measured
209,1751,0,1,measured
210,5DAD,0,1,measured
211,A770,0,1,measured
212,F1CF,0,1,measured
213,36A6,0,1,measured
214,7FAF,0,1,measured
215,9FCB,0,1,measured
216,F54E,0,1,measured
217,3AC6,0,1,measured
218,8426,0,1,measured
219,072C,0,1,measured
220,2BB1,0,1,measured
221,74D4,0,1,measured
222,BE86,0,1,measured
223,0700,0,1,measured
224,4FD6,0,1,measured
225,98FE,0,1,measured
226,E2CB,0,1,measured
227,2B93,0,1,measured
228,522D,0,1,measured
229,8F3E,0,1,measured
230,D332,0,1,measured
231,20D7,0,1,measured
232,6D1D,0,1,measured
233,B242,0,1,measured
234,FB10,0,1,measured
235,44D2,0,1,measured
236,8D8D,0,1,measured
237,D6C2,0,1,measured
238,209F,0,1,measured
239,6941,0,1,measured
240,B28B,0,1,measured
241,DD66,0,1,measured
242,08CB,0,1,measured
243,521A,0,1,measured
244,1ED8,0,1,measured
245,2F98,0,1,measured
246,7D87,0,1,measured
247,C73A,0,1,measured
248,0ECE,0,1,measured
249,58CA,0,1,measured
250,A154,0,1,measured
251,EBA6,0,1,measured
252,3467,0,1,measured
253,7589,0,1,measured
254,B3C6,0,1,measured
255,FCAE,0,1,measured
256,45CE,0,1,measured
257,DC0B,0,1,measured
258,12F8,0,1,measured
259,5B33,0,1,measured
260,A0B9,0,1,measured
261,ECF8,0,1,measured
262,36EF,0,1,measured
263,7F78,0,1,measured
264,C96F,0,1,measured
265,11E6,0,1,measured
266,11E6,0,1,measured
267,3FF8,0,1,measured
268,9676,0,1,measured
269,D583,0,1,measured
270,1EC6,0,1,measured
271,9271,0,1,measured
272,CF43,0,1,measured
273,171F,0,1,measured
274,6025,0,1,measured
275,A939,0,1,measured
276,EE88,0,1,measured
277,3BC0,0,1,measured
278,84FB,0,1,measured
279,CE3C,0,1,measured
280,13D9,0,1,measured
281,5C6B,0,1,measured
282,A303,0,1,measured
283,522D,0,1,measured
284,7D66,0,1,measured
285,C677,0,1,measured
286,0F5E,0,1,measured
287,58D3,0,1,measured
288,A262,0,1,measured
289,051E,0,1,measured
290,3041,0,1,measured
291,7DF7,0,1,measured
292,C7A8,0,1,measured
293,1026,0,1,measured
294,599A,0,1,measured
295,A2DA,0,1,measured
296,0920,0,1,measured
297,3937,0,1,measured
298,D6E1,0,1,measured
299,20F3,0,1,measured
300,6A08,0,1,measured
301,AFCC,0,1,measured
302,ED72,0,1,measured
303,36B1,0,1,measured
304,7418,0,1,measured
305,7418,0,1,measured
306,B6A8,0,1,measured
307,FF73,0,1,measured
308,48BE,0,1,measured
309,C8AF,0,1,measured
310,F4AE,0,1,measured
311,3DCB,0,1,measured
312,8688,0,1,measured
313,D029,0,1,measured
314,19B2,0,1,measured
315,77A2,0,1,measured
316,AADC,0,1,measured
317,282D,0,1,measured
318,7114,0,1,measured
319,B5A2,0,1,measured
320,030A,0,1,measured
321,807A,0,1,measured
322,A3B6,0,1,measured
323,ECC2,0,1,measured
324,ECC2,0,1,measured
325,366D,0,1,measured
326,7F08,0,1,measured
327,C7BD,0,1,measured
328,1104,0,1,measured
329,5ACA,0,1,measured
330,A38F,0,1,measured
331,E4AB,0,1,measured
332,23EB,0,1,measured
333,6BFA,0,1,measured
334,B4F0,0,1,measured
335,F9A4,0,1,measured
336,9C56,0,1,measured
337,E640,0,1,measured
338,2EDB,0,1,measured
339,7831,0,1,measured
340,B61D,0,1,measured
341,FECC,0,1,measured
342,2A85,0,1,measured
343,2A85,0,1,measured
344,57C8,0,1,measured
