offset,seed,band,boots,how
13,18D3,0,1,measured
20,EB99,0,1,measured
23,978E,0,1,measured
24,DFF3,0,1,measured
31,891D,0,1,measured
35,AA41,0,1,measured
41,ABF2,0,1,measured
46,1F0B,0,1,measured
48,AF24,0,1,measured
51,6EF8,0,1,measured
52,C201,0,1,measured
56,14FA,0,1,measured
57,5DF3,0,1,measured
58,A854,0,1,measured
59,F29A,0,1,measured
60,3974,0,1,measured
61,8054,0,1,measured
62,C967,0,1,measured
63,F265,0,1,measured
64,B198,0,1,measured
67,640E,0,1,measured
70,4032,0,1,measured
71,89F7,0,1,measured
72,D37C,0,1,measured
73,4630,0,1,measured
75,AFBE,0,1,measured
76,F74E,0,1,measured
78,8C51,0,1,measured
79,D402,0,1,measured
80,173F,0,1,measured
82,D7B2,0,1,measured
85,8A8E,0,1,measured
86,D4C4,0,1,measured
87,1D6E,0,1,measured
88,673C,0,1,measured
89,673C,0,1,measured
90,B05D,0,1,measured
91,2447,0,1,measured
93,8E3B,0,1,measured
94,D869,0,1,measured
95,6392,0,1,measured
96,B1F2,0,1,measured
97,FBA1,0,1,measured
99,B717,0,1,measured
100,D70B,0,1,measured
103,B34C,0,1,measured
104,FBF8,0,1,measured
105,45BB,0,1,measured
107,00E3,0,1,measured
108,232F,0,1,measured
112,FAEE,0,1,measured
113,4498,0,1,measured
114,8E2D,0,1,measured
117,9588,0,1,measured
118,AED0,0,1,measured
120,4189,0,1,measured
121,D2E3,0,1,measured
122,1C27,0,1,measured
124,ADEA,0,1,measured
127,76CB,0,1,measured
129,1008,0,1,measured
130,52ED,0,1,measured
131,A068,0,1,measured
133,2EA1,0,1,measured
136,0EA9,0,1,measured
138,8336,0,1,measured
142,E9FA,0,1,measured
143,22E4,0,1,measured
144,6E63,0,1,measured
149,DCA8,0,1,measured
150,254D,0,1,measured
153,EE6F,0,1,measured
156,E37D,0,1,measured
157,2D32,0,1,measured
158,75A7,0,1,measured
165,577F,0,1,measured
166,A0A2,0,1,measured
167,1D4A,0,1,measured
168,3672,0,1,measured
169,7E9C,0,1,measured
171,0F88,0,1,measured
175,33E6,0,1,measured
178,D628,0,1,measured
179,2014,0,1,measured
180,D1BF,0,1,measured
182,4BEF,0,1,measured
185,2028,0,1,measured
187,D30F,0,1,measured
192,28A6,0,1,measured
193,93A3,0,1,measured
194,BA3D,0,1,measured
196,5306,0,1,measured
197,9948,0,1,measured
198,E2F2,0,1,measured
199,2D67,0,1,measured
204,8412,0,1,measured
205,CD6E,0,1,measured
206,4F53,0,1,measured
207,8258,0,1,measured
208,CB63,0,1,measured
210,5DAD,0,1,measured
211,A770,0,1,measured
212,F1CF,0,1,measured
213,36A6,0,1,measured
