offset,seed,band,boots,how
6,8365,0,1,measured
7,AB4E,0,1,measured
8,F4CD,0,1,measured
9,3D98,0,1,measured
10,86DC,0,1,measured
11,D013,0,1,measured
12,1953,0,1,measured
13,18C2,0,1,measured
14,3B5C,0,1,measured
15,85B8,0,1,measured
16,85B8,0,1,measured
17,CD38,0,1,measured
18,6139,0,1,measured
19,A788,0,1,measured
20,EB90,0,1,measured
21,395E,0,1,measured
22,597B,0,1,measured
23,978E,0,1,measured
24,DFE8,0,1,measured
25,2925,0,1,measured
26,7269,0,1,measured
27,BBA0,0,1,measured
28,E462,0,1,measured
29,F783,0,1,measured
30,40B1,0,1,measured
31,8913,0,1,measured
32,D253,0,1,measured
33,1B93,0,1,measured
34,64D1,0,1,measured
35,AA37,0,1,measured
36,F75F,0,1,measured
37,F75F,0,1,measured
38,408F,0,1,measured
39,89DC,0,1,measured
40,8846,0,1,measured
41,ABEA,0,1,measured
42,F638,0,1,measured
43,3DF4,0,1,measured
44,882B,0,1,measured
45,CFEE,0,1,measured
46,1EF7,0,1,measured
47,684C,0,1,measured
48,AF1B,0,1,measured
49,F117,0,1,measured
50,2EF9,0,1,measured
51,6EEF,0,1,measured
52,C202,0,1,measured
53,0BC2,0,1,measured
54,53E8,0,1,measured
55,9CF0,0,1,measured
56,14F1,0,1,measured
57,5DE1,0,1,measured
58,A843,0,1,measured
59,F288,0,1,measured
60,3975,0,1,measured
61,8054,0,1,measured
62,C95E,0,1,measured
63,F267,0,1,measured
64,B181,0,1,measured
65,CD31,0,1,measured
66,1C77,0,1,measured
67,63FA,0,1,measured
68,AE38,0,1,measured
69,F62B,0,1,measured
70,4021,0,1,measured
71,89E5,0,1,measured
72,D37C,0,1,measured
73,461E,0,1,measured
74,6543,0,1,measured
75,AFAF,0,1,measured
76,F742,0,1,measured
77,4177,0,1,measured
78,8C50,0,1,measured
79,D3F9,0,1,measured
80,1735,0,1,measured
81,62F7,0,1,measured
82,D7A1,0,1,measured
83,F884,0,1,measured
84,42EE,0,1,measured
85,8A85,0,1,measured
86,D4B5,0,1,measured
87,1D6C,0,1,measured
88,6734,0,1,measured
89,6734,0,1,measured
90,B05C,0,1,measured
91,2448,0,1,measured
92,43CF,0,1,measured
93,8E36,0,1,measured
94,D85F,0,1,measured
95,6394,0,1,measured
96,B1EA,0,1,measured
97,FB9C,0,1,measured
98,43EF,0,1,measured
99,B708,0,1,measured
100,D70A,0,1,measured
101,216B,0,1,measured
102,6907,0,1,measured
103,B34A,0,1,measured
104,FBF4,0,1,measured
105,45AC,0,1,measured
106,8EDC,0,1,measured
107,00E3,0,1,measured
108,2325,0,1,measured
109,68C8,0,1,measured
110,AE5A,0,1,measured
111,AE5A,0,1,measured
112,FADB,0,1,measured
113,4486,0,1,measured
114,8E1C,0,1,measured
115,D7E5,0,1,measured
116,203E,0,1,measured
117,9578,0,1,measured
118,AEBE,0,1,measured
119,F7D5,0,1,measured
120,4177,0,1,measured
121,D2DA,0,1,measured
122,1C1E,0,1,measured
123,66E9,0,1,measured
124,ADED,0,1,measured
125,EC39,0,1,measured
126,2DF9,0,1,measured
127,76C9,0,1,measured
128,BFF6,0,1,measured
129,0FFF,0,1,measured
130,52E4,0,1,measured
131,A060,0,1,measured
132,EA37,0,1,measured
133,2E9F,0,1,measured
134,7C30,0,1,measured
135,C5D9,0,1,measured
136,0E98,0,1,measured
137,580B,0,1,measured
138,8334,0,1,measured
139,B148,0,1,measured
140,F0BA,0,1,measured
141,4421,0,1,measured
142,E9F0,0,1,measured
143,22E5,0,1,measured
144,6E54,0,1,measured
145,B6EA,0,1,measured
