offset,seed,band,boots,how
268,966B,0,1,measured
269,D58B,0,1,measured
270,1ECF,0,1,measured
271,9270,0,1,measured
272,CF3A,0,1,measured
273,1726,0,1,measured
274,6026,0,1,measured
275,A937,0,1,measured
276,EE92,0,1,measured
277,3BC0,0,1,measured
278,8501,0,1,measured
279,CE39,0,1,measured
280,13D7,0,1,measured
281,5C61,0,1,measured
282,A30B,0,1,measured
283,522D,0,1,measured
284,7D68,0,1,measured
285,C66D,0,1,measured
286,0F5D,0,1,measured
287,58D1,0,1,measured
288,A25D,0,1,measured
289,0516,0,1,measured
290,3036,0,1,measured
291,7DF9,0,1,measured
292,C7B2,0,1,measured
293,1028,0,1,measured
294,5990,0,1,measured
295,A2D7,0,1,measured
296,0926,0,1,measured
297,393B,0,1,measured
298,D6D6,0,1,measured
299,20EB,0,1,measured
300,6A05,0,1,measured
301,AFD4,0,1,measured
302,ED71,0,1,measured
303,36B9,0,1,measured
304,7422,0,1,measured
305,7417,0,1,measured
306,B6AF,0,1,measured
307,FF7A,0,1,measured
308,48C0,0,1,measured
309,C8A6,0,1,measured
310,F4AE,0,1,measured
311,3DC9,0,1,measured
312,8693,0,1,measured
313,D02B,0,1,measured
314,19B1,0,1,measured
315,77AB,0,1,measured
316,AADB,0,1,measured
317,282C,0,1,measured
318,711B,0,1,measured
319,B5A0,0,1,measured
320,0309,0,1,measured
321,8082,0,1,measured
322,A3BC,0,1,measured
323,ECC2,0,1,measured
324,ECB9,0,1,measured
325,3662,0,1,measured
326,7EFE,0,1,measured
327,C7C4,0,1,measured
328,10FB,0,1,measured
329,5AD3,0,1,measured
330,A385,0,1,measured
331,E4B0,0,1,measured
332,23EA,0,1,measured
333,6BF9,0,1,measured
334,B4E6,0,1,measured
335,F9A2,0,1,measured
336,9C57,0,1,measured
337,E63F,0,1,measured
338,2ED9,0,1,measured
339,7832,0,1,measured
340,B625,0,1,measured
341,FED5,0,1,measured
342,2A89,0,1,measured
343,2A89,0,1,measured
344,57C6,0,1,measured
345,A169,0,1,measured
346,EA2E,0,1,measured
347,9990,0,1,measured
348,CC46,0,1,measured
349,180F,0,1,measured
350,5481,0,1,measured
351,ADCB,0,1,measured
352,F3B1,0,1,measured
353,3D19,0,1,measured
354,8A99,0,1,measured
355,1B5F,0,1,measured
356,5B21,0,1,measured
357,A1BF,0,1,measured
358,EB3C,0,1,measured
359,55DB,0,1,measured
360,921F,0,1,measured
361,DB2B,0,1,measured
362,DB2A,0,1,measured
363,2764,0,1,measured
364,6D20,0,1,measured
365,A8E0,0,1,measured
366,FFB0,0,1,measured
367,4D27,0,1,measured
368,92C4,0,1,measured
369,BF63,0,1,measured
370,0C20,0,1,measured
371,51C3,0,1,measured
372,9B38,0,1,measured
373,1AA6,0,1,measured
374,9B26,0,1,measured
375,E491,0,1,measured
376,2D0F,0,1,measured
377,7723,0,1,measured
378,95C3,0,1,measured
379,D9E5,0,1,measured
380,2758,0,1,measured
381,2758,0,1,measured
382,5734,0,1,measured
383,81F9,0,1,measured
384,CB09,0,1,measured
385,13DA,0,1,measured
386,BB43,0,1,measured
387,F641,0,1,measured
388,3F67,0,1,measured
389,893A,0,1,measured
390,D1DB,0,1,measured
391,1B1E,0,1,measured
392,7511,0,1,measured
393,031F,0,1,measured
394,484F,0,1,measured
395,95AF,0,1,measured
396,DED9,0,1,measured
397,1C5E,0,1,measured
398,7ACE,0,1,measured
399,B1E2,0,1,measured
400,B1E2,0,1,measured
401,FB81,0,1,measured
402,4447,0,1,measured
403,8D7C,0,1,measured
404,D6BE,0,1,measured
405,2095,0,1,measured
406,69D6,0,1,measured
407,B276,0,1,measured
408,F471,0,1,measured
409,326C,0,1,measured
410,7211,0,1,measured
411,C504,0,1,measured
412,7DD6,0,1,measured
413,C704,0,1,measured
414,1014,0,1,measured
415,596C,0,1,measured
416,978C,0,1,measured
417,ED61,0,1,measured
418,2BE8,0,1,measured
419,2BE8,0,1,measured
420,746C,0,1,measured
421,9D34,0,1,measured
422,E6AA,0,1,measured
423,2FB9,0,1,measured
424,ABC7,0,1,measured
425,C956,0,1,measured
426,16E9,0,1,measured
427,60A7,0,1,measured
428,A908,0,1,measured
429,F201,0,1,measured
430,3B46,0,1,measured
431,DA14,0,1,measured
432,1AFF,0,1,measured
433,59B7,0,1,measured
434,A1AB,0,1,measured
435,DF13,0,1,measured
436,298D,0,1,measured
437,71D0,0,1,measured
438,71D0,0,1,measured
439,BAD8,0,1,measured
440,0038,0,1,measured
441,4D59,0,1,measured
442,9693,0,1,measured
443,E051,0,1,measured
444,2918,0,1,measured
445,7266,0,1,measured
446,9FB9,0,1,measured
447,CF33,0,1,measured
448,181F,0,1,measured
449,6076,0,1,measured
450,4E8A,0,1,measured
451,9A27,0,1,measured
452,E654,0,1,measured
453,2B37,0,1,measured
454,5E48,0,1,measured
455,B5AA,0,1,measured
456,01F2,0,1,measured
457,01F2,0,1,measured
458,47BC,0,1,measured
459,8953,0,1,measured
460,CAC2,0,1,measured
461,1045,0,1,measured
462,59AF,0,1,measured
463,CA8B,0,1,measured
464,0642,0,1,measured
465,4A8F,0,1,measured
466,A2B7,0,1,measured
467,DD97,0,1,measured
468,282F,0,1,measured
469,BD24,0,1,measured
470,0E43,0,1,measured
471,3B93,0,1,measured
472,8F40,0,1,measured
473,C410,0,1,measured
474,0E4C,0,1,measured
475,68CD,0,1,measured
476,68CD,0,1,measured
477,9BA7,0,1,measured
478,E4E3,0,1,measured
479,2E90,0,1,measured
480,7728,0,1,measured
481,C008,0,1,measured
482,092C,0,1,measured
483,53E9,0,1,measured
484,9B02,0,1,measured
485,C526,0,1,measured
486,BCBC,0,1,measured
487,0624,0,1,measured
488,422C,0,1,measured
489,7800,0,1,measured
490,C113,0,1,measured
491,0AF9,0,1,measured
492,51E5,0,1,measured
493,91D1,0,1,measured
494,F5D5,0,1,measured
495,F5D5,0,1,measured
496,2509,0,1,measured
497,6D65,0,1,measured
498,B74F,0,1,measured
499,FFCD,0,1,measured
500,4419,0,1,measured
501,9125,0,1,measured
502,F4C3,0,1,measured
503,2197,0,1,measured
504,6A92,0,1,measured
505,B3E9,0,1,measured
506,FD08,0,1,measured
507,9BE1,0,1,measured
508,E5AD,0,1,measured
509,36C3,0,1,measured
510,559E,0,1,measured
511,87C2,0,1,measured
512,D1F0,0,1,measured
513,625B,0,1,measured
514,625B,0,1,measured
515,8D3C,0,1,measured
