offset,seed,band,boots,how
6,8364,0,1,measured
7,AB57,0,1,measured
8,F4D6,0,1,measured
9,3D99,0,1,measured
10,86DC,0,1,measured
11,D025,0,1,measured
12,1965,0,1,measured
13,191E,0,1,measured
14,3BA8,0,1,measured
15,860C,0,1,measured
16,860C,0,1,measured
17,CD3D,0,1,measured
18,6186,0,1,measured
19,A790,0,1,measured
20,EBB6,0,1,measured
21,3986,0,1,measured
22,5988,0,1,measured
23,978D,0,1,measured
24,DFF3,0,1,measured
25,292D,0,1,measured
26,7272,0,1,measured
27,BBB2,0,1,measured
28,E474,0,1,measured
29,F783,0,1,measured
30,40C3,0,1,measured
31,891D,0,1,measured
32,D265,0,1,measured
33,1BA5,0,1,measured
34,64E3,0,1,measured
35,AA41,0,1,measured
36,F75C,0,1,measured
37,F75C,0,1,measured
38,40A1,0,1,measured
39,89DC,0,1,measured
40,88A7,0,1,measured
41,AC28,0,1,measured
42,F68C,0,1,measured
43,3E10,0,1,measured
44,8867,0,1,measured
45,D009,0,1,measured
46,1F0B,0,1,measured
47,688B,0,1,measured
48,AF24,0,1,measured
49,F117,0,1,measured
50,2EF9,0,1,measured
51,6EF8,0,1,measured
52,C217,0,1,measured
53,0BF7,0,1,measured
54,53F0,0,1,measured
55,9CF8,0,1,measured
56,14F0,0,1,measured
57,5DF3,0,1,measured
58,A854,0,1,measured
59,F2C8,0,1,measured
60,399C,0,1,measured
61,8054,0,1,measured
62,C967,0,1,measured
63,F265,0,1,measured
64,B1E4,0,1,measured
65,CD72,0,1,measured
66,1CCE,0,1,measured
67,6423,0,1,measured
68,AE80,0,1,measured
69,F64C,0,1,measured
70,4032,0,1,measured
71,8A41,0,1,measured
72,D3C3,0,1,measured
73,467A,0,1,measured
74,6576,0,1,measured
75,B00E,0,1,measured
76,F762,0,1,measured
77,41C0,0,1,measured
78,8CA1,0,1,measured
79,D454,0,1,measured
80,176C,0,1,measured
81,6308,0,1,measured
82,D7F6,0,1,measured
83,F8C3,0,1,measured
84,434E,0,1,measured
85,8AA3,0,1,measured
86,D4FD,0,1,measured
87,1D71,0,1,measured
88,6789,0,1,measured
89,6789,0,1,measured
90,B0AF,0,1,measured
91,2495,0,1,measured
92,4403,0,1,measured
93,8E89,0,1,measured
94,D8BB,0,1,measured
95,63A7,0,1,measured
96,B1E5,0,1,measured
97,FBE8,0,1,measured
98,442D,0,1,measured
99,B75F,0,1,measured
100,D742,0,1,measured
101,21CA,0,1,measured
102,692D,0,1,measured
103,B382,0,1,measured
104,FBFD,0,1,measured
105,45FE,0,1,measured
106,8F32,0,1,measured
107,0137,0,1,measured
108,23B2,0,1,measured
109,68F2,0,1,measured
110,AEA0,0,1,measured
111,AEA0,0,1,measured
112,FB04,0,1,measured
113,44AD,0,1,measured
114,8E1E,0,1,measured
115,D82F,0,1,measured
116,2073,0,1,measured
117,95BA,0,1,measured
118,AEFD,0,1,measured
119,F80D,0,1,measured
120,41BD,0,1,measured
121,D2FC,0,1,measured
122,1C3E,0,1,measured
123,6721,0,1,measured
124,ADEA,0,1,measured
125,EC57,0,1,measured
126,2DFE,0,1,measured
127,76C9,0,1,measured
128,BFF6,0,1,measured
129,1000,0,1,measured
130,52E3,0,1,measured
131,A068,0,1,measured
132,EA58,0,1,measured
133,2EA8,0,1,measured
134,7C30,0,1,measured
135,C600,0,1,measured
136,0EA9,0,1,measured
137,580B,0,1,measured
138,834D,0,1,measured
139,B15A,0,1,measured
140,F0C4,0,1,measured
141,4445,0,1,measured
142,E9F3,0,1,measured
143,22E6,0,1,measured
144,6E83,0,1,measured
145,B6F4,0,1,measured
146,003F,0,1,measured
147,4997,0,1,measured
148,9391,0,1,measured
149,DCCA,0,1,measured
150,2556,0,1,measured
151,66D7,0,1,measured
152,A52E,0,1,measured
153,EE6F,0,1,measured
154,7208,0,1,measured
155,95F8,0,1,measured
156,E3AA,0,1,measured
157,2D60,0,1,measured
158,759E,0,1,measured
159,BF44,0,1,measured
160,0884,0,1,measured
161,522A,0,1,measured
162,98AD,0,1,measured
163,C53A,0,1,measured
164,0EAD,0,1,measured
165,577F,0,1,measured
166,A0AA,0,1,measured
167,1D7C,0,1,measured
168,36E4,0,1,measured
169,7ED2,0,1,measured
170,C241,0,1,measured
171,0F96,0,1,measured
172,58DB,0,1,measured
173,A28D,0,1,measured
174,EB5C,0,1,measured
175,33EB,0,1,measured
176,5F7E,0,1,measured
177,8D19,0,1,measured
178,D629,0,1,measured
179,2032,0,1,measured
180,D1F6,0,1,measured
181,02FA,0,1,measured
182,4C1F,0,1,measured
183,967A,0,1,measured
184,DEC0,0,1,measured
185,2029,0,1,measured
186,6E88,0,1,measured
187,D346,0,1,measured
188,03C6,0,1,measured
189,4CE9,0,1,measured
190,9585,0,1,measured
191,DF2D,0,1,measured
192,28D8,0,1,measured
193,93D3,0,1,measured
194,BA7C,0,1,measured
195,0727,0,1,measured
196,5306,0,1,measured
197,9983,0,1,measured
198,E331,0,1,measured
199,2D6F,0,1,measured
200,69CB,0,1,measured
201,BB84,0,1,measured
202,FD15,0,1,measured
203,3E9A,0,1,measured
204,8412,0,1,measured
205,CD6E,0,1,measured
206,4F88,0,1,measured
207,828E,0,1,measured
208,CBA0,0,1,measured
209,1751,0,1,measured
210,5DE4,0,1,measured
211,A79D,0,1,measured
212,F1CF,0,1,measured
213,36A6,0,1,measured
214,7FA6,0,1,measured
215,9FCB,0,1,measured
216,F54E,0,1,measured
217,3AC6,0,1,measured
218,8426,0,1,measured
219,0762,0,1,measured
220,2BEF,0,1,measured
221,7501,0,1,measured
222,BEB5,0,1,measured
223,0716,0,1,measured
224,5000,0,1,measured
225,991B,0,1,measured
226,E2E3,0,1,measured
227,2BC2,0,1,measured
228,524A,0,1,measured
229,8F47,0,1,measured
230,D332,0,1,measured
231,20CE,0,1,measured
232,6D23,0,1,measured
233,B24A,0,1,measured
234,FB09,0,1,measured
235,44EA,0,1,measured
236,8D85,0,1,measured
237,D6C2,0,1,measured
238,20BD,0,1,measured
239,693A,0,1,measured
240,B28B,0,1,measured
241,DD66,0,1,measured
242,08E3,0,1,measured
243,5232,0,1,measured
244,1EF1,0,1,measured
245,2FB3,0,1,measured
246,7D97,0,1,measured
247,C76F,0,1,measured
248,0ED7,0,1,measured
249,58E4,0,1,measured
250,A14B,0,1,measured
251,EBBE,0,1,measured
252,348D,0,1,measured
253,7589,0,1,measured
254,B3C6,0,1,measured
255,FCA4,0,1,measured
256,45D7,0,1,measured
257,DC2A,0,1,measured
258,1336,0,1,measured
259,5B56,0,1,measured
260,A0F9,0,1,measured
261,ED01,0,1,measured
262,3706,0,1,measured
263,7F81,0,1,measured
264,C989,0,1,measured
265,11E6,0,1,measured
266,11E6,0,1,measured
267,4016,0,1,measured
268,9685,0,1,measured
269,D5A4,0,1,measured
270,1EEC,0,1,measured
271,9268,0,1,measured
272,CF5B,0,1,measured
273,171F,0,1,measured
274,6025,0,1,measured
275,A939,0,1,measured
276,EEAA,0,1,measured
277,3BC0,0,1,measured
278,84F9,0,1,measured
279,CE3C,0,1,measured
280,13D9,0,1,measured
281,5C89,0,1,measured
282,A309,0,1,measured
283,526E,0,1,measured
284,7DA1,0,1,measured
285,C6A3,0,1,measured
286,0F54,0,1,measured
287,590A,0,1,measured
288,A293,0,1,measured
289,054A,0,1,measured
290,3076,0,1,measured
291,7E23,0,1,measured
292,C7E0,0,1,measured
293,1026,0,1,measured
294,59C6,0,1,measured
295,A30F,0,1,measured
296,095C,0,1,measured
297,3973,0,1,measured
298,D6E1,0,1,measured
299,212B,0,1,measured
300,6A46,0,1,measured
301,AFCC,0,1,measured
302,ED72,0,1,measured
303,36B1,0,1,measured
304,7418,0,1,measured
305,7418,0,1,measured
306,B6A8,0,1,measured
307,FF73,0,1,measured
308,48BE,0,1,measured
309,C8E5,0,1,measured
310,F4D9,0,1,measured
311,3DF7,0,1,measured
312,8691,0,1,measured
313,D060,0,1,measured
314,19F1,0,1,measured
315,77AC,0,1,measured
316,AADE,0,1,measured
317,282E,0,1,measured
318,7114,0,1,measured
319,B5A2,0,1,measured
320,030A,0,1,measured
321,80B0,0,1,measured
322,A3F4,0,1,measured
323,ED09,0,1,measured
324,ED09,0,1,measured
325,36A1,0,1,measured
326,7F1E,0,1,measured
327,C7D3,0,1,measured
328,1123,0,1,measured
329,5AE1,0,1,measured
330,A3A4,0,1,measured
331,E4AA,0,1,measured
332,240A,0,1,measured
333,6C02,0,1,measured
334,B4E7,0,1,measured
335,F9AD,0,1,measured
336,9C56,0,1,measured
337,E658,0,1,measured
338,2EE4,0,1,measured
339,7831,0,1,measured
340,B63C,0,1,measured
341,FECC,0,1,measured
342,2A8A,0,1,measured
343,2A8A,0,1,measured
344,57BB,0,1,measured
