offset,seed,band,boots,how
6,836C,0,1,measured
7,AB5E,0,1,measured
8,F4D4,0,1,measured
9,3D96,0,1,measured
10,86E3,0,1,measured
11,D023,0,1,measured
12,1963,0,1,measured
13,1920,0,1,measured
14,3B9D,0,1,measured
15,860A,0,1,measured
16,860A,0,1,measured
17,CD36,0,1,measured
18,6183,0,1,measured
19,A7AA,0,1,measured
20,EBBD,0,1,measured
21,3987,0,1,measured
22,5982,0,1,measured
23,9794,0,1,measured
24,DFEF,0,1,measured
25,2921,0,1,measured
26,7271,0,1,measured
27,BBA7,0,1,measured
28,E469,0,1,measured
29,F781,0,1,measured
30,40C0,0,1,measured
31,891B,0,1,measured
32,D263,0,1,measured
33,1BA3,0,1,measured
34,64E0,0,1,measured
35,AA3E,0,1,measured
36,F763,0,1,measured
37,F763,0,1,measured
38,409F,0,1,measured
39,89DB,0,1,measured
40,88A2,0,1,measured
41,AC25,0,1,measured
42,F68A,0,1,measured
43,3E0B,0,1,measured
44,886A,0,1,measured
45,D011,0,1,measured
46,1EFE,0,1,measured
47,688A,0,1,measured
48,AF25,0,1,measured
49,F121,0,1,measured
50,2F00,0,1,measured
51,6EFF,0,1,measured
52,C21F,0,1,measured
53,0BF5,0,1,measured
54,53E7,0,1,measured
55,9CF7,0,1,measured
56,14F8,0,1,measured
57,5DE8,0,1,measured
58,A853,0,1,measured
59,F2BE,0,1,measured
60,399A,0,1,measured
61,804F,0,1,measured
62,C965,0,1,measured
63,F26E,0,1,measured
64,B1E1,0,1,measured
65,CD77,0,1,measured
66,1CC8,0,1,measured
67,6421,0,1,measured
68,AE7E,0,1,measured
69,F642,0,1,measured
70,402F,0,1,measured
71,8A37,0,1,measured
72,D3C2,0,1,measured
73,4671,0,1,measured
74,657E,0,1,measured
75,B001,0,1,measured
76,F761,0,1,measured
77,41BD,0,1,measured
78,8C97,0,1,measured
79,D454,0,1,measured
80,1774,0,1,measured
81,6305,0,1,measured
82,D7F3,0,1,measured
83,F8C0,0,1,measured
84,4349,0,1,measured
85,8AA1,0,1,measured
86,D4F2,0,1,measured
87,1D6B,0,1,measured
88,677F,0,1,measured
89,677F,0,1,measured
90,B0AC,0,1,measured
91,248F,0,1,measured
92,4407,0,1,measured
93,8E7D,0,1,measured
94,D8BA,0,1,measured
95,63AE,0,1,measured
96,B1E7,0,1,measured
97,FBE7,0,1,measured
98,4436,0,1,measured
99,B764,0,1,measured
100,D73C,0,1,measured
101,21BF,0,1,measured
102,692E,0,1,measured
103,B381,0,1,measured
104,FBF2,0,1,measured
105,4608,0,1,measured
106,8F27,0,1,measured
107,0136,0,1,measured
108,23B0,0,1,measured
109,68E8,0,1,measured
110,AEA0,0,1,measured
111,AEA0,0,1,measured
112,FB04,0,1,measured
113,44A2,0,1,measured
114,8E29,0,1,measured
115,D830,0,1,measured
116,207A,0,1,measured
117,95BF,0,1,measured
118,AEFA,0,1,measured
119,F80A,0,1,measured
120,41B4,0,1,measured
121,D2F1,0,1,measured
122,1C44,0,1,measured
123,6725,0,1,measured
124,ADF1,0,1,measured
125,EC5E,0,1,measured
126,2DF4,0,1,measured
127,76D0,0,1,measured
128,BFF3,0,1,measured
129,1006,0,1,measured
130,52EB,0,1,measured
131,A067,0,1,measured
132,EA60,0,1,measured
133,2E9D,0,1,measured
134,7C37,0,1,measured
135,C607,0,1,measured
136,0E9F,0,1,measured
137,580F,0,1,measured
138,8353,0,1,measured
139,B155,0,1,measured
140,F0CB,0,1,measured
141,443B,0,1,measured
142,E9F7,0,1,measured
143,22EC,0,1,measured
144,6E81,0,1,measured
145,B6F2,0,1,measured
146,003A,0,1,measured
147,499C,0,1,measured
148,939C,0,1,measured
