offset,seed,band,boots,how
6,8365,0,1,measured
7,AB4E,0,1,measured
8,F4CD,0,1,measured
9,3D98,0,1,measured
10,86DC,0,1,measured
11,D013,0,1,measured
12,1953,0,1,measured
13,190F,0,1,measured
14,3B95,0,1,measured
15,8605,0,1,measured
16,8605,0,1,measured
17,CD38,0,1,measured
18,6176,0,1,measured
19,A791,0,1,measured
20,EBAE,0,1,measured
21,397E,0,1,measured
22,5984,0,1,measured
23,978E,0,1,measured
24,DFE8,0,1,measured
25,2925,0,1,measured
26,7269,0,1,measured
27,BBA0,0,1,measured
28,E462,0,1,measured
29,F783,0,1,measured
30,40B1,0,1,measured
31,8913,0,1,measured
32,D253,0,1,measured
33,1B93,0,1,measured
34,64D1,0,1,measured
35,AA37,0,1,measured
36,F75F,0,1,measured
37,F75F,0,1,measured
38,408F,0,1,measured
39,89DC,0,1,measured
40,8892,0,1,measured
41,AC15,0,1,measured
42,F67A,0,1,measured
43,3E0C,0,1,measured
44,885E,0,1,measured
45,D001,0,1,measured
46,1EF7,0,1,measured
47,6883,0,1,measured
48,AF2A,0,1,measured
49,F118,0,1,measured
50,2EF9,0,1,measured
51,6EEF,0,1,measured
52,C217,0,1,measured
53,0BF6,0,1,measured
54,53E0,0,1,measured
55,9CE6,0,1,measured
56,14F1,0,1,measured
57,5DE1,0,1,measured
58,A843,0,1,measured
59,F2C0,0,1,measured
60,3993,0,1,measured
61,8048,0,1,measured
62,C95E,0,1,measured
63,F267,0,1,measured
64,B1CD,0,1,measured
65,CD70,0,1,measured
66,1CBA,0,1,measured
67,6414,0,1,measured
68,AE6F,0,1,measured
69,F639,0,1,measured
70,402A,0,1,measured
71,8A32,0,1,measured
72,D3B9,0,1,measured
73,4671,0,1,measured
74,6579,0,1,measured
75,AFFA,0,1,measured
76,F754,0,1,measured
77,41AF,0,1,measured
78,8C94,0,1,measured
79,D441,0,1,measured
80,176D,0,1,measured
81,62F7,0,1,measured
82,D7EC,0,1,measured
83,F8BA,0,1,measured
84,433A,0,1,measured
85,8A94,0,1,measured
86,D4EA,0,1,measured
87,1D64,0,1,measured
88,6780,0,1,measured
89,6780,0,1,measured
90,B098,0,1,measured
91,2494,0,1,measured
92,4404,0,1,measured
93,8E76,0,1,measured
94,D8B3,0,1,measured
95,639E,0,1,measured
96,B1E9,0,1,measured
97,FBE9,0,1,measured
98,442F,0,1,measured
99,B755,0,1,measured
100,D741,0,1,measured
101,21C0,0,1,measured
102,691A,0,1,measured
103,B384,0,1,measured
104,FBEB,0,1,measured
105,45F7,0,1,measured
106,8F20,0,1,measured
107,012F,0,1,measured
108,23B1,0,1,measured
109,68E9,0,1,measured
110,AE8E,0,1,measured
111,AE8E,0,1,measured
112,FAF5,0,1,measured
113,449C,0,1,measured
114,8E1C,0,1,measured
115,D833,0,1,measured
116,2071,0,1,measured
117,95AF,0,1,measured
118,AEFC,0,1,measured
119,F80C,0,1,measured
120,41AD,0,1,measured
121,D2EA,0,1,measured
122,1C3D,0,1,measured
123,671E,0,1,measured
124,ADED,0,1,measured
125,EC57,0,1,measured
126,2DF5,0,1,measured
127,76C9,0,1,measured
128,BFF6,0,1,measured
129,0FF6,0,1,measured
130,52E4,0,1,measured
131,A060,0,1,measured
132,EA5C,0,1,measured
133,2E9F,0,1,measured
134,7C30,0,1,measured
135,C5F7,0,1,measured
136,0EA1,0,1,measured
137,5808,0,1,measured
138,834C,0,1,measured
139,B148,0,1,measured
140,F0C4,0,1,measured
141,4438,0,1,measured
142,E9E7,0,1,measured
143,22DA,0,1,measured
144,6E70,0,1,measured
145,B6EA,0,1,measured
