offset,seed,band,boots,how
268,9684,0,1,measured
269,D59A,0,1,measured
270,1EE3,0,1,measured
271,9272,0,1,measured
272,CF51,0,1,measured
273,1727,0,1,measured
274,601C,0,1,measured
275,A941,0,1,measured
276,EEAE,0,1,measured
277,3BBE,0,1,measured
278,8501,0,1,measured
279,CE39,0,1,measured
280,13D7,0,1,measured
281,5C7F,0,1,measured
282,A301,0,1,measured
283,5264,0,1,measured
284,7DA0,0,1,measured
285,C6A0,0,1,measured
286,0F5B,0,1,measured
287,5911,0,1,measured
288,A29F,0,1,measured
289,0551,0,1,measured
290,306D,0,1,measured
291,7E2C,0,1,measured
292,C7E7,0,1,measured
293,1028,0,1,measured
294,59C5,0,1,measured
295,A305,0,1,measured
296,094F,0,1,measured
297,396A,0,1,measured
298,D6D6,0,1,measured
299,2129,0,1,measured
300,6A3A,0,1,measured
301,AFCA,0,1,measured
302,ED7D,0,1,measured
303,36B9,0,1,measured
304,7422,0,1,measured
305,7417,0,1,measured
306,B6AF,0,1,measured
307,FF7A,0,1,measured
308,48C0,0,1,measured
309,C8DC,0,1,measured
310,F4E6,0,1,measured
311,3DFD,0,1,measured
312,8687,0,1,measured
313,D057,0,1,measured
314,19F0,0,1,measured
315,77AB,0,1,measured
316,AAE8,0,1,measured
317,2823,0,1,measured
318,711B,0,1,measured
319,B5A0,0,1,measured
320,0309,0,1,measured
321,80B8,0,1,measured
322,A3EA,0,1,measured
323,ED09,0,1,measured
324,ED09,0,1,measured
325,36A2,0,1,measured
326,7F26,0,1,measured
327,C7D3,0,1,measured
328,1121,0,1,measured
329,5AE8,0,1,measured
330,A3A4,0,1,measured
331,E4B0,0,1,measured
332,2407,0,1,measured
333,6C04,0,1,measured
334,B4EF,0,1,measured
335,F9A2,0,1,measured
336,9C57,0,1,measured
337,E657,0,1,measured
338,2EE2,0,1,measured
339,7829,0,1,measured
340,B644,0,1,measured
341,FED5,0,1,measured
342,2A89,0,1,measured
343,2A89,0,1,measured
344,57C8,0,1,measured
345,A181,0,1,measured
346,EA3B,0,1,measured
347,9990,0,1,measured
348,CC59,0,1,measured
349,1804,0,1,measured
350,549E,0,1,measured
351,ADCB,0,1,measured
352,F3A8,0,1,measured
353,3D19,0,1,measured
354,8AAE,0,1,measured
355,1B5E,0,1,measured
356,5B21,0,1,measured
357,A1BF,0,1,measured
358,EB3C,0,1,measured
359,55DB,0,1,measured
360,9236,0,1,measured
361,DB3F,0,1,measured
362,DB3F,0,1,measured
363,2764,0,1,measured
364,6D20,0,1,measured
365,A8E0,0,1,measured
366,FFB0,0,1,measured
367,4D3E,0,1,measured
368,92E4,0,1,measured
369,BF63,0,1,measured
370,0C28,0,1,measured
371,51C3,0,1,measured
372,9B38,0,1,measured
373,1ADC,0,1,measured
374,9B4F,0,1,measured
375,E4C5,0,1,measured
376,2D2A,0,1,measured
377,7758,0,1,measured
378,95D1,0,1,measured
379,D9FA,0,1,measured
380,2751,0,1,measured
381,2751,0,1,measured
382,575C,0,1,measured
383,8202,0,1,measured
384,CB09,0,1,measured
385,13CD,0,1,measured
386,BB39,0,1,measured
387,F644,0,1,measured
388,3F67,0,1,measured
389,8954,0,1,measured
390,D1D4,0,1,measured
391,1B20,0,1,measured
392,7530,0,1,measured
393,031F,0,1,measured
394,4867,0,1,measured
395,95B7,0,1,measured
396,DEE1,0,1,measured
397,1C7E,0,1,measured
398,7AC6,0,1,measured
399,B1E9,0,1,measured
400,B1E9,0,1,measured
401,FBA1,0,1,measured
402,4447,0,1,measured
403,8D7C,0,1,measured
404,D6BE,0,1,measured
405,20AC,0,1,measured
406,69F5,0,1,measured
407,B282,0,1,measured
408,F47D,0,1,measured
409,326C,0,1,measured
410,7211,0,1,measured
411,C51C,0,1,measured
412,7DE0,0,1,measured
413,C6FB,0,1,measured
414,1014,0,1,measured
415,596C,0,1,measured
416,978C,0,1,measured
417,ED79,0,1,measured
418,2BFF,0,1,measured
419,2BFF,0,1,measured
420,7477,0,1,measured
421,9D2A,0,1,measured
422,E6A1,0,1,measured
423,2FB9,0,1,measured
424,ABFD,0,1,measured
425,C98A,0,1,measured
426,1727,0,1,measured
427,60D4,0,1,measured
428,A930,0,1,measured
429,F210,0,1,measured
430,3B5C,0,1,measured
431,DA2A,0,1,measured
432,1B08,0,1,measured
433,59D6,0,1,measured
434,A19F,0,1,measured
435,DF1D,0,1,measured
436,29AB,0,1,measured
437,71D8,0,1,measured
438,71DC,0,1,measured
439,BACC,0,1,measured
440,0050,0,1,measured
441,4D59,0,1,measured
442,969C,0,1,measured
443,E062,0,1,measured
444,290E,0,1,measured
445,7266,0,1,measured
446,9FB9,0,1,measured
447,CF4B,0,1,measured
448,1837,0,1,measured
449,6076,0,1,measured
450,4E94,0,1,measured
451,9A31,0,1,measured
452,E673,0,1,measured
453,2B2C,0,1,measured
454,5E48,0,1,measured
455,B5C2,0,1,measured
456,01FB,0,1,measured
457,01FB,0,1,measured
458,47C4,0,1,measured
459,8949,0,1,measured
460,CAC2,0,1,measured
461,103A,0,1,measured
462,59AF,0,1,measured
463,CA8B,0,1,measured
464,0678,0,1,measured
465,4A98,0,1,measured
466,A2E1,0,1,measured
467,DDD7,0,1,measured
468,285B,0,1,measured
469,BD5A,0,1,measured
470,0E81,0,1,measured
471,3B93,0,1,measured
472,8F76,0,1,measured
473,C44F,0,1,measured
474,0E8A,0,1,measured
475,690E,0,1,measured
476,690E,0,1,measured
477,9BD3,0,1,measured
478,E518,0,1,measured
479,2EC8,0,1,measured
480,773D,0,1,measured
481,C014,0,1,measured
482,0949,0,1,measured
483,5429,0,1,measured
484,9B02,0,1,measured
485,C53B,0,1,measured
486,BCB4,0,1,measured
487,062D,0,1,measured
488,422C,0,1,measured
489,7800,0,1,measured
490,C113,0,1,measured
491,0B11,0,1,measured
492,521C,0,1,measured
493,9210,0,1,measured
494,F612,0,1,measured
495,F612,0,1,measured
496,254C,0,1,measured
497,6D82,0,1,measured
498,B792,0,1,measured
499,FFED,0,1,measured
500,443F,0,1,measured
501,911C,0,1,measured
502,F4DF,0,1,measured
503,2196,0,1,measured
504,6A9C,0,1,measured
505,B3E9,0,1,measured
506,FD07,0,1,measured
507,9BE1,0,1,measured
508,E5CF,0,1,measured
509,36FC,0,1,measured
510,55D4,0,1,measured
511,87F9,0,1,measured
512,D23B,0,1,measured
513,6273,0,1,measured
514,6273,0,1,measured
515,8D66,0,1,measured
516,DB71,0,1,measured
517,2430,0,1,measured
518,6CD9,0,1,measured
519,B71B,0,1,measured
520,FF08,0,1,measured
521,63AB,0,1,measured
522,9323,0,1,measured
523,DAEC,0,1,measured
524,243A,0,1,measured
525,6D58,0,1,measured
526,35A9,0,1,measured
527,5D19,0,1,measured
528,A487,0,1,measured
529,E85B,0,1,measured
530,29D2,0,1,measured
531,7306,0,1,measured
532,BCBC,0,1,measured
533,BCBC,0,1,measured
534,058F,0,1,measured
535,4DF4,0,1,measured
536,90F8,0,1,measured
537,CDE4,0,1,measured
538,16C6,0,1,measured
539,611F,0,1,measured
540,A944,0,1,measured
541,F284,0,1,measured
542,3BAF,0,1,measured
543,85EF,0,1,measured
544,CE30,0,1,measured
545,6C6A,0,1,measured
546,B5B2,0,1,measured
547,FEFC,0,1,measured
548,286C,0,1,measured
549,4BA1,0,1,measured
550,93EC,0,1,measured
551,DD70,0,1,measured
552,DD70,0,1,measured
553,88CB,0,1,measured
554,BF5C,0,1,measured
555,0AFD,0,1,measured
556,536A,0,1,measured
557,9CCB,0,1,measured
558,E711,0,1,measured
559,2F6F,0,1,measured
560,6D2E,0,1,measured
561,C1DF,0,1,measured
562,0390,0,1,measured
563,4199,0,1,measured
564,DE91,0,1,measured
565,5705,0,1,measured
566,851C,0,1,measured
567,CE3A,0,1,measured
568,0A80,0,1,measured
569,5443,0,1,measured
570,9DC6,0,1,measured
571,9DCF,0,1,measured
572,E474,0,1,measured
573,2CE0,0,1,measured
574,7603,0,1,measured
575,A0D5,0,1,measured
576,EEB0,0,1,measured
577,377A,0,1,measured
578,80B1,0,1,measured
579,0227,0,1,measured
580,387C,0,1,measured
581,8191,0,1,measured
582,CB45,0,1,measured
583,68D8,0,1,measured
584,B244,0,1,measured
585,DC75,0,1,measured
586,2623,0,1,measured
587,46AC,0,1,measured
588,74B0,0,1,measured
589,B76B,0,1,measured
590,B76B,0,1,measured
591,05B5,0,1,measured
592,BF20,0,1,measured
593,E8FA,0,1,measured
594,320A,0,1,measured
595,7AB0,0,1,measured
596,C458,0,1,measured
597,0DF0,0,1,measured
598,766D,0,1,measured
599,A072,0,1,measured
600,E99A,0,1,measured
601,3237,0,1,measured
602,D11F,0,1,measured
603,35BE,0,1,measured
604,5D1F,0,1,measured
605,AAF1,0,1,measured
606,EA48,0,1,measured
607,340C,0,1,measured
608,7C23,0,1,measured
609,7C19,0,1,measured
610,C56E,0,1,measured
611,10D0,0,1,measured
612,559E,0,1,measured
613,9664,0,1,measured
614,B824,0,1,measured
615,FF6B,0,1,measured
616,484F,0,1,measured
617,EBAA,0,1,measured
618,1D4D,0,1,measured
619,64FA,0,1,measured
620,A6A4,0,1,measured
621,4BFD,0,1,measured
622,9533,0,1,measured
623,DF84,0,1,measured
624,25A1,0,1,measured
625,42A3,0,1,measured
626,6DAD,0,1,measured
627,B4F1,0,1,measured
628,B4FA,0,1,measured
629,FDDE,0,1,measured
630,97DD,0,1,measured
631,BF0C,0,1,measured
632,0830,0,1,measured
633,5339,0,1,measured
634,99CD,0,1,measured
635,DE81,0,1,measured
636,2CC2,0,1,measured
637,758E,0,1,measured
638,BE10,0,1,measured
639,CA41,0,1,measured
640,5A5A,0,1,measured
641,A3AA,0,1,measured
642,10D0,0,1,measured
643,5696,0,1,measured
644,9487,0,1,measured
645,DE72,0,1,measured
646,2707,0,1,measured
647,2707,0,1,measured
648,7144,0,1,measured
649,B98C,0,1,measured
650,FE79,0,1,measured
651,4C11,0,1,measured
652,5B21,0,1,measured
653,8613,0,1,measured
654,CE03,0,1,measured
655,1783,0,1,measured
656,BA2E,0,1,measured
657,F335,0,1,measured
658,3F0B,0,1,measured
659,D9F8,0,1,measured
660,24ED,0,1,measured
661,6ECD,0,1,measured
662,B7A1,0,1,measured
663,F5E5,0,1,measured
664,30EF,0,1,measured
665,75DE,0,1,measured
666,75D4,0,1,measured
667,BEA0,0,1,measured
668,0883,0,1,measured
669,9AE2,0,1,measured
670,D58D,0,1,measured
671,1EC6,0,1,measured
672,686D,0,1,measured
673,B070,0,1,measured
674,FA86,0,1,measured
675,42FA,0,1,measured
676,8E2C,0,1,measured
677,D5CF,0,1,measured
678,5C4C,0,1,measured
679,9E7A,0,1,measured
680,EDFC,0,1,measured
681,8A7C,0,1,measured
682,B5EC,0,1,measured
683,FF1D,0,1,measured
684,48CB,0,1,measured
685,48CB,0,1,measured
686,9134,0,1,measured
687,DA1E,0,1,measured
688,235D,0,1,measured
689,6D02,0,1,measured
690,B5DB,0,1,measured
691,E31E,0,1,measured
692,0F2A,0,1,measured
693,5737,0,1,measured
694,DE94,0,1,measured
695,140A,0,1,measured
696,61CD,0,1,measured
697,0137,0,1,measured
698,5A67,0,1,measured
699,939F,0,1,measured
700,EAA6,0,1,measured
701,1A69,0,1,measured
702,62B4,0,1,measured
703,ABA5,0,1,measured
704,AB9B,0,1,measured
705,F4BE,0,1,measured
706,3E85,0,1,measured
707,9C1D,0,1,measured
708,D5C4,0,1,measured
709,1D4B,0,1,measured
710,61F6,0,1,measured
711,AFD0,0,1,measured
712,F902,0,1,measured
713,4253,0,1,measured
714,8BA8,0,1,measured
715,D576,0,1,measured
716,85BE,0,1,measured
717,CEF2,0,1,measured
718,187B,0,1,measured
719,55A8,0,1,measured
720,852B,0,1,measured
721,CE37,0,1,measured
722,1913,0,1,measured
723,1913,0,1,measured
724,5FE4,0,1,measured
725,A5C5,0,1,measured
726,F268,0,1,measured
727,3BB0,0,1,measured
728,84EC,0,1,measured
729,C6A0,0,1,measured
730,04FA,0,1,measured
731,4DB7,0,1,measured
732,979B,0,1,measured
733,1B65,0,1,measured
734,3F2D,0,1,measured
735,DE0D,0,1,measured
736,264D,0,1,measured
737,708D,0,1,measured
738,B8DA,0,1,measured
739,F119,0,1,measured
740,3E2C,0,1,measured
741,810D,0,1,measured
742,8115,0,1,measured
743,BE1B,0,1,measured
744,06E0,0,1,measured
745,502E,0,1,measured
746,997B,0,1,measured
747,E2A4,0,1,measured
748,2BDE,0,1,measured
749,75C2,0,1,measured
750,BE6E,0,1,measured
751,0797,0,1,measured
752,517A,0,1,measured
753,9A5E,0,1,measured
754,18C2,0,1,measured
755,4B04,0,1,measured
756,9386,0,1,measured
757,DCFC,0,1,measured
758,7EDD,0,1,measured
759,B41F,0,1,measured
760,FFCD,0,1,measured
761,FFC2,0,1,measured
762,49F0,0,1,measured
763,8FAE,0,1,measured
764,DAF6,0,1,measured
765,2678,0,1,measured
766,6E14,0,1,measured
767,B699,0,1,measured
768,FA61,0,1,measured
769,367F,0,1,measured
770,7403,0,1,measured
771,C93D,0,1,measured
772,37AB,0,1,measured
773,C832,0,1,measured
774,1277,0,1,measured
775,5AA7,0,1,measured
776,A403,0,1,measured
777,E4F1,0,1,measured
778,2C7F,0,1,measured
779,7508,0,1,measured
780,7508,0,1,measured
781,A5C7,0,1,measured
782,EDBB,0,1,measured
783,36C2,0,1,measured
784,B4A2,0,1,measured
785,DF51,0,1,measured
786,2BCA,0,1,measured
787,74FC,0,1,measured
