offset,seed,band,boots,how
6,836C,0,1,measured
7,AB55,0,1,measured
8,F4CA,0,1,measured
9,3D96,0,1,measured
10,86DA,0,1,measured
11,D01A,0,1,measured
12,195A,0,1,measured
13,18CA,0,1,measured
14,3B67,0,1,measured
15,85B5,0,1,measured
16,85B5,0,1,measured
17,CD3B,0,1,measured
18,6140,0,1,measured
19,A78E,0,1,measured
20,EB97,0,1,measured
21,3966,0,1,measured
22,5986,0,1,measured
23,978B,0,1,measured
24,DFE7,0,1,measured
25,2922,0,1,measured
26,7270,0,1,measured
27,BBB0,0,1,measured
28,E46A,0,1,measured
29,F781,0,1,measured
30,40C1,0,1,measured
31,891A,0,1,measured
32,D25A,0,1,measured
33,1B9A,0,1,measured
34,64D7,0,1,measured
35,AA36,0,1,measured
36,F75D,0,1,measured
37,F75D,0,1,measured
38,4096,0,1,measured
39,89E4,0,1,measured
40,884F,0,1,measured
41,ABF1,0,1,measured
42,F635,0,1,measured
43,3DF0,0,1,measured
44,8833,0,1,measured
45,CFEC,0,1,measured
46,1F08,0,1,measured
47,685D,0,1,measured
48,AF26,0,1,measured
49,F115,0,1,measured
50,2EF7,0,1,measured
51,6EF6,0,1,measured
52,C207,0,1,measured
53,0BC8,0,1,measured
54,53EE,0,1,measured
55,9CEF,0,1,measured
56,14EE,0,1,measured
57,5DF1,0,1,measured
58,A84A,0,1,measured
59,F28F,0,1,measured
60,3972,0,1,measured
61,804F,0,1,measured
62,C95E,0,1,measured
63,F26C,0,1,measured
64,B18C,0,1,measured
65,CD37,0,1,measured
66,1C75,0,1,measured
67,6403,0,1,measured
68,AE40,0,1,measured
69,F618,0,1,measured
70,402A,0,1,measured
71,89F5,0,1,measured
72,D380,0,1,measured
73,4623,0,1,measured
74,653F,0,1,measured
75,AFB3,0,1,measured
76,F743,0,1,measured
77,4184,0,1,measured
78,8C4A,0,1,measured
79,D3FD,0,1,measured
80,173D,0,1,measured
81,62FE,0,1,measured
82,D7B0,0,1,measured
83,F87F,0,1,measured
84,42F3,0,1,measured
85,8A81,0,1,measured
86,D4BD,0,1,measured
87,1D6D,0,1,measured
88,673B,0,1,measured
89,673B,0,1,measured
90,B058,0,1,measured
91,244F,0,1,measured
92,43CB,0,1,measured
93,8E35,0,1,measured
94,D870,0,1,measured
95,638E,0,1,measured
96,B1E8,0,1,measured
97,FB9F,0,1,measured
98,4400,0,1,measured
99,B711,0,1,measured
100,D709,0,1,measured
101,2176,0,1,measured
102,690B,0,1,measured
103,B355,0,1,measured
104,FBF8,0,1,measured
105,45B4,0,1,measured
106,8EDF,0,1,measured
107,00E8,0,1,measured
108,2337,0,1,measured
109,68D1,0,1,measured
110,AE6A,0,1,measured
111,AE6A,0,1,measured
112,FAE3,0,1,measured
113,448D,0,1,measured
114,8E27,0,1,measured
115,D7E2,0,1,measured
116,203C,0,1,measured
117,957E,0,1,measured
118,AECE,0,1,measured
119,F7D3,0,1,measured
120,417E,0,1,measured
121,D2E1,0,1,measured
122,1C26,0,1,measured
123,66E5,0,1,measured
124,ADE8,0,1,measured
125,EC40,0,1,measured
126,2DFC,0,1,measured
127,76D1,0,1,measured
128,BFF7,0,1,measured
129,1006,0,1,measured
130,52E1,0,1,measured
131,A05E,0,1,measured
132,EA48,0,1,measured
133,2E9C,0,1,measured
134,7C2E,0,1,measured
135,C5DF,0,1,measured
136,0EA0,0,1,measured
137,5807,0,1,measured
138,833C,0,1,measured
139,B151,0,1,measured
140,F0C2,0,1,measured
141,4425,0,1,measured
142,E9F8,0,1,measured
143,22EA,0,1,measured
144,6E62,0,1,measured
145,B6F1,0,1,measured
146,0032,0,1,measured
147,4994,0,1,measured
148,9378,0,1,measured
149,DCA1,0,1,measured
150,2554,0,1,measured
151,66D5,0,1,measured
152,A536,0,1,measured
153,EE6D,0,1,measured
154,71D5,0,1,measured
155,95C3,0,1,measured
156,E37B,0,1,measured
157,2D2F,0,1,measured
158,75A5,0,1,measured
159,BF03,0,1,measured
160,0849,0,1,measured
161,51F3,0,1,measured
162,98B6,0,1,measured
163,C538,0,1,measured
164,0EAD,0,1,measured
165,577D,0,1,measured
166,A09F,0,1,measured
167,1D48,0,1,measured
168,366C,0,1,measured
169,7E91,0,1,measured
170,C22A,0,1,measured
171,0F7D,0,1,measured
172,58BF,0,1,measured
173,A272,0,1,measured
174,EB3C,0,1,measured
175,33E9,0,1,measured
176,5F5D,0,1,measured
177,8D20,0,1,measured
178,D62F,0,1,measured
179,2009,0,1,measured
180,D1B3,0,1,measured
181,02CC,0,1,measured
182,4BE7,0,1,measured
183,9648,0,1,measured
184,DE87,0,1,measured
185,202F,0,1,measured
186,6E86,0,1,measured
187,D306,0,1,measured
188,0396,0,1,measured
189,4CB0,0,1,measured
190,9589,0,1,measured
191,DEEB,0,1,measured
192,28A4,0,1,measured
193,939A,0,1,measured
194,BA3B,0,1,measured
195,06F1,0,1,measured
196,5303,0,1,measured
197,994A,0,1,measured
198,E2F0,0,1,measured
199,2D62,0,1,measured
200,69C1,0,1,measured
201,BB79,0,1,measured
202,FD13,0,1,measured
203,3E8E,0,1,measured
204,840A,0,1,measured
205,CD6C,0,1,measured
206,4F5C,0,1,measured
207,824D,0,1,measured
208,CB60,0,1,measured
209,1759,0,1,measured
210,5DA2,0,1,measured
211,A76E,0,1,measured
212,F1CD,0,1,measured
213,36AA,0,1,measured
214,7FA4,0,1,measured
215,9FD0,0,1,measured
216,F542,0,1,measured
217,3ABC,0,1,measured
218,841A,0,1,measured
219,0720,0,1,measured
220,2BAE,0,1,measured
221,74C7,0,1,measured
222,BE7C,0,1,measured
223,06F6,0,1,measured
224,4FCD,0,1,measured
225,9904,0,1,measured
226,E2D4,0,1,measured
227,2B91,0,1,measured
228,522A,0,1,measured
229,8F3F,0,1,measured
230,D330,0,1,measured
231,20CC,0,1,measured
232,6D21,0,1,measured
233,B240,0,1,measured
234,FB10,0,1,measured
235,44D0,0,1,measured
236,8D8B,0,1,measured
237,D6CA,0,1,measured
238,209D,0,1,measured
239,693F,0,1,measured
240,B293,0,1,measured
241,DD6C,0,1,measured
242,08C9,0,1,measured
243,5221,0,1,measured
244,1ED6,0,1,measured
245,2F99,0,1,measured
