offset,seed,band,boots,how
6,835A,0,1,measured
7,AB55,0,1,measured
8,F4C2,0,1,measured
9,3D96,0,1,measured
10,86DC,0,1,measured
11,D01A,0,1,measured
12,1951,0,1,measured
13,18C0,0,1,measured
14,3B5B,0,1,measured
15,85B8,0,1,measured
16,85B8,0,1,measured
17,CD2F,0,1,measured
18,6133,0,1,measured
19,A78F,0,1,measured
20,EB8E,0,1,measured
21,395F,0,1,measured
22,5985,0,1,measured
23,978B,0,1,measured
24,DFDF,0,1,measured
25,2924,0,1,measured
26,7267,0,1,measured
27,BB9E,0,1,measured
28,E460,0,1,measured
29,F781,0,1,measured
30,40B9,0,1,measured
31,8911,0,1,measured
32,D25A,0,1,measured
33,1B91,0,1,measured
34,64CF,0,1,measured
35,AA2D,0,1,measured
36,F751,0,1,measured
37,F751,0,1,measured
38,408D,0,1,measured
39,89DA,0,1,measured
40,884D,0,1,measured
41,ABDB,0,1,measured
42,F638,0,1,measured
43,3DF2,0,1,measured
44,8832,0,1,measured
45,CFF2,0,1,measured
46,1EF6,0,1,measured
47,684A,0,1,measured
48,AF27,0,1,measured
49,F115,0,1,measured
50,2EF7,0,1,measured
51,6EED,0,1,measured
52,C1FF,0,1,measured
53,0BBD,0,1,measured
54,53DE,0,1,measured
55,9CEE,0,1,measured
56,14EF,0,1,measured
57,5DE8,0,1,measured
58,A841,0,1,measured
59,F287,0,1,measured
60,3976,0,1,measured
61,8046,0,1,measured
62,C953,0,1,measured
63,F25A,0,1,measured
64,B17F,0,1,measured
65,CD38,0,1,measured
66,1C76,0,1,measured
67,6401,0,1,measured
68,AE3B,0,1,measured
69,F618,0,1,measured
70,401D,0,1,measured
71,89E5,0,1,measured
72,D377,0,1,measured
73,461C,0,1,measured
74,6541,0,1,measured
75,AFAA,0,1,measured
76,F741,0,1,measured
77,4180,0,1,measured
78,8C53,0,1,measured
79,D3FC,0,1,measured
80,172C,0,1,measured
81,62F5,0,1,measured
82,D7AA,0,1,measured
83,F881,0,1,measured
84,42E8,0,1,measured
85,8A81,0,1,measured
86,D4B6,0,1,measured
87,1D63,0,1,measured
88,672B,0,1,measured
89,672B,0,1,measured
90,B056,0,1,measured
91,2446,0,1,measured
92,43BF,0,1,measured
93,8E23,0,1,measured
94,D867,0,1,measured
95,638F,0,1,measured
96,B1E5,0,1,measured
97,FB9E,0,1,measured
98,43EE,0,1,measured
99,B711,0,1,measured
100,D708,0,1,measured
101,2165,0,1,measured
102,6902,0,1,measured
103,B343,0,1,measured
104,FBF2,0,1,measured
105,45B4,0,1,measured
106,8EDE,0,1,measured
107,00D8,0,1,measured
108,2322,0,1,measured
109,68C5,0,1,measured
110,AE58,0,1,measured
111,AE58,0,1,measured
112,FAE3,0,1,measured
113,4482,0,1,measured
114,8E16,0,1,measured
115,D7DF,0,1,measured
116,203B,0,1,measured
117,957D,0,1,measured
118,AEC3,0,1,measured
119,F7D3,0,1,measured
120,4175,0,1,measured
121,D2DA,0,1,measured
122,1C1C,0,1,measured
123,66E6,0,1,measured
124,ADE8,0,1,measured
125,EC2F,0,1,measured
126,2DEB,0,1,measured
127,76C7,0,1,measured
128,BFEA,0,1,measured
129,0FFD,0,1,measured
130,52E2,0,1,measured
131,A05F,0,1,measured
132,EA40,0,1,measured
133,2E9D,0,1,measured
134,7C2E,0,1,measured
135,C5D7,0,1,measured
136,0EA0,0,1,measured
137,5809,0,1,measured
138,832B,0,1,measured
139,B151,0,1,measured
140,F0B8,0,1,measured
141,441A,0,1,measured
142,E9E5,0,1,measured
143,22D8,0,1,measured
144,6E51,0,1,measured
145,B6E0,0,1,measured
146,0029,0,1,measured
147,498C,0,1,measured
148,937A,0,1,measured
149,DC9A,0,1,measured
150,2541,0,1,measured
151,66D7,0,1,measured
