offset,seed,band,boots,how
14,3B67,0,1,measured
22,5986,0,1,measured
25,2922,0,1,measured
28,E46A,0,1,measured
29,F781,0,1,measured
31,891A,0,1,measured
33,1B9A,0,1,measured
35,AA36,0,1,measured
36,F75D,0,1,measured
37,F75D,0,1,measured
39,89E4,0,1,measured
43,3DF0,0,1,measured
46,1F08,0,1,measured
52,C207,0,1,measured
53,0BC8,0,1,measured
54,53EE,0,1,measured
55,9CEF,0,1,measured
57,5DF1,0,1,measured
61,804F,0,1,measured
62,C95E,0,1,measured
66,1C75,0,1,measured
67,6403,0,1,measured
68,AE40,0,1,measured
70,402A,0,1,measured
71,89F5,0,1,measured
73,4623,0,1,measured
76,F743,0,1,measured
77,4184,0,1,measured
79,D3FD,0,1,measured
80,173D,0,1,measured
82,D7B0,0,1,measured
84,42F3,0,1,measured
86,D4BD,0,1,measured
88,673B,0,1,measured
89,673B,0,1,measured
91,244F,0,1,measured
93,8E35,0,1,measured
96,B1E8,0,1,measured
100,D709,0,1,measured
101,2176,0,1,measured
102,690B,0,1,measured
104,FBF8,0,1,measured
107,00E8,0,1,measured
108,2337,0,1,measured
109,68D1,0,1,measured
114,8E27,0,1,measured
115,D7E2,0,1,measured
116,203C,0,1,measured
122,1C26,0,1,measured
128,BFF7,0,1,measured
129,1006,0,1,measured
136,0EA0,0,1,measured
137,5807,0,1,measured
138,833C,0,1,measured
139,B151,0,1,measured
142,E9F8,0,1,measured
144,6E62,0,1,measured
150,2554,0,1,measured
152,A536,0,1,measured
153,EE6D,0,1,measured
154,71D5,0,1,measured
156,E37B,0,1,measured
157,2D2F,0,1,measured
158,75A5,0,1,measured
160,0849,0,1,measured
163,C538,0,1,measured
164,0EAD,0,1,measured
167,1D48,0,1,measured
169,7E91,0,1,measured
170,C22A,0,1,measured
171,0F7D,0,1,measured
172,58BF,0,1,measured
174,EB3C,0,1,measured
175,33E9,0,1,measured
178,D62F,0,1,measured
179,2009,0,1,measured
182,4BE7,0,1,measured
185,202F,0,1,measured
190,9589,0,1,measured
191,DEEB,0,1,measured
192,28A4,0,1,measured
194,BA3B,0,1,measured
196,5303,0,1,measured
197,994A,0,1,measured
198,E2F0,0,1,measured
199,2D62,0,1,measured
202,FD13,0,1,measured
203,3E8E,0,1,measured
204,840A,0,1,measured
205,CD6C,0,1,measured
206,4F5C,0,1,measured
207,824D,0,1,measured
212,F1CD,0,1,measured
213,36AA,0,1,measured
216,F542,0,1,measured
217,3ABC,0,1,measured
218,841A,0,1,measured
220,2BAE,0,1,measured
226,E2D4,0,1,measured
227,2B91,0,1,measured
229,8F3F,0,1,measured
230,D330,0,1,measured
