offset,seed,band,boots,how
6,836C,0,1,measured
7,AB55,0,1,measured
8,F4CA,0,1,measured
9,3D96,0,1,measured
10,86DA,0,1,measured
11,D01A,0,1,measured
12,195A,0,1,measured
13,1915,0,1,measured
14,3BA6,0,1,measured
15,860D,0,1,measured
16,860D,0,1,measured
17,CD40,0,1,measured
18,617E,0,1,measured
19,A793,0,1,measured
20,EBB4,0,1,measured
21,3984,0,1,measured
22,5983,0,1,measured
23,978D,0,1,measured
24,DFE7,0,1,measured
25,292B,0,1,measured
26,7270,0,1,measured
27,BBB0,0,1,measured
28,E46A,0,1,measured
29,F781,0,1,measured
30,40C1,0,1,measured
31,891A,0,1,measured
32,D25A,0,1,measured
33,1B9A,0,1,measured
34,64D7,0,1,measured
35,AA36,0,1,measured
36,F75D,0,1,measured
37,F75D,0,1,measured
38,4096,0,1,measured
39,89E4,0,1,measured
40,889A,0,1,measured
41,AC1D,0,1,measured
42,F68D,0,1,measured
43,3E11,0,1,measured
44,886F,0,1,measured
45,D00C,0,1,measured
46,1F07,0,1,measured
47,6894,0,1,measured
48,AF2C,0,1,measured
49,F11E,0,1,measured
50,2EF7,0,1,measured
51,6EF6,0,1,measured
52,C21E,0,1,measured
53,0BF5,0,1,measured
54,53E7,0,1,measured
55,9CEE,0,1,measured
56,14F0,0,1,measured
57,5DE7,0,1,measured
58,A84A,0,1,measured
59,F2BE,0,1,measured
60,3994,0,1,measured
61,804F,0,1,measured
62,C95E,0,1,measured
63,F26C,0,1,measured
64,B1D9,0,1,measured
65,CD6F,0,1,measured
66,1CC9,0,1,measured
67,641B,0,1,measured
68,AE72,0,1,measured
69,F630,0,1,measured
70,402A,0,1,measured
71,8A3B,0,1,measured
72,D3C1,0,1,measured
73,4670,0,1,measured
74,6579,0,1,measured
75,B001,0,1,measured
76,F75B,0,1,measured
77,41B2,0,1,measured
78,8C99,0,1,measured
79,D448,0,1,measured
80,176B,0,1,measured
81,62FE,0,1,measured
82,D7FD,0,1,measured
83,F8B8,0,1,measured
84,4341,0,1,measured
85,8A9B,0,1,measured
86,D4EF,0,1,measured
87,1D6D,0,1,measured
88,6780,0,1,measured
89,6780,0,1,measured
90,B0AD,0,1,measured
91,249A,0,1,measured
92,4401,0,1,measured
93,8E87,0,1,measured
94,D8BB,0,1,measured
95,63A5,0,1,measured
96,B1F1,0,1,measured
97,FBE4,0,1,measured
98,4433,0,1,measured
99,B75D,0,1,measured
100,D73D,0,1,measured
101,21BD,0,1,measured
102,692E,0,1,measured
103,B381,0,1,measured
104,FBF8,0,1,measured
105,45FE,0,1,measured
106,8F33,0,1,measured
107,012D,0,1,measured
108,23BA,0,1,measured
109,68E9,0,1,measured
110,AE9E,0,1,measured
111,AE9E,0,1,measured
112,FAFB,0,1,measured
113,44A3,0,1,measured
114,8E27,0,1,measured
115,D834,0,1,measured
116,2071,0,1,measured
117,95BC,0,1,measured
118,AEFB,0,1,measured
119,F80B,0,1,measured
120,41BB,0,1,measured
121,D2FA,0,1,measured
122,1C45,0,1,measured
123,671F,0,1,measured
124,ADF1,0,1,measured
125,EC58,0,1,measured
126,2DF5,0,1,measured
127,76C7,0,1,measured
128,BFFD,0,1,measured
129,0FFC,0,1,measured
130,52EB,0,1,measured
131,A05E,0,1,measured
132,EA5F,0,1,measured
133,2E9C,0,1,measured
134,7C2E,0,1,measured
135,C607,0,1,measured
136,0EA7,0,1,measured
137,5807,0,1,measured
138,8355,0,1,measured
139,B150,0,1,measured
140,F0C2,0,1,measured
141,4440,0,1,measured
142,E9F1,0,1,measured
143,22E9,0,1,measured
144,6E82,0,1,measured
145,B6E7,0,1,measured
146,0032,0,1,measured
147,4994,0,1,measured
148,9391,0,1,measured
149,DCB9,0,1,measured
150,254E,0,1,measured
151,66D5,0,1,measured
152,A536,0,1,measured
153,EE6D,0,1,measured
154,720B,0,1,measured
155,95F7,0,1,measured
156,E3A8,0,1,measured
157,2D5E,0,1,measured
158,75A5,0,1,measured
159,BF38,0,1,measured
160,0878,0,1,measured
161,5228,0,1,measured
162,98B6,0,1,measured
163,C537,0,1,measured
164,0EB5,0,1,measured
165,577D,0,1,measured
166,A09F,0,1,measured
167,1D7A,0,1,measured
168,36D9,0,1,measured
169,7EC7,0,1,measured
170,C23F,0,1,measured
171,0F9E,0,1,measured
172,58E3,0,1,measured
173,A28B,0,1,measured
174,EB5A,0,1,measured
175,33E9,0,1,measured
176,5F7C,0,1,measured
177,8D18,0,1,measured
178,D62F,0,1,measured
179,2026,0,1,measured
180,D1F4,0,1,measured
181,0303,0,1,measured
182,4C26,0,1,measured
183,9672,0,1,measured
184,DEC7,0,1,measured
185,202F,0,1,measured
186,6E86,0,1,measured
187,D33C,0,1,measured
188,03C4,0,1,measured
189,4CE6,0,1,measured
190,9589,0,1,measured
191,DF24,0,1,measured
192,28D9,0,1,measured
193,93D7,0,1,measured
194,BA69,0,1,measured
195,0727,0,1,measured
196,5309,0,1,measured
197,9973,0,1,measured
198,E32F,0,1,measured
199,2D62,0,1,measured
200,69C1,0,1,measured
201,BB79,0,1,measured
202,FD13,0,1,measured
203,3E98,0,1,measured
204,8410,0,1,measured
205,CD6C,0,1,measured
206,4F92,0,1,measured
207,8283,0,1,measured
208,CB96,0,1,measured
209,174F,0,1,measured
210,5DE2,0,1,measured
211,A7A4,0,1,measured
212,F1C4,0,1,measured
213,36AA,0,1,measured
214,7FA4,0,1,measured
215,9FD0,0,1,measured
216,F542,0,1,measured
217,3ABC,0,1,measured
218,841A,0,1,measured
219,0757,0,1,measured
220,2BE4,0,1,measured
221,7507,0,1,measured
222,BEBB,0,1,measured
223,071B,0,1,measured
224,4FEC,0,1,measured
225,9919,0,1,measured
226,E2EC,0,1,measured
227,2BAF,0,1,measured
228,5248,0,1,measured
229,8F45,0,1,measured
230,D330,0,1,measured
231,20CC,0,1,measured
232,6D1A,0,1,measured
233,B240,0,1,measured
234,FB10,0,1,measured
235,44E8,0,1,measured
236,8D8B,0,1,measured
237,D6CA,0,1,measured
238,20BB,0,1,measured
239,6937,0,1,measured
240,B293,0,1,measured
241,DD6C,0,1,measured
242,08E1,0,1,measured
243,5239,0,1,measured
244,1EEF,0,1,measured
