offset,seed,band,boots,how
6,835A,0,1,measured
7,AB55,0,1,measured
8,F4C2,0,1,measured
9,3D96,0,1,measured
10,86DC,0,1,measured
11,D01A,0,1,measured
12,1951,0,1,measured
13,190D,0,1,measured
14,3B9C,0,1,measured
15,85F7,0,1,measured
16,85F7,0,1,measured
17,CD3B,0,1,measured
18,6171,0,1,measured
19,A791,0,1,measured
20,EBB6,0,1,measured
21,397C,0,1,measured
22,5982,0,1,measured
23,978B,0,1,measured
24,DFDF,0,1,measured
25,2924,0,1,measured
26,7267,0,1,measured
27,BB9E,0,1,measured
28,E460,0,1,measured
29,F781,0,1,measured
30,40B9,0,1,measured
31,8911,0,1,measured
32,D25A,0,1,measured
33,1B91,0,1,measured
34,64CF,0,1,measured
35,AA2D,0,1,measured
36,F751,0,1,measured
37,F751,0,1,measured
38,408D,0,1,measured
39,89DA,0,1,measured
40,8899,0,1,measured
41,AC1C,0,1,measured
42,F677,0,1,measured
43,3E09,0,1,measured
44,885F,0,1,measured
45,D008,0,1,measured
46,1EF6,0,1,measured
47,6881,0,1,measured
48,AF27,0,1,measured
49,F115,0,1,measured
50,2EEF,0,1,measured
51,6EED,0,1,measured
52,C215,0,1,measured
53,0BF6,0,1,measured
54,53E7,0,1,measured
55,9CEE,0,1,measured
56,14E6,0,1,measured
57,5DE8,0,1,measured
58,A841,0,1,measured
59,F2B5,0,1,measured
60,3986,0,1,measured
61,8046,0,1,measured
62,C953,0,1,measured
63,F25A,0,1,measured
64,B1CB,0,1,measured
65,CD6E,0,1,measured
66,1CB7,0,1,measured
67,641E,0,1,measured
68,AE76,0,1,measured
69,F638,0,1,measured
70,402B,0,1,measured
71,8A30,0,1,measured
72,D3B9,0,1,measured
73,466F,0,1,measured
74,6575,0,1,measured
75,AFF6,0,1,measured
76,F751,0,1,measured
77,41B4,0,1,measured
78,8C9D,0,1,measured
79,D448,0,1,measured
80,176A,0,1,measured
81,62FF,0,1,measured
82,D7F5,0,1,measured
83,F8B5,0,1,measured
84,4344,0,1,measured
85,8A91,0,1,measured
86,D4F1,0,1,measured
87,1D6C,0,1,measured
88,6777,0,1,measured
89,6777,0,1,measured
90,B09B,0,1,measured
91,2492,0,1,measured
92,43F7,0,1,measured
93,8E74,0,1,measured
94,D8AA,0,1,measured
95,63A4,0,1,measured
96,B1DF,0,1,measured
97,FBE8,0,1,measured
98,442B,0,1,measured
99,B753,0,1,measured
100,D73A,0,1,measured
101,21B4,0,1,measured
102,691D,0,1,measured
103,B37D,0,1,measured
104,FBF2,0,1,measured
105,45F4,0,1,measured
106,8F28,0,1,measured
107,012E,0,1,measured
108,23AF,0,1,measured
109,68DD,0,1,measured
110,AE95,0,1,measured
111,AE95,0,1,measured
112,FAFB,0,1,measured
113,44A3,0,1,measured
114,8E16,0,1,measured
115,D82E,0,1,measured
116,2072,0,1,measured
117,95B9,0,1,measured
118,AEFA,0,1,measured
119,F80B,0,1,measured
120,41AB,0,1,measured
121,D2E8,0,1,measured
122,1C33,0,1,measured
123,6713,0,1,measured
124,ADE8,0,1,measured
125,EC55,0,1,measured
126,2DEB,0,1,measured
127,76C7,0,1,measured
128,BFF7,0,1,measured
129,0FFD,0,1,measured
130,52E2,0,1,measured
131,A05F,0,1,measured
132,EA57,0,1,measured
133,2E9D,0,1,measured
134,7C31,0,1,measured
135,C5F5,0,1,measured
136,0E96,0,1,measured
137,5809,0,1,measured
138,8343,0,1,measured
139,B14D,0,1,measured
140,F0B8,0,1,measured
141,4433,0,1,measured
142,E9EE,0,1,measured
143,22D8,0,1,measured
144,6E6B,0,1,measured
145,B6E5,0,1,measured
146,0029,0,1,measured
147,4994,0,1,measured
148,938F,0,1,measured
149,DCB5,0,1,measured
150,2541,0,1,measured
151,66D4,0,1,measured
