offset,seed,band,boots,how
14,3BA6,0,1,measured
15,860D,0,1,measured
16,860D,0,1,measured
17,CD40,0,1,measured
19,A793,0,1,measured
20,EBB4,0,1,measured
23,978D,0,1,measured
27,BBB0,0,1,measured
28,E46A,0,1,measured
29,F781,0,1,measured
31,891A,0,1,measured
33,1B9A,0,1,measured
35,AA36,0,1,measured
36,F75D,0,1,measured
37,F75D,0,1,measured
39,89E4,0,1,measured
42,F68D,0,1,measured
43,3E11,0,1,measured
44,886F,0,1,measured
45,D00C,0,1,measured
48,AF2C,0,1,measured
49,F11E,0,1,measured
53,0BF5,0,1,measured
56,14F0,0,1,measured
59,F2BE,0,1,measured
60,3994,0,1,measured
62,C95E,0,1,measured
65,CD6F,0,1,measured
67,641B,0,1,measured
70,402A,0,1,measured
73,4670,0,1,measured
74,6579,0,1,measured
76,F75B,0,1,measured
80,176B,0,1,measured
81,62FE,0,1,measured
82,D7FD,0,1,measured
84,4341,0,1,measured
85,8A9B,0,1,measured
87,1D6D,0,1,measured
90,B0AD,0,1,measured
91,249A,0,1,measured
93,8E87,0,1,measured
96,B1F1,0,1,measured
100,D73D,0,1,measured
101,21BD,0,1,measured
102,692E,0,1,measured
104,FBF8,0,1,measured
108,23BA,0,1,measured
110,AE9E,0,1,measured
111,AE9E,0,1,measured
114,8E27,0,1,measured
119,F80B,0,1,measured
120,41BB,0,1,measured
121,D2FA,0,1,measured
122,1C45,0,1,measured
123,671F,0,1,measured
125,EC58,0,1,measured
126,2DF5,0,1,measured
136,0EA7,0,1,measured
137,5807,0,1,measured
138,8355,0,1,measured
143,22E9,0,1,measured
144,6E82,0,1,measured
149,DCB9,0,1,measured
151,66D5,0,1,measured
152,A536,0,1,measured
153,EE6D,0,1,measured
154,720B,0,1,measured
158,75A5,0,1,measured
160,0878,0,1,measured
162,98B6,0,1,measured
164,0EB5,0,1,measured
167,1D7A,0,1,measured
168,36D9,0,1,measured
170,C23F,0,1,measured
171,0F9E,0,1,measured
172,58E3,0,1,measured
173,A28B,0,1,measured
175,33E9,0,1,measured
177,8D18,0,1,measured
178,D62F,0,1,measured
179,2026,0,1,measured
180,D1F4,0,1,measured
181,0303,0,1,measured
185,202F,0,1,measured
190,9589,0,1,measured
193,93D7,0,1,measured
194,BA69,0,1,measured
196,5309,0,1,measured
198,E32F,0,1,measured
202,FD13,0,1,measured
204,8410,0,1,measured
205,CD6C,0,1,measured
206,4F92,0,1,measured
207,8283,0,1,measured
211,A7A4,0,1,measured
213,36AA,0,1,measured
216,F542,0,1,measured
217,3ABC,0,1,measured
218,841A,0,1,measured
220,2BE4,0,1,measured
221,7507,0,1,measured
223,071B,0,1,measured
224,4FEC,0,1,measured
227,2BAF,0,1,measured
229,8F45,0,1,measured
232,6D1A,0,1,measured
233,B240,0,1,measured
234,FB10,0,1,measured
235,44E8,0,1,measured
236,8D8B,0,1,measured
237,D6CA,0,1,measured
239,6937,0,1,measured
240,B293,0,1,measured
241,DD6C,0,1,measured
242,08E1,0,1,measured
245,2FAD,0,1,measured
246,7D9D,0,1,measured
248,0ECC,0,1,measured
249,58E8,0,1,measured
252,3484,0,1,measured
253,7587,0,1,measured
257,DC2B,0,1,measured
258,1334,0,1,measured
262,370D,0,1,measured
264,C983,0,1,measured
267,4015,0,1,measured
268,968B,0,1,measured
271,926E,0,1,measured
272,CF51,0,1,measured
273,1725,0,1,measured
275,A93F,0,1,measured
276,EEA7,0,1,measured
277,3BBD,0,1,measured
278,84F7,0,1,measured
279,CE39,0,1,measured
280,13CD,0,1,measured
282,A300,0,1,measured
283,525F,0,1,measured
289,0547,0,1,measured
290,3073,0,1,measured
293,102B,0,1,measured
295,A309,0,1,measured
296,0959,0,1,measured
298,D6D3,0,1,measured
301,AFD1,0,1,measured
302,ED7A,0,1,measured
303,36B9,0,1,measured
306,B6AE,0,1,measured
307,FF6F,0,1,measured
308,48BB,0,1,measured
309,C8E2,0,1,measured
310,F4E2,0,1,measured
314,19EE,0,1,measured
315,77A9,0,1,measured
316,AADF,0,1,measured
317,282B,0,1,measured
318,7112,0,1,measured
319,B596,0,1,measured
320,0310,0,1,measured
321,80AE,0,1,measured
322,A3EE,0,1,measured
324,ED06,0,1,measured
325,36A0,0,1,measured
326,7F23,0,1,measured
329,5AE1,0,1,measured
330,A3A1,0,1,measured
331,E4A8,0,1,measured
332,2407,0,1,measured
333,6BFF,0,1,measured
336,9C4B,0,1,measured
337,E64E,0,1,measured
338,2EE1,0,1,measured
345,A17D,0,1,measured
346,EA3B,0,1,measured
351,ADC9,0,1,measured
353,3D18,0,1,measured
354,8AB6,0,1,measured
355,1B5C,0,1,measured
357,A1C5,0,1,measured
358,EB36,0,1,measured
359,55D8,0,1,measured
360,923E,0,1,measured
363,2758,0,1,measured
364,6D1F,0,1,measured
367,4D46,0,1,measured
372,9B35,0,1,measured
374,9B56,0,1,measured
375,E4C5,0,1,measured
378,95CF,0,1,measured
379,D9FF,0,1,measured
381,274F,0,1,measured
387,F637,0,1,measured
392,752C,0,1,measured
396,DED7,0,1,measured
398,7ACD,0,1,measured
400,B1DF,0,1,measured
401,FBA0,0,1,measured
402,444F,0,1,measured
407,B27B,0,1,measured
408,F473,0,1,measured
409,3275,0,1,measured
411,C522,0,1,measured
412,7DD5,0,1,measured
415,5960,0,1,measured
417,ED76,0,1,measured
423,2FB8,0,1,measured
425,C980,0,1,measured
426,1720,0,1,measured
429,F210,0,1,measured
430,3B5A,0,1,measured
431,DA26,0,1,measured
432,1B07,0,1,measured
434,A1A6,0,1,measured
436,29AA,0,1,measured
438,71CF,0,1,measured
439,BAD2,0,1,measured
440,0045,0,1,measured
441,4D5F,0,1,measured
442,9693,0,1,measured
443,E06A,0,1,measured
444,2916,0,1,measured
445,7264,0,1,measured
446,9FBF,0,1,measured
447,CF49,0,1,measured
448,1838,0,1,measured
450,4E87,0,1,measured
451,9A2F,0,1,measured
452,E679,0,1,measured
455,B5C0,0,1,measured
457,01F9,0,1,measured
458,47B7,0,1,measured
459,8951,0,1,measured
461,1037,0,1,measured
465,4A8A,0,1,measured
466,A2E7,0,1,measured
467,DDCD,0,1,measured
469,BD5B,0,1,measured
471,3B9B,0,1,measured
476,690E,0,1,measured
477,9BD3,0,1,measured
479,2EBB,0,1,measured
480,7744,0,1,measured
481,C013,0,1,measured
482,0948,0,1,measured
486,BCB2,0,1,measured
487,0623,0,1,measured
492,5222,0,1,measured
496,2546,0,1,measured
497,6D80,0,1,measured
498,B78A,0,1,measured
499,FFE3,0,1,measured
501,9122,0,1,measured
502,F4DE,0,1,measured
505,B3EA,0,1,measured
506,FCFB,0,1,measured
507,9BD8,0,1,measured
508,E5C6,0,1,measured
509,36F9,0,1,measured
510,55CA,0,1,measured
511,8800,0,1,measured
512,D242,0,1,measured
514,6273,0,1,measured
520,FEFE,0,1,measured
521,63AA,0,1,measured
524,2441,0,1,measured
527,5D18,0,1,measured
529,E859,0,1,measured
530,29D0,0,1,measured
531,7302,0,1,measured
534,0592,0,1,measured
535,4DFC,0,1,measured
537,CDEB,0,1,measured
540,A944,0,1,measured
541,F27B,0,1,measured
542,3BAF,0,1,measured
549,4BA2,0,1,measured
552,DD69,0,1,measured
554,BF64,0,1,measured
556,536E,0,1,measured
557,9CC1,0,1,measured
559,2F63,0,1,measured
563,419E,0,1,measured
564,DE9D,0,1,measured
565,5705,0,1,measured
566,851D,0,1,measured
573,2CDD,0,1,measured
575,A0D5,0,1,measured
578,80B0,0,1,measured
579,021B,0,1,measured
581,818E,0,1,measured
582,CB4D,0,1,measured
586,2618,0,1,measured
593,E8FF,0,1,measured
596,C459,0,1,measured
598,7669,0,1,measured
599,A072,0,1,measured
600,E995,0,1,measured
601,3233,0,1,measured
602,D11E,0,1,measured
604,5D1D,0,1,measured
605,AAF9,0,1,measured
606,EA46,0,1,measured
607,3411,0,1,measured
611,10D9,0,1,measured
612,559C,0,1,measured
615,FF6A,0,1,measured
620,A6AC,0,1,measured
622,9526,0,1,measured
623,DF79,0,1,measured
624,259F,0,1,measured
625,42A8,0,1,measured
626,6DA7,0,1,measured
628,B4F1,0,1,measured
630,97E0,0,1,measured
631,BF01,0,1,measured
632,0825,0,1,measured
633,532E,0,1,measured
634,99D4,0,1,measured
635,DE82,0,1,measured
636,2CCA,0,1,measured
637,758C,0,1,measured
639,CA47,0,1,measured
640,5A5C,0,1,measured
643,5695,0,1,measured
645,DE79,0,1,measured
647,2704,0,1,measured
652,5B1B,0,1,measured
653,8611,0,1,measured
654,CE0A,0,1,measured
655,1778,0,1,measured
656,BA2B,0,1,measured
659,DA00,0,1,measured
660,24E2,0,1,measured
663,F5ED,0,1,measured
667,BE9E,0,1,measured
668,088A,0,1,measured
671,1EC5,0,1,measured
673,B071,0,1,measured
675,42F0,0,1,measured
676,8E21,0,1,measured
678,5C51,0,1,measured
681,8A79,0,1,measured
683,FF1C,0,1,measured
686,9134,0,1,measured
688,235A,0,1,measured
689,6D02,0,1,measured
693,5737,0,1,measured
694,DE93,0,1,measured
696,61D2,0,1,measured
697,013C,0,1,measured
700,EA9D,0,1,measured
701,1A6B,0,1,measured
702,62AA,0,1,measured
705,F4B5,0,1,measured
706,3E83,0,1,measured
708,D5C1,0,1,measured
709,1D4A,0,1,measured
715,D581,0,1,measured
716,85B5,0,1,measured
717,CEF1,0,1,measured
718,187B,0,1,measured
724,5FE3,0,1,measured
725,A5CD,0,1,measured
730,04F7,0,1,measured
731,4DB4,0,1,measured
735,DE0C,0,1,measured
736,2642,0,1,measured
737,7085,0,1,measured
739,F11A,0,1,measured
740,3E19,0,1,measured
742,810D,0,1,measured
743,BE1D,0,1,measured
745,502C,0,1,measured
748,2BDB,0,1,measured
749,75C5,0,1,measured
750,BE6E,0,1,measured
752,5180,0,1,measured
753,9A5B,0,1,measured
766,6E13,0,1,measured
768,FA6D,0,1,measured
769,367C,0,1,measured
770,7402,0,1,measured
771,C945,0,1,measured
772,37A4,0,1,measured
774,1279,0,1,measured
776,A40A,0,1,measured
777,E4F8,0,1,measured
780,7509,0,1,measured
785,DF5A,0,1,measured
786,2BD2,0,1,measured
787,74F9,0,1,measured
790,4F87,0,1,measured
791,9A12,0,1,measured
793,495A,0,1,measured
794,91F5,0,1,measured
795,DABB,0,1,measured
796,5AD1,0,1,measured
800,2025,0,1,measured
801,6CA7,0,1,measured
804,5C78,0,1,measured
807,23E2,0,1,measured
808,6D62,0,1,measured
810,1710,0,1,measured
811,9E87,0,1,measured
812,E842,0,1,measured
814,73F4,0,1,measured
819,A7B9,0,1,measured
821,2E40,0,1,measured
822,78A2,0,1,measured
823,C54A,0,1,measured
824,0951,0,1,measured
826,9A6F,0,1,measured
827,E282,0,1,measured
829,89DB,0,1,measured
830,149B,0,1,measured
831,3DB5,0,1,measured
832,85CA,0,1,measured
835,8EA1,0,1,measured
839,45C6,0,1,measured
841,D6E2,0,1,measured
844,B1D7,0,1,measured
845,F058,0,1,measured
846,31E2,0,1,measured
847,7AB4,0,1,measured
848,C3EC,0,1,measured
849,5FDD,0,1,measured
850,A88B,0,1,measured
851,F26A,0,1,measured
852,3B0B,0,1,measured
853,787E,0,1,measured
860,1246,0,1,measured
865,B797,0,1,measured
869,31A7,0,1,measured
871,B11B,0,1,measured
872,EF11,0,1,measured
876,E3BD,0,1,measured
878,7620,0,1,measured
881,5298,0,1,measured
882,9BCA,0,1,measured
884,13D7,0,1,measured
885,5C98,0,1,measured
886,A5D0,0,1,measured
887,437A,0,1,measured
888,8CB4,0,1,measured
891,5B31,0,1,measured
894,F07F,0,1,measured
895,39B7,0,1,measured
898,DE5D,0,1,measured
899,2737,0,1,measured
901,0AE8,0,1,measured
902,57A6,0,1,measured
904,E611,0,1,measured
905,2826,0,1,measured
907,1946,0,1,measured
908,6341,0,1,measured
909,AB68,0,1,measured
911,34B1,0,1,measured
913,97CF,0,1,measured
914,C893,0,1,measured
915,1187,0,1,measured
916,5BEE,0,1,measured
918,EE66,0,1,measured
919,373A,0,1,measured
920,74D2,0,1,measured
921,C863,0,1,measured
925,4D55,0,1,measured
928,1EE8,0,1,measured
929,5541,0,1,measured
930,9E02,0,1,measured
932,F37C,0,1,measured
934,78D3,0,1,measured
936,16E4,0,1,measured
940,2B86,0,1,measured
941,747D,0,1,measured
944,A521,0,1,measured
947,79B5,0,1,measured
954,286F,0,1,measured
955,7259,0,1,measured
957,0429,0,1,measured
958,4E0B,0,1,measured
959,96B7,0,1,measured
960,DFF7,0,1,measured
961,05E1,0,1,measured
962,2A5B,0,1,measured
963,EE9C,0,1,measured
966,C084,0,1,measured
967,FEDD,0,1,measured
968,4840,0,1,measured
976,48E8,0,1,measured
977,E41F,0,1,measured
980,9592,0,1,measured
983,CBA2,0,1,measured
984,12DE,0,1,measured
985,5253,0,1,measured
986,67CD,0,1,measured
987,B0CD,0,1,measured
993,42B9,0,1,measured
994,8969,0,1,measured
995,CE32,0,1,measured
996,0063,0,1,measured
997,4980,0,1,measured
998,918C,0,1,measured
1001,89E9,0,1,measured
1002,50F9,0,1,measured
1003,8A81,0,1,measured
1004,D383,0,1,measured
1005,1127,0,1,measured
1006,59A6,0,1,measured
1008,A409,0,1,measured
1009,FC38,0,1,measured
1011,7E70,0,1,measured
1012,C82B,0,1,measured
1014,5A0F,0,1,measured
1020,6B57,0,1,measured
1021,BC01,0,1,measured
1024,73C2,0,1,measured
1027,061B,0,1,measured
1031,496D,0,1,measured
1033,DBE9,0,1,measured
1034,2538,0,1,measured
1037,01F9,0,1,measured
1040,110B,0,1,measured
1046,7D40,0,1,measured
1047,C619,0,1,measured
1048,0F6A,0,1,measured
1050,A1E0,0,1,measured
1053,4FCD,0,1,measured
1058,161F,0,1,measured
1059,5E97,0,1,measured
1067,57CC,0,1,measured
1069,DA79,0,1,measured
1070,1C07,0,1,measured
1071,6CFC,0,1,measured
1072,B647,0,1,measured
1074,48BC,0,1,measured
1075,92B4,0,1,measured
1076,D3BD,0,1,measured
1077,6481,0,1,measured
1078,ADBE,0,1,measured
1079,6007,0,1,measured
1080,99BA,0,1,measured
1082,21BF,0,1,measured
1084,68BA,0,1,measured
1085,ABCB,0,1,measured
1088,8DC0,0,1,measured
1089,BF23,0,1,measured
1090,1599,0,1,measured
1091,5451,0,1,measured
1092,9E4A,0,1,measured
1095,97BA,0,1,measured
1097,803B,0,1,measured
1098,A9DC,0,1,measured
1099,EB95,0,1,measured
1100,2FE1,0,1,measured
1101,5D89,0,1,measured
1105,1A2E,0,1,measured
1106,C4D8,0,1,measured
1107,FBEB,0,1,measured
1108,45A1,0,1,measured
1109,8EBE,0,1,measured
1110,D6B0,0,1,measured
1112,7927,0,1,measured
1113,B4DB,0,1,measured
1114,FBB1,0,1,measured
1116,E32F,0,1,measured
1119,B563,0,1,measured
1120,FE83,0,1,measured
1122,4875,0,1,measured
1123,9169,0,1,measured
1124,D991,0,1,measured
1125,2393,0,1,measured
1128,F926,0,1,measured
1130,7977,0,1,measured
1132,4103,0,1,measured
1134,0F94,0,1,measured
1136,A1FA,0,1,measured
1137,0417,0,1,measured
1138,2B2D,0,1,measured
1142,E674,0,1,measured
1144,B4D9,0,1,measured
1150,4493,0,1,measured
1151,8E60,0,1,measured
1153,62FE,0,1,measured
1155,F41E,0,1,measured
1156,3D70,0,1,measured
1157,7B2E,0,1,measured
1161,5696,0,1,measured
1162,9FE5,0,1,measured
1163,E9BB,0,1,measured
1165,7BC1,0,1,measured
1166,A72F,0,1,measured
1167,D53E,0,1,measured
1169,666A,0,1,measured
1172,EB19,0,1,measured
1173,3138,0,1,measured
1177,4C85,0,1,measured
1179,8DFF,0,1,measured
1180,CF5B,0,1,measured
