offset,seed,band,boots,how
6,8353,0,1,measured
7,AB4E,0,1,measured
8,F4C5,0,1,measured
9,3D8F,0,1,measured
10,86D3,0,1,measured
11,D013,0,1,measured
12,1953,0,1,measured
13,1910,0,1,measured
14,3B8D,0,1,measured
15,85F2,0,1,measured
16,85F2,0,1,measured
17,CD29,0,1,measured
18,6172,0,1,measured
19,A77F,0,1,measured
20,EBAF,0,1,measured
21,396B,0,1,measured
22,5972,0,1,measured
23,9784,0,1,measured
24,DFDF,0,1,measured
25,291B,0,1,measured
26,7257,0,1,measured
27,BBA0,0,1,measured
28,E459,0,1,measured
29,F77A,0,1,measured
30,40B2,0,1,measured
31,890A,0,1,measured
32,D254,0,1,measured
33,1B93,0,1,measured
34,64D0,0,1,measured
35,AA2E,0,1,measured
36,F74A,0,1,measured
37,F74A,0,1,measured
38,408F,0,1,measured
39,89D3,0,1,measured
40,8892,0,1,measured
41,AC16,0,1,measured
42,F672,0,1,measured
43,3DFB,0,1,measured
44,8852,0,1,measured
45,CFF7,0,1,measured
46,1EEE,0,1,measured
47,687A,0,1,measured
48,AF1C,0,1,measured
49,F10E,0,1,measured
50,2EF0,0,1,measured
51,6EE6,0,1,measured
52,C20E,0,1,measured
53,0BE2,0,1,measured
54,53E0,0,1,measured
55,9CDD,0,1,measured
56,14DF,0,1,measured
57,5DE1,0,1,measured
58,A843,0,1,measured
59,F2B5,0,1,measured
60,397F,0,1,measured
61,804B,0,1,measured
62,C957,0,1,measured
63,F25C,0,1,measured
64,B1C4,0,1,measured
65,CD67,0,1,measured
66,1CB1,0,1,measured
67,6408,0,1,measured
68,AE70,0,1,measured
69,F639,0,1,measured
70,4024,0,1,measured
71,8A24,0,1,measured
72,D3BC,0,1,measured
73,4668,0,1,measured
74,6568,0,1,measured
75,AFF9,0,1,measured
76,F757,0,1,measured
77,41AF,0,1,measured
78,8C93,0,1,measured
79,D438,0,1,measured
80,1765,0,1,measured
81,62F8,0,1,measured
82,D7EC,0,1,measured
83,F8B3,0,1,measured
84,4339,0,1,measured
85,8A88,0,1,measured
86,D4EC,0,1,measured
87,1D65,0,1,measured
88,6770,0,1,measured
89,6770,0,1,measured
90,B09C,0,1,measured
91,247F,0,1,measured
92,43F1,0,1,measured
93,8E79,0,1,measured
94,D8AB,0,1,measured
95,639D,0,1,measured
96,B1D7,0,1,measured
97,FBE3,0,1,measured
98,4423,0,1,measured
99,B754,0,1,measured
100,D735,0,1,measured
101,21AE,0,1,measured
102,6916,0,1,measured
103,B374,0,1,measured
104,FBE8,0,1,measured
105,45F4,0,1,measured
106,8F23,0,1,measured
107,0126,0,1,measured
108,23A0,0,1,measured
109,68DE,0,1,measured
110,AE8E,0,1,measured
111,AE8E,0,1,measured
112,FAEB,0,1,measured
113,449B,0,1,measured
114,8E13,0,1,measured
115,D825,0,1,measured
116,206B,0,1,measured
117,95A6,0,1,measured
118,AEF3,0,1,measured
119,F803,0,1,measured
120,41AC,0,1,measured
121,D2E1,0,1,measured
122,1C36,0,1,measured
123,6718,0,1,measured
124,ADE1,0,1,measured
125,EC51,0,1,measured
126,2DEE,0,1,measured
127,76B6,0,1,measured
128,BFED,0,1,measured
129,0FF4,0,1,measured
130,52DB,0,1,measured
131,A04E,0,1,measured
132,EA53,0,1,measured
133,2E8D,0,1,measured
134,7C27,0,1,measured
135,C5F9,0,1,measured
136,0E8F,0,1,measured
137,57F6,0,1,measured
138,833C,0,1,measured
139,B140,0,1,measured
140,F0BE,0,1,measured
141,4435,0,1,measured
142,E9E7,0,1,measured
143,22DB,0,1,measured
144,6E72,0,1,measured
145,B6E1,0,1,measured
146,002A,0,1,measured
147,4985,0,1,measured
148,938C,0,1,measured
149,DCB7,0,1,measured
150,2542,0,1,measured
151,66CD,0,1,measured
152,A525,0,1,measured
153,EE54,0,1,measured
154,71F7,0,1,measured
155,95EF,0,1,measured
156,E3A3,0,1,measured
157,2D4E,0,1,measured
158,758C,0,1,measured
159,BF32,0,1,measured
160,0872,0,1,measured
161,5217,0,1,measured
162,989C,0,1,measured
163,C531,0,1,measured
164,0E9C,0,1,measured
165,5764,0,1,measured
166,A08F,0,1,measured
167,1D64,0,1,measured
168,36C8,0,1,measured
169,7EB7,0,1,measured
170,C22F,0,1,measured
171,0F84,0,1,measured
172,58CA,0,1,measured
173,A27B,0,1,measured
174,EB4A,0,1,measured
175,33D1,0,1,measured
176,5F6B,0,1,measured
177,8D10,0,1,measured
178,D616,0,1,measured
179,201F,0,1,measured
180,D1D4,0,1,measured
181,02E9,0,1,measured
182,4C0C,0,1,measured
183,9663,0,1,measured
184,DEB6,0,1,measured
185,2016,0,1,measured
186,6E82,0,1,measured
187,D330,0,1,measured
188,03BC,0,1,measured
